AREA,RANGE,EC
0.13,2.0,0.016181049056603773
0.15,1.0,0.02189200754716981
0.15,2.0,0.01860820641509434
0.17,1.0,0.02473796852830189
0.17,2.0,0.02102727325
0.18,1.0,0.02597486695283019
0.18,2.0,0.022078636910377362
0.2,1.0,0.02883210232075472
0.2,2.0,0.024507286971698114
0.21,1.0,0.030273707433962266
0.21,2.0,0.02573265132075472
0.22,1.0,0.03148465573113208
0.22,2.0,0.02676195737264151
0.24,1.0,0.034318274749999995
0.24,2.0,0.02917053353773585
0.28,1.0,0.03980919870754718
0.28,2.0,0.0338378189009434
0.3,1.0,0.042595842617924526
0.3,2.0,0.036206466226415095
0.33,1.0,0.046855426882075474
0.33,2.0,0.039827112849056615
0.35,1.0,0.0496667525
0.35,2.0,0.04221673961792453
0.36,1.0,0.050660087547169816
0.36,2.0,0.04306107441037736
0.4,1.0,0.05623269716981133
0.4,2.0,0.047797792594339625
0.42,1.0,0.059044332028301894
0.42,2.0,0.050187682216981125
0.45,1.0,0.06317743528301888
0.45,2.0,0.05370082000000001
0.46,1.0,0.06444098396226415
0.46,2.0,0.054774836367924525
0.48,1.0,0.0670186233490566
0.48,2.0,0.05696582985849056
0.49,1.0,0.06835899580188678
0.49,2.0,0.058105146415094344
0.5,1.0,0.06972617570754717
0.5,2.0,0.059267249339622644
0.51,1.0,0.07112069924528301
0.51,2.0,0.06045259433962265
0.55,1.0,0.07609914816037736
0.55,2.0,0.06468427594339624
0.6,1.0,0.08294807150943395
0.6,2.0,0.0705058608018868
0.65,1.0,0.08958391721698114
0.65,2.0,0.07614632966981133
0.7,1.0,0.09585479146226414
0.7,2.0,0.08147657273584907
0.715,1.0,0.09777188726415097
0.715,2.0,0.0831061041981132
0.75,1.0,0.10168276278301888
0.75,2.0,0.08643034834905662
0.8,1.0,0.10778372853773587
0.8,2.0,0.09161616924528301
0.85,1.0,0.11425075226415095
0.85,2.0,0.09711313938679246
0.87,1.0,0.11653576731132076
0.87,2.0,0.09905540221698114
0.9,1.0,0.1200318403301887
0.9,2.0,0.10202706424528302
0.96,1.0,0.12723375070754717
0.96,2.0,0.10814868811320756
0.98,1.0,0.129778425754717
0.98,2.0,0.11031166188679245
1.1,1.0,0.14535183683962263
1.1,2.0,0.12354906132075472
1.13,1.0,0.14825887358490564
1.13,2.0,0.1260200425471698
1.17,1.0,0.15270663976415094
1.17,2.0,0.1298006438207547
1.2,1.0,0.1557607725471698
1.2,2.0,0.1323966566981132
1.23,1.0,0.15887598801886793
1.23,2.0,0.13504458981132073
1.27,1.0,0.1636422676415094
1.27,2.0,0.1390959275
1.3,1.0,0.1669151130188679
1.3,2.0,0.14187784608490567
1.33,1.0,0.17025341528301888
1.33,2.0,0.1447154029716981
1.35,1.0,0.17365848358490565
1.35,2.0,0.14760971103773587
1.37,1.0,0.17713165325471697
1.37,2.0,0.15056190528301888
1.4,1.0,0.18067428632075477
1.4,2.0,0.15357314334905658
1.43,1.0,0.18428777202830188
1.43,2.0,0.1566446062264151
1.45,1.0,0.1879735275
1.45,2.0,0.1597774983490566
1.47,1.0,0.19173299801886792
1.47,2.0,0.1629730483490566
1.5,1.0,0.1955676579716981
1.5,2.0,0.16623250929245287
1.53,1.0,0.19947901113207545
1.53,2.0,0.1695571594811321
1.55,1.0,0.20346859136792453
1.55,2.0,0.17294830268867925
1.58,1.0,0.2075379632075472
1.58,2.0,0.1764072687264151
1.6,1.0,0.21168872245283019
1.6,2.0,0.1799354141037736
1.64,1.0,0.2180393841509434
1.64,2.0,0.185333476509434
1.69,1.0,0.22458056566037732
1.69,2.0,0.19089348080188678
1.72,1.0,0.2290721769811321
1.72,2.0,0.19471135042452836
1.75,1.0,0.2359443423113208
1.75,2.0,0.20055269094339626
1.78,1.0,0.2406632291509434
1.78,2.0,0.2045637447641509
1.8,1.0,0.24788312599056603
1.8,2.0,0.21070065712264152
1.84,1.0,0.2553196198113208
1.84,2.0,0.21702167683962267
1.88,1.0,0.2655324045754717
1.88,2.0,0.22570254391509437
1.92,1.0,0.276153700754717
1.92,2.0,0.23473064566037732
2.0,1.0,0.28719984877358495
2.0,2.0,0.24411987146226416
2.2,1.0,0.3159198336792453
2.2,2.0,0.26853185863207546
