AREA,RANGE,EC
0.15,305,2.547169811320755
0.17,310,2.7764150943396233
0.18,315,3.276169811320755
0.2,320,3.669310188679245
0.21,330,4.219706716981132
0.22,335,5.907589403773585
0.24,340,6.2029688739622655
0.28,345,6.947325138837736
0.3,350,7.2946913957796236
0.33,355,7.659425965568586
0.35,375,8.042397263847029
0.36,380,8.444517127039388
0.4,385,8.866742983391369
0.42,390,9.310080132560945
0.45,395,10.24108814581703
0.46,400,10.753142553107878
0.48,405,11.290799680763255
0.49,410,11.855339664801416
0.5,415,12.448106648041513
0.51,420,13.070511980443586
0.55,425,13.724037579465755
0.6,475,14.410239458439056
0.65,480,15.13075143136099
0.7,485,16.946441603124338
0.715,490,17.79376368328052
0.75,495,18.68345186744457
0.8,500,19.61762446081679
0.85,505,20.59850568385764
0.87,510,21.62843096805052
0.9,515,22.709852516453065
0.96,520,23.8453451422757
0.98,525,25.037612399389484
1.1,530,26.289493019358964
1.13,535,27.603967670326938
1.17,540,28.984166053843257
1.2,545,30.433374356535428
1.23,550,31.955043074362226
1.27,555,33.552795228080335
1.3,560,35.23043498948434
1.33,565,36.991956738958535
1.35,570,38.841554575906464
1.37,575,40.7836323047018
1.4,580,42.822813919936884
1.43,585,44.96395461593373
1.45,590,47.2121523467302
1.47,595,49.57275996406698
1.5,600,52.051397962270286
1.53,605,54.65396786038396
1.55,610,57.38666625340283
1.58,615,60.255999566073115
1.6,620,63.26879954437689
1.64,625,66.43223952159576
1.69,630,69.75385149767548
1.72,635,73.24154407255945
1.75,640,76.90362127618727
1.78,645,80.7488023399967
1.8,650,84.78624245699623
1.84,655,89.02555457984623
1.88,660,93.47683230883868
1.92,665,98.15067392428067
2.0,670,103.05820762049437
2.2,675,108.21111800151937
