AREA,RANGE,EC
0.13,12,0.25471698113207547
0.13,15,0.31839622641509435
0.15,10,0.22641509433962265
0.15,12,0.2716981132075472
0.15,15,0.339622641509434
0.17,10,0.25471698113207547
0.17,12,0.3056603773584906
0.17,15,0.38207547169811323
0.18,10,0.27764150943396226
0.18,12,0.3331698113207548
0.18,15,0.4164622641509434
0.2,10,0.3276169811320755
0.2,12,0.39314009433962266
0.2,15,0.3276169811320755
0.21,10,0.3669306603773585
0.21,12,0.4403169811320754
0.21,15,0.5503962264150943
0.22,10,0.421970283018868
0.22,12,0.5063646226415095
0.22,15,0.6329556603773585
0.24,10,0.5907584905660377
0.24,12,0.7089103773584906
0.24,15,0.8861382075471699
0.28,10,0.5907584905660377
0.28,12,0.7089103773584906
0.28,15,0.8861382075471699
0.3,10,0.6202966981132075
0.3,12,0.7443561320754717
0.3,15,0.930445283018868
0.33,10,0.6947320754716982
0.33,12,0.8336787735849058
0.33,15,1.0420985849056603
0.35,10,0.7294688679245284
0.35,12,0.8753627358490567
0.35,15,1.0942033018867923
0.36,10,0.7659424528301887
0.36,12,0.9191306603773586
0.36,15,1.1489136792452832
0.4,10,0.8042396226415095
0.4,12,0.9650872641509434
0.4,15,1.206359433962264
0.42,10,0.8444514150943396
0.42,12,1.0133419811320754
0.42,15,1.266677358490566
0.45,10,0.8866740566037736
0.45,12,1.064008962264151
0.45,15,1.330011320754717
0.46,10,0.9310075471698112
0.46,12,1.117209433962264
0.46,15,1.3965117924528299
0.48,10,1.0241084905660378
0.48,12,1.2289301886792452
0.48,15,1.5115841320754715
0.49,10,1.0753141509433959
0.49,12,1.2903768867924528
0.49,15,2.0374995283018866
0.5,10,1.129079716981132
0.5,12,1.3548956603773585
0.5,15,1.6936195754716983
0.51,10,1.185533962264151
0.51,12,1.422640566037736
0.51,15,1.7783009433962265
0.55,10,1.185533962264151
0.55,12,1.422640566037736
0.55,15,1.7783009433962265
0.6,10,1.2448103773584906
0.6,12,1.493772641509434
0.6,15,1.8672155660377359
0.65,10,1.3070509433962265
0.65,12,1.5684613207547171
0.65,15,1.9605764150943399
0.7,10,1.3724037735849057
0.7,12,1.6468844339622641
0.7,15,2.058605188679245
0.715,10,1.4409764150943398
0.715,12,1.7292283018867922
0.715,15,2.161535849056604
0.75,10,1.513075
0.75,12,1.8156900943396228
0.75,15,2.269612264150944
0.8,10,1.695115566037736
0.8,12,2.033572641509434
0.8,15,2.541966037735849
0.85,10,1.7793759433962264
0.85,12,2.13525141509434
0.85,15,2.6690641509433966
0.87,10,1.8683448113207548
0.87,12,2.2420141509433966
0.87,15,2.8025174528301884
0.9,10,1.9617622641509436
0.9,12,2.3541146226415095
0.9,15,2.942643396226415
0.96,10,2.0598504716981134
0.96,12,2.471820283018868
0.96,15,3.0897754716981134
0.98,10,2.1628429245283023
0.98,12,2.595411320754717
0.98,15,3.2442646226415093
1.1,10,2.2709849056603773
1.1,12,2.7251820754716984
1.1,15,3.4064778301886793
1.13,10,2.3845344339622643
1.13,12,2.8614410377358497
1.13,15,3.5768014150943404
1.17,10,2.503760849056604
1.17,12,3.0045132075471703
1.17,15,3.7556415094339615
1.2,10,2.628949056603773
1.2,12,3.1547391509433966
1.2,15,3.9434235849056596
1.23,10,2.760396698113208
1.23,12,3.3124759433962265
1.23,15,4.140594811320754
1.27,10,2.8984165094339622
1.27,12,3.652004716981132
1.27,15,4.565006132075472
1.3,10,3.043337264150944
1.3,12,3.652004716981132
1.3,15,4.565006132075472
1.33,10,3.19550424528302
1.33,12,3.834604716981132
1.33,15,4.793256132075472
1.35,10,3.19550424528302
1.35,12,3.834604716981132
1.35,15,4.793256132075472
1.37,10,3.3552792452830196
1.37,12,4.026335377358491
1.37,15,5.032918867924528
1.4,10,3.523043396226415
1.4,12,4.227651886792453
1.4,15,0.5284561320754717
1.43,10,3.699195283018868
1.43,12,4.439034433962264
1.43,15,5.548793396226415
1.45,10,3.884155188679245
1.45,12,4.660986320754717
1.45,15,5.826233018867925
1.47,10,4.07836320754717
1.47,12,4.894035849056604
1.47,15,6.117544811320756
1.5,10,4.4963952830188685
1.5,12,5.395674528301887
1.5,15,6.744592924528303
1.53,10,4.721215094339623
1.53,12,5.665458018867925
1.53,15,7.081822641509434
1.55,10,4.957275943396226
1.55,12,5.948731132075472
1.55,15,7.4359136792452825
1.58,10,5.205139622641509
1.58,12,6.246167452830189
1.58,15,7.807709433962264
1.6,10,5.4653966981132065
1.6,12,6.5584759433962265
1.6,15,8.198094811320756
1.64,10,5.738666509433963
1.64,12,6.8863995283018875
1.64,15,8.607999528301887
1.69,10,6.025599528301887
1.69,12,7.230719811320756
1.69,15,9.038399528301888
1.72,10,6.326879716981132
1.72,12,7.971868396226416
1.72,15,9.490319811320756
1.75,10,5.738666509433963
1.75,12,6.8863995283018875
1.75,15,8.607999528301887
1.78,10,6.025599528301887
1.78,12,7.230719811320756
1.78,15,9.038399528301888
1.8,10,6.326879716981132
1.8,12,7.971868396226416
1.8,15,9.490319811320756
1.84,10,7.69036179245283
1.84,12,9.228434433962263
1.84,15,11.5355429245283
1.88,10,7.69036179245283
1.88,12,9.228434433962263
1.88,15,11.5355429245283
1.92,10,8.074880188679247
1.92,12,9.689856132075471
1.92,15,12.11232028301887
2.0,10,8.478624056603774
2.0,12,10.174349056603775
2.0,15,12.717936320754719
2.2,10,8.902555188679246
2.2,12,10.683066509433962
2.2,15,13.353833018867924
