AREA,RANGE,EC
0.13,2.0,0.0046178773584905665
0.13,1.0,0.011544792452830188
0.15,3.0,0.026553022641509442
0.15,2.0,0.005310558962264151
0.15,1.0,0.01327651132075472
0.17,3.0,0.030004915584905662
0.17,2.0,0.00600093162735849
0.17,1.0,0.015002457792452831
0.18,3.0,0.03150516136320755
0.18,2.0,0.006300978207547169
0.18,1.0,0.015752580683962264
0.2,3.0,0.034970729113207547
0.2,2.0,0.006994085811320755
0.2,1.0,0.017485364556603773
0.21,3.0,0.036719265570754715
0.21,2.0,0.007343790103773585
0.21,1.0,0.018359632783018866
0.22,3.0,0.038188036193396224
0.22,2.0,0.00763754170754717
0.22,1.0,0.019094018094339624
0.24,3.0,0.04162495944811321
0.24,2.0,0.008324920462264152
0.24,1.0,0.02081247972641509
0.28,3.0,0.04828495297169812
0.28,2.0,0.009656907735849058
0.28,1.0,0.024142476481132075
0.3,3.0,0.05166489966981132
0.3,2.0,0.010332891273584908
0.3,1.0,0.02583244983490566
0.33,3.0,0.05683138962264151
0.33,2.0,0.011366180400943397
0.33,1.0,0.028415694816037736
0.35,3.0,0.060241273018867926
0.35,2.0,0.012048151226415095
0.35,1.0,0.030120636509433963
0.36,3.0,0.06144609849056604
0.36,2.0,0.01228911425
0.36,1.0,0.030723049235849058
0.4,3.0,0.06820516929245284
0.4,2.0,0.013640916820754715
0.4,1.0,0.03410258465566038
0.42,3.0,0.07161542778301887
0.42,2.0,0.01432296266037736
0.42,1.0,0.03580771388679246
0.45,3.0,0.07662850773584906
0.45,2.0,0.015325570047169813
0.45,1.0,0.03831425385849056
0.46,3.0,0.07816107787735849
0.46,2.0,0.015632081448113205
0.46,1.0,0.039080538933962274
0.48,3.0,0.08128752099056603
0.48,2.0,0.01625736470283019
0.48,1.0,0.04064376049056604
0.49,3.0,0.08291327141509434
0.49,2.0,0.016582511999999997
0.49,1.0,0.04145663570283019
0.5,3.0,0.08457153683962264
0.5,2.0,0.016914162240566043
0.5,1.0,0.042285768415094335
0.51,3.0,0.08626296754716982
0.51,2.0,0.017252445481132077
0.51,1.0,0.04313148378301886
0.55,3.0,0.09230137528301888
0.55,2.0,0.018460116665094343
0.55,1.0,0.04615068765094339
0.6,3.0,0.10060849905660375
0.6,2.0,0.02012152716509434
0.6,1.0,0.050304249528301884
0.65,3.0,0.10865717900943396
0.65,2.0,0.021731249339622637
0.65,1.0,0.05432858948113208
0.7,3.0,0.11626318155660378
0.7,2.0,0.02325243679245283
0.7,1.0,0.05813159075471698
0.715,3.0,0.11858844514150944
0.715,2.0,0.023717485528301892
0.715,1.0,0.05929422259433963
0.75,3.0,0.12333198297169812
0.75,2.0,0.02466618495283019
0.75,1.0,0.061665991462264154
0.8,3.0,0.13073190193396228
0.8,2.0,0.02614615604716981
0.8,1.0,0.06536595099056604
0.85,3.0,0.13857581608490566
0.85,2.0,0.02771492541037736
0.85,1.0,0.06928790801886792
0.87,3.0,0.1413473324056604
0.87,2.0,0.02826922391981132
0.87,1.0,0.0706736661792453
0.9,3.0,0.14558775235849059
0.9,2.0,0.029117300636792454
0.9,1.0,0.07279387617924529
0.96,3.0,0.15432301750000002
0.96,2.0,0.030864338674528303
0.96,1.0,0.07716150877358491
0.98,3.0,0.15740947783018866
0.98,2.0,0.03148162544811321
0.98,1.0,0.07870473891509433
1.1,3.0,0.17629861518867926
1.1,2.0,0.03525942050471699
1.1,1.0,0.08814930759433963
1.13,3.0,0.17982458750000002
1.13,2.0,0.03596460891509434
1.13,1.0,0.0899122937264151
1.17,3.0,0.18521932514150943
1.17,2.0,0.03704354717924528
1.17,1.0,0.0926096625471698
1.2,3.0,0.19448029136792452
1.2,2.0,0.03889572453773585
1.2,1.0,0.09724014570754716
1.23,3.0,0.1983698972169811
1.23,2.0,0.03967363902830189
1.23,1.0,0.09918494858490563
1.27,3.0,0.2043209941037736
1.27,2.0,0.040863848202830184
1.27,1.0,0.1021604970754717
1.3,3.0,0.208407414009434
1.3,2.0,0.04168112516509435
1.3,1.0,0.10420370698113209
1.33,3.0,0.2146596364150944
1.33,2.0,0.042931558919811326
1.33,1.0,0.1073298182075472
1.35,3.0,0.2189528291509434
1.35,2.0,0.04379019009905661
1.35,1.0,0.1094764145754717
1.37,3.0,0.22552141400943398
1.37,2.0,0.04510389580188679
1.37,1.0,0.11276070702830189
1.4,3.0,0.2300318423113208
1.4,2.0,0.04600597371698113
1.4,1.0,0.11501592113207548
1.43,3.0,0.2346324791509434
1.43,2.0,0.046926093193396225
1.43,1.0,0.1173162395754717
1.47,3.0,0.2393251287264151
1.47,2.0,0.04786461504716982
1.47,1.0,0.11966256438679243
1.5,3.0,0.2441116313207548
1.5,2.0,0.04882190735849057
1.5,1.0,0.12205581566037738
1.53,3.0,0.24899386391509434
1.53,2.0,0.04979834551886793
1.53,1.0,0.12449693198113207
1.55,3.0,0.25397374122641514
1.55,2.0,0.050794312405660375
1.55,1.0,0.12698687061320757
1.58,3.0,0.25905321603773585
1.58,2.0,0.05181019867924529
1.58,1.0,0.12952660801886792
1.6,3.0,0.26682481250000006
0.1,2.0,0.05336450462264152
1.6,1.0,0.1334124062735849
1.64,3.0,0.27482955688679245
1.64,2.0,0.05496543976415095
1.64,1.0,0.13741477844339622
1.69,3.0,0.28307444358490563
1.69,2.0,0.05661440297169812
1.69,1.0,0.14153722179245282
1.72,3.0,0.29156667693396227
1.72,2.0,0.058312835047169824
1.72,1.0,0.14578333844339622
1.75,3.0,0.2973980104716981
1.75,2.0,0.05947909174528302
1.75,1.0,0.14869900523584906
1.78,3.0,0.3033459706603773
1.78,2.0,0.060668673584905665
1.78,1.0,0.15167298533018866
1.8,3.0,0.312446349764151
1.8,2.0,0.0624887337735849
1.8,1.0,0.1562231749056604
1.84,3.0,0.32181974028301885
1.84,2.0,0.0643633958018868
1.84,1.0,0.16090987014150943
