AREA,Ceiling.RANGE,External_Wall.RANGE,Internal_Wall.RANGE,Floor.RANGE,Foundation_system.RANGE,Form_system.RANGE,Superstructure.RANGE,Substructure.RANGE,Changes.RANGE,Duration.RANGE,Earthwork.RANGE,Floors.RANGE,Parking.RANGE,Escalations.RANGE,Total_Cost
0.3,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,8,350,1,1,2,12,15.502883384703646
0.85,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,12,505,1,4,4,15,41.46618569968811
1.4,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,15,580,1,1,2,15,83.48411215169001
0.96,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,12,520,1,1,3,15,54.924120954497006
0.87,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,15,510,1,1,3,15,49.880139592277175
1.72,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,15,635,1,1,3,10,145.50239121400963
0.18,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,8,315,1,1,3,12,8.455396675518868
0.15,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,12,305,1,4,4,10,9.662887945283021
1.78,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,15,645,1,1,3,15,159.53365069336706
0.85,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,15,505,1,4,2,12,40.70317324020324
0.48,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,8,405,1,5,2,10,23.10499355576114
1.53,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,15,605,1,2,2,15,146.43763481777148
0.715,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,15,490,1,1,4,15,41.37879218862479
1.78,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,8,645,1,3,3,10,242.64956386256205
0.15,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,12,305,1,1,2,15,5.518728094339623
1.78,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,12,645,1,2,3,15,203.01101802827097
1.55,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,12,610,1,1,2,10,114.28283031635809
2.2,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,12,675,1,2,2,15,285.6686861228521
0.33,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8,355,1,1,2,12,17.587352901542673
