AREA,RANGE,EC
0.13,3.0,0.2759433962264151
0.13,2.0,0.17844339622641509
0.15,1.0,0.2115566037735849
0.15,3.0,0.3173349056603773
0.15,2.0,0.20520990566037736
0.17,1.0,0.23905896226415094
0.17,3.0,0.3585884433962264
0.17,2.0,0.23188719339622638
0.18,1.0,0.2510119103773585
0.18,3.0,0.3765178655660377
0.18,2.0,0.24348155306603772
0.2,1.0,0.27862322051886795
0.2,3.0,0.4179348308018868
0.2,2.0,0.27026452391509437
0.21,1.0,0.29255438155660385
0.21,3.0,0.4388315723113208
0.21,2.0,0.2837777500943396
0.22,1.0,0.3042565567924529
0.22,3.0,0.4563848351886793
0.22,2.0,0.2951288600943396
0.24,1.0,0.33163964693396225
0.24,3.0,0.4974594702830189
0.24,2.0,0.3216904575
0.28,1.0,0.3847019904245284
0.28,3.0,0.5770529858490566
0.28,2.0,0.3731609307075472
0.3,1.0,0.4116311297641509
0.3,3.0,0.6174466948113208
0.3,2.0,0.3992821958490566
0.33,1.0,0.4527942427358491
0.33,3.0,0.6791913641509435
0.33,2.0,0.43921041547169815
0.35,1.0,0.47996189716981136
0.35,3.0,0.719942845754717
0.35,2.0,0.4655630403773586
0.36,1.0,0.4895611353773585
0.36,3.0,0.7343417028301886
0.36,2.0,0.4748743014150944
0.4,1.0,0.5434128599056604
0.4,3.0,0.8151192900943396
0.4,2.0,0.527110474528302
0.42,1.0,0.5705835033018869
0.42,3.0,0.8558752547169812
0.42,2.0,0.5534659981132075
0.45,1.0,0.6105243481132077
0.45,3.0,0.9157865226415096
0.45,2.0,0.5922086179245283
0.46,1.0,0.6227348353773586
0.46,3.0,0.9341022528301889
0.46,2.0,0.6040527900943397
0.48,1.0,0.647644228773585
0.48,3.0,0.9714663429245284
0.48,2.0,0.6282149018867924
0.49,1.0,0.6605971132075471
0.49,3.0,0.9908956698113208
0.49,2.0,0.6407792000000001
0.5,1.0,0.6738090556603775
0.5,3.0,1.010713583490566
0.5,2.0,0.6535947839622642
0.51,1.0,0.6872852367924529
0.51,3.0,1.0309278551886791
0.51,2.0,0.6666666797169811
0.55,1.0,0.7353952033018868
0.55,3.0,1.103092804716981
0.55,2.0,0.7133333471698113
0.6,1.0,0.8015807716981133
0.6,3.0,1.202371157075472
0.6,2.0,0.7775333485849057
0.65,1.0,0.865707233490566
0.65,3.0,1.29856085
0.65,2.0,0.839736016037736
0.7,1.0,0.9263067396226415
0.7,3.0,1.3894601094339625
0.7,2.0,0.8985175372641511
0.715,1.0,0.944832874528302
0.715,3.0,1.4172493117924527
0.715,2.0,0.9164878882075472
0.75,1.0,0.9826261891509435
0.75,3.0,1.4739392839622643
0.75,2.0,0.953147403773585
0.8,1.0,1.0415837608490564
0.8,3.0,1.562375641037736
0.8,2.0,1.0103362481132077
0.85,1.0,1.1040787863207546
0.85,3.0,1.6561181797169813
0.85,2.0,1.0709564226415094
0.87,1.0,1.126160362264151
0.87,3.0,1.6892405429245285
0.87,2.0,1.0923755514150946
0.9,1.0,1.1599451731132076
0.9,3.0,1.7399177594339623
0.9,2.0,1.1251468179245283
0.96,1.0,1.2295418834905663
0.96,3.0,1.844312825
0.96,2.0,1.1926556268867925
0.98,1.0,1.2541327207547168
0.98,3.0,1.8811990816037731
0.98,2.0,1.2165087391509433
1.1,1.0,1.4046286476415095
1.1,3.0,2.106942971226415
1.1,2.0,1.362489788207547
1.13,1.0,1.432721220283019
1.13,3.0,2.149081830660377
1.13,2.0,1.3897395839622642
1.17,1.0,1.475702857075472
1.17,3.0,2.2135542853773584
1.17,2.0,1.4314317712264149
1.2,1.0,1.5052169141509433
1.2,3.0,2.257825371226415
1.2,2.0,1.4600604066037737
1.23,1.0,1.5353212523584907
1.23,3.0,2.302981878773585
1.23,2.0,1.4892616150943396
1.27,1.0,1.5813808900943398
1.27,3.0,2.3720713349056606
1.27,2.0,1.5339394632075471
1.3,1.0,1.6130085080188679
1.3,3.0,2.4195127617924523
1.3,2.0,1.5646182528301886
1.33,1.0,1.6452686778301888
1.33,3.0,2.4679030169811322
1.33,2.0,1.5959106174528301
1.35,1.0,1.6617213646226419
1.35,3.0,2.492582047169812
1.35,2.0,1.611869724056604
1.37,1.0,1.6783385783018867
1.37,3.0,2.51750786745283
1.37,2.0,1.627988421226415
1.4,1.0,1.71190535
1.4,3.0,2.5678580250000005
1.4,2.0,1.6605481896226415
1.43,1.0,1.7461434570754717
1.43,3.0,2.6192151853773584
1.43,2.0,1.6937591533018868
1.47,1.0,1.7810663259433965
1.47,3.0,2.6715994891509443
1.47,2.0,1.7276343363207547
1.5,1.0,1.816687652830189
1.5,3.0,2.7250314792452826
1.5,2.0,1.7621870231132075
1.53,1.0,1.853021405660377
1.53,3.0,2.779532108490566
1.53,2.0,1.7974307636792455
1.55,1.0,1.871551619811321
1.55,3.0,2.807327429716981
1.55,2.0,1.8154050712264151
1.58,1.0,1.8902671358490568
1.58,3.0,2.8354007037735847
1.58,2.0,1.8335591216981126
1.6,1.0,1.90916980754717
0.1,3.0,2.863754710849057
1.6,2.0,1.8518947132075476
1.64,1.0,1.947353203301887
1.64,3.0,2.921029805188679
1.64,2.0,1.88893260754717
1.69,1.0,2.0057737995283023
1.69,3.0,3.0086606995283023
1.69,2.0,1.9456005858490568
1.72,1.0,2.025831537735849
1.72,3.0,3.038747306603773
1.72,2.0,1.965056591509434
1.75,1.0,2.046089852830189
1.75,3.0,3.069134779245283
1.75,2.0,1.9847071575471695
1.78,1.0,2.066550751415095
1.78,3.0,3.0998261273584906
1.78,2.0,2.0045542287735847
1.8,1.0,2.0872162589622643
1.8,3.0,3.130824388679245
1.8,2.0,2.024599771226415
1.84,1.0,2.1289605844339627
1.84,3.0,3.1934408764150946
1.84,2.0,2.0650917665094344
1.88,1.0,2.171539795754717
1.88,3.0,3.2573096938679247
1.88,2.0,2.1063936018867926
1.92,1.0,2.214970591981132
1.92,3.0,3.322455887735849
1.92,2.0,2.148521474056604
2.0,1.0,2.303569415566038
2.0,3.0,3.4553541231132074
2.0,2.0,2.234462333018868
2.2,1.0,2.533926357075472
2.2,3.0,3.800889535377359
2.2,2.0,2.4579085665094347
