AREA,RANGE,EC
0.13,2.0,0.016821462264150946
0.13,1.0,0.031239858490566038
0.15,3.0,0.027635259433962264
0.15,2.0,0.019344681603773586
0.15,1.0,0.03592583726415094
0.17,3.0,0.031227843160377362
0.17,2.0,0.021859490212264153
0.17,1.0,0.04059619610849057
0.18,3.0,0.03278923532075472
0.18,2.0,0.02295246472169811
0.18,1.0,0.04262600591509435
0.2,3.0,0.03639605120283019
0.2,2.0,0.025477235844339623
0.2,1.0,0.047314866556603774
0.21,3.0,0.038215853764150945
0.21,2.0,0.026751097636792457
0.21,1.0,0.04968060990566038
0.22,3.0,0.039744487915094336
0.22,2.0,0.02782114153773585
0.22,1.0,0.05166783429245283
0.24,3.0,0.0433214918254717
0.24,2.0,0.030325044278301884
0.24,1.0,0.05631793938679245
0.28,3.0,0.05025293051886793
0.28,2.0,0.03517705136320755
0.28,1.0,0.06532880966981132
0.3,3.0,0.05377063566037737
0.3,2.0,0.037639444957547175
0.3,1.0,0.06990182636792452
0.33,3.0,0.05914769919811322
0.33,2.0,0.04140338945283019
0.33,1.0,0.07689200900943396
0.35,3.0,0.0626965611792453
0.35,2.0,0.04388759282075472
0.35,1.0,0.0815055295283019
0.36,3.0,0.06520442363207547
0.36,2.0,0.04564309653301887
0.36,1.0,0.08476575070754717
0.4,3.0,0.05066383716981132
0.4,2.0,0.0940899833018868
0.4,1.0,0.05623685924528302
0.42,3.0,0.05319702900943397
0.42,2.0,0.09879448245283019
0.42,1.0,0.059048702216981115
0.45,3.0,0.056920821037735846
0.45,2.0,0.1057100962264151
0.45,1.0,0.06318211136792454
0.46,3.0,0.058059237452830204
0.46,2.0,0.10782429816037736
0.46,1.0,0.06444575358490566
0.48,3.0,0.060381606981132076
0.48,2.0,0.11213727004716982
0.48,1.0,0.0670235837264151
0.49,3.0,0.061589239103773584
0.49,2.0,0.11438001547169813
0.49,1.0,0.0683640554245283
0.5,3.0,0.06282102386792453
0.5,2.0,0.1166676158018868
0.5,1.0,0.06973133650943397
0.51,3.0,0.06407744433962265
0.51,2.0,0.11900096811320757
0.51,1.0,0.07112596325471697
0.55,3.0,0.12733103584905658
0.55,2.0,0.07610478066037736
0.55,1.0,0.13624420839622642
0.6,3.0,0.1387908291037736
0.6,2.0,0.08295421094339624
0.6,1.0,0.14850618712264152
0.65,3.0,0.14989409542452828
0.65,2.0,0.08959054778301886
0.65,1.0,0.16038668207547171
0.7,3.0,0.16038668207547171
0.7,2.0,0.09586188613207548
0.7,1.0,0.1716137498584906
0.715,3.0,0.16359441575471695
0.715,2.0,0.09777912386792452
0.715,1.0,0.17504602485849055
0.75,3.0,0.17013819235849056
0.75,2.0,0.10169028882075472
0.75,1.0,0.18204786584905663
0.8,3.0,0.18034648391509436
0.8,2.0,0.10779170613207548
0.8,1.0,0.19297073778301885
0.85,3.0,0.1911672729245283
0.85,2.0,0.11425920853773584
0.85,1.0,0.2045489820754717
0.87,3.0,0.19499061839622644
0.87,2.0,0.11654439268867925
0.87,1.0,0.20863996169811322
0.9,3.0,0.20084033693396225
0.9,2.0,0.12004072448113208
0.9,1.0,0.21489916056603772
0.96,3.0,0.21289075716981132
0.96,2.0,0.1272431679245283
0.96,1.0,0.2277931101886793
0.98,3.0,0.21714857231132081
0.98,2.0,0.12978803132075473
0.98,1.0,0.23234897235849059
1.1,3.0,0.24320640099056604
1.1,2.0,0.14536259504716983
1.1,1.0,0.2602308490566038
1.13,3.0,0.248070529009434
1.13,2.0,0.14826984698113205
1.13,1.0,0.2654354660377359
1.17,3.0,0.2555126449056604
1.17,2.0,0.15271794235849057
1.17,1.0,0.27339853004716985
1.2,3.0,0.2606228977830189
1.2,2.0,0.1557723012264151
1.2,1.0,0.2788665006132075
1.23,3.0,0.265835355754717
1.23,2.0,0.15888774721698112
1.23,1.0,0.2844438306603773
1.27,3.0,0.27381041641509435
1.27,2.0,0.16365437966981133
1.27,1.0,0.29297714556603777
1.3,3.0,0.279286624764151
1.3,2.0,0.16692746726415095
1.3,1.0,0.29883668849056605
1.33,3.0,0.2857102171226415
1.33,2.0,0.17076679900943395
1.33,1.0,0.3057099323113207
1.35,3.0,0.2914244214622642
1.35,2.0,0.17418213495283022
1.35,1.0,0.3118241309433962
1.37,3.0,0.29725290985849057
1.37,2.0,0.17766577768867925
1.37,1.0,0.31806061358490567
1.4,3.0,0.30319796806603777
1.4,2.0,0.18121909320754714
1.4,1.0,0.32442182584905666
1.43,3.0,0.3092619274528302
1.43,2.0,0.18484347509433963
1.43,1.0,0.33091026235849064
1.47,3.0,0.3123545466981132
1.47,2.0,0.18669190985849057
1.47,1.0,0.33421936500000005
1.5,3.0,0.31860163764150945
1.5,2.0,0.1904257480188679
1.5,1.0,0.34090375226415087
1.53,3.0,0.1961385204716981
1.53,2.0,0.3511308648584906
1.53,1.0,0.20202267608490568
1.55,3.0,0.2000612908962264
1.55,2.0,0.3581534821698113
1.55,1.0,0.20606312962264156
1.58,3.0,0.2024620263679245
1.58,2.0,0.3624513239150943
1.58,1.0,0.20853588716981128
1.6,3.0,0.20853588716981128
0.1,2.0,0.3733248636320754
1.6,1.0,0.2147919637735849
1.64,3.0,0.2147919637735849
1.64,2.0,0.38452460957547174
1.64,1.0,0.2212357226886793
1.69,3.0,0.2233836423584906
1.69,2.0,0.3999055939622642
1.69,1.0,0.23008515160377357
1.72,3.0,0.23231898801886797
1.72,2.0,0.41590181768867923
1.72,1.0,0.2392885576886793
1.75,3.0,0.24161174754716983
1.75,2.0,0.4325378904245283
1.75,1.0,0.24886010000000003
1.78,3.0,0.2512762174528302
1.78,2.0,0.4498394060377358
1.78,1.0,0.2588145039622642
1.8,3.0,0.2613272661792453
1.8,2.0,0.467832982264151
1.8,1.0,0.2691670841509434
1.84,3.0,0.2717803567924529
1.84,2.0,0.4865463014150944
1.84,1.0,0.27993376750000004
1.88,3.0,0.2826515710849057
1.88,2.0,0.5060081537735849
1.88,1.0,0.29113111820754717
1.92,3.0,0.29395763391509433
1.92,2.0,0.5262484797169812
1.92,1.0,0.3027763629245283
2.0,3.0,0.3057159392924529
2.0,2.0,0.5472984188679246
2.0,1.0,0.31488741745283017
2.2,3.0,0.33934469259433964
2.2,2.0,0.6075012448113208
2.2,1.0,0.3495250333490566
