AREA,RANGE,EC
0.13,2.0,0.0339622641509434
0.15,1.0,0.037971698113207546
0.15,2.0,0.03905660377358491
0.17,1.0,0.04290801886792453
0.17,2.0,0.04413396226415094
0.18,1.0,0.04505341981132075
0.18,2.0,0.04634066037735849
0.2,1.0,0.05000929599056604
0.2,2.0,0.051438133018867925
0.21,1.0,0.052509760801886796
0.21,2.0,0.05401003966981132
0.22,1.0,0.054610151226415105
0.22,2.0,0.05617044127358491
0.24,1.0,0.05952506481132076
0.24,2.0,0.061225780990566046
0.28,1.0,0.06904907518867925
0.28,2.0,0.07102190594339623
0.3,1.0,0.07388251047169811
0.3,2.0,0.07599343933962265
0.33,1.0,0.8127076150943398
0.33,2.0,0.8359278325471698
0.35,1.0,0.8614700721698113
0.35,2.0,0.8860835028301889
0.36,1.0,0.8959288750000001
0.36,2.0,0.9215268429245284
0.4,1.0,0.9944810514150944
0.4,2.0,1.0228947952830187
0.42,1.0,1.0442051037735849
0.42,2.0,1.0740395353773586
0.45,1.0,1.1172994608490567
0.45,2.0,1.1492223028301887
0.46,1.0,1.139645450471698
0.46,2.0,1.1722067485849057
0.48,1.0,1.1852312683962265
0.48,2.0,1.2190950188679246
0.49,1.0,1.2089358933962264
0.49,2.0,1.2434769193396227
0.5,1.0,1.2331146113207545
0.5,2.0,1.2683464575471701
0.51,1.0,1.2577769037735849
0.51,2.0,1.2937133867924528
0.55,1.0,1.3458212867924528
0.55,2.0,1.3842733235849056
0.6,1.0,1.4669452028301888
0.6,2.0,1.5088579231132075
0.65,1.0,1.5843008188679246
0.65,2.0,1.6295665566037736
0.7,1.0,1.6952018764150947
0.7,2.0,1.7436362155660377
0.715,1.0,1.7291059136792455
0.715,2.0,1.7785089400943397
0.75,1.0,1.798270150471698
0.75,2.0,1.8496492976415086
0.8,1.0,1.9061663594339624
0.8,2.0,1.9606282556603771
0.85,1.0,2.020536341037736
0.85,2.0,2.078265950943396
0.87,1.0,2.0609470679245283
0.87,2.0,2.119831269811321
0.9,1.0,2.1227754797169807
0.9,2.0,2.183426208018868
0.96,1.0,2.2501420084905663
0.96,2.0,2.3144317801886793
0.98,1.0,2.2951448490566038
0.98,2.0,2.3607204160377355
1.1,1.0,2.5705622306603773
1.1,2.0,2.6440068660377363
1.13,1.0,2.621973475471698
1.13,2.0,2.696887003301887
1.17,1.0,2.700632679716981
1.17,2.0,2.7777936132075474
1.2,1.0,2.754645333018868
1.2,2.0,2.8333494853773584
1.23,1.0,2.809738239622642
1.23,2.0,2.890016475471698
1.27,1.0,2.8940303872641513
1.27,2.0,2.976716969339622
1.3,1.0,2.951910994811321
1.3,2.0,3.036251308962265
1.33,1.0,3.0198049476415094
1.33,2.0,3.1060850891509437
1.35,1.0,3.080201046698113
1.35,2.0,3.168206791037736
1.37,1.0,3.14180506745283
1.37,2.0,3.231570926415094
1.4,1.0,3.2360592198113207
1.4,2.0,3.328518054245283
1.43,1.0,3.300780403773585
1.43,2.0,3.395088415566038
1.45,1.0,3.366796012264151
1.45,2.0,3.462990183962265
1.47,1.0,3.400463972169812
1.47,2.0,3.497620085849057
1.5,1.0,3.502477891509434
1.5,2.0,3.602548688207547
1.53,1.0,3.607552228301887
1.53,2.0,3.7106251490566042
1.55,1.0,3.6797032726415098
1.55,2.0,3.784837651886792
1.58,1.0,3.790094370754717
1.58,2.0,3.898382781603774
1.6,1.0,3.941698145754717
1.6,2.0,4.0543180924528315
1.64,1.0,4.099366071698114
1.64,2.0,4.216490816509434
1.69,1.0,4.263340714150943
1.69,2.0,4.385150449056604
1.72,1.0,4.348607528773584
1.72,2.0,4.472853458018868
1.75,1.0,4.435579679245283
1.75,2.0,4.562310527358491
1.78,1.0,4.52429127264151
1.78,2.0,4.65355673773585
1.8,1.0,4.614777098113208
1.8,2.0,4.746627872641509
1.84,1.0,4.799368183962264
1.84,2.0,4.936492985849057
1.88,1.0,4.991342910377359
1.88,2.0,5.13395270754717
1.92,1.0,5.190996627358491
1.92,2.0,5.339310816037737
2.0,1.0,5.398636490566037
2.0,2.0,5.552883250000001
2.2,1.0,5.9924865047169815
2.2,2.0,6.163700405660378
