AREA,RANGE,EC
0.13,2.0,0.21713844339622645
0.13,3.0,0.2605661320754717
0.15,1.0,0.3329456132075471
0.15,2.0,0.2497092099056604
0.15,3.0,0.2996510518867925
0.17,1.0,0.3762285429245284
0.17,2.0,0.2821714072169811
0.17,3.0,0.33860568863207546
0.18,1.0,0.39503997009433955
0.18,2.0,0.29627997754716984
0.18,3.0,0.3555359730660377
0.2,1.0,0.4384943667924528
0.2,2.0,0.32887077509433965
0.2,3.0,0.39464493009433965
0.21,1.0,0.4604190850943396
0.21,2.0,0.34531431382075484
0.21,3.0,0.4143771766037736
0.22,1.0,0.4788358485849057
0.22,2.0,0.35912688641509444
0.22,3.0,0.43095226367924533
0.24,1.0,0.521931075
0.24,2.0,0.39144830617924536
0.24,3.0,0.46973796740566043
0.28,1.0,0.6054400466981132
0.28,2.0,0.4540800351415094
0.28,3.0,0.5448960419811322
0.3,1.0,0.6478208500000001
0.3,2.0,0.48586563773584907
0.3,3.0,0.5830387650943397
0.33,1.0,0.7126029353773584
0.33,2.0,0.5344522014150943
0.33,3.0,0.641342641509434
0.35,1.0,0.7553591113207547
0.35,2.0,0.5665193334905662
0.35,3.0,0.6798232
0.36,1.0,0.7704662933962264
0.36,2.0,0.5778497202830188
0.36,3.0,0.6934196641509434
0.4,1.0,0.8552175858490566
0.4,2.0,0.6414131891509435
0.4,3.0,0.7696958273584906
0.42,1.0,0.8979784650943395
0.42,2.0,0.6734838485849057
0.42,3.0,0.8081806183962266
0.45,1.0,0.96083695754717
0.45,2.0,0.7206277183962264
0.45,3.0,0.8647532617924528
0.46,1.0,0.9800536966981133
0.46,2.0,0.7350402726415095
0.46,3.0,0.8820483268867925
0.48,1.0,1.0192558448113207
0.48,2.0,0.7644418834905662
0.48,3.0,0.9173302603773584
0.49,1.0,1.039640961320755
0.49,2.0,0.7797307212264151
0.49,3.0,0.9356768655660376
0.5,1.0,1.0604337806603776
0.5,2.0,0.7953253353773584
0.5,3.0,0.9543904028301886
0.51,1.0,1.0816424566037737
0.51,2.0,0.8112318424528302
0.51,3.0,0.9734782108490566
0.55,1.0,1.1573574283018868
0.55,2.0,0.868018071226415
0.55,3.0,1.0416216853773588
0.6,1.0,1.2615195966981132
0.6,2.0,0.9461396976415094
0.6,3.0,1.1353676372641508
0.65,1.0,1.3624411646226415
0.65,2.0,1.0218308735849058
0.65,3.0,1.2261970481132076
0.7,1.0,1.457812046226415
0.7,2.0,1.0933590344339623
0.7,3.0,1.3120308415094342
0.715,1.0,1.4869682872641508
0.715,2.0,1.1152262150943395
0.715,3.0,1.338271458490566
0.75,1.0,1.5464470183962262
0.75,2.0,1.159835264150943
0.75,3.0,1.391802316509434
0.8,1.0,1.6392338396226416
0.8,2.0,1.2294253797169812
0.8,3.0,1.4753104556603776
0.85,1.0,1.7375878702830188
0.85,2.0,1.3031909023584904
0.85,3.0,1.5638290830188677
0.87,1.0,1.7723396273584906
0.87,2.0,1.329254720754717
0.87,3.0,1.5951056646226416
0.9,1.0,1.8255098165094341
0.9,2.0,1.3691323622641507
0.9,3.0,1.6429588349056605
0.96,1.0,1.9350404051886791
0.96,2.0,1.4512803037735849
0.96,3.0,1.7415363646226414
0.98,1.0,1.9737412132075476
0.98,2.0,1.4803059099056604
0.98,3.0,1.776367091981132
1.1,1.0,2.210590158962264
1.1,2.0,1.6579426193396225
1.1,3.0,1.9895311429245284
1.13,1.0,2.254801962264152
1.13,2.0,1.6911014716981132
1.13,3.0,2.0293217660377363
1.17,1.0,2.3224460212264155
1.17,2.0,1.7418345155660375
1.17,3.0,2.0902014188679248
1.2,1.0,2.4385683221698113
1.2,2.0,1.8289262415094343
1.2,3.0,2.19471149009434
1.23,1.0,2.487339688679245
1.23,2.0,1.865504766509434
1.23,3.0,2.238605719811321
1.27,1.0,2.561959879245283
1.27,2.0,1.9214699094339622
1.27,3.0,2.3057638910377363
1.3,1.0,2.6131990768867923
1.3,2.0,1.95989930754717
1.3,3.0,2.351879168867925
1.33,1.0,2.6654630584905665
1.33,2.0,1.9990972938679248
1.33,3.0,2.3989167523584904
1.35,1.0,2.7187723193396227
1.35,2.0,2.039079239622641
1.35,3.0,2.446895087735849
1.37,1.0,2.773147766037736
1.37,2.0,2.0798608245283017
1.37,3.0,2.4958329891509434
1.4,1.0,2.8563421990566042
1.4,2.0,2.142256649056604
1.4,3.0,2.570707978773585
1.43,1.0,2.9134690429245285
1.43,2.0,2.1851017820754723
1.43,3.0,2.622122138679245
1.47,1.0,2.971738423584905
1.47,2.0,2.228803817924528
1.47,3.0,2.674564581132076
1.5,1.0,3.031173191981132
1.5,2.0,2.273379894339623
1.5,3.0,2.7280558731132074
1.53,1.0,3.1221083877358486
1.53,2.0,2.341581291037736
1.53,3.0,2.809897549056604
1.55,1.0,3.184550555660378
1.55,2.0,2.3884129169811317
1.55,3.0,2.8660955
1.58,1.0,3.2482415669811324
1.58,2.0,2.436181175
1.58,3.0,2.9234174099056602
1.6,1.0,3.3456888136792458
0.1,2.0,2.509266610377358
1.6,3.0,3.0111199325471696
1.64,1.0,3.41260259009434
1.64,2.0,2.55945194245283
1.64,3.0,3.071342331132076
1.69,1.0,3.480854641981132
1.69,2.0,2.610640981603774
1.69,3.0,3.1327691778301885
1.72,1.0,3.585280281132076
1.72,2.0,2.6889602108490567
1.72,3.0,3.226752252830188
1.75,1.0,3.6928386896226417
1.75,2.0,2.7696290169811317
1.75,3.0,3.323554820754717
1.78,1.0,3.8036238504716984
1.78,2.0,2.852717887735849
1.78,3.0,3.42326146509434
1.8,1.0,3.8796963273584906
1.8,2.0,2.90977224528302
1.8,3.0,3.4917266943396226
1.84,1.0,3.9184932905660377
1.84,2.0,2.938869967924529
1.84,3.0,3.5266439613207545
1.88,1.0,3.996863156132076
1.88,2.0,2.99764736745283
1.88,3.0,3.597176840566038
1.92,1.0,4.15673768254717
1.92,2.0,3.117553261792453
1.92,3.0,3.741063914150943
2.0,1.0,4.32300719009434
2.0,2.0,3.2422553924528303
2.0,3.0,3.890706470754717
2.2,1.0,4.755307910377358
2.2,2.0,3.566480931603774
2.2,3.0,4.279777117924528
