AREA,RANGE,EC
0.15,1.0,0.1410377358490566
0.17,1.0,0.15937264150943398
0.18,1.0,0.16734127358490566
0.2,1.0,0.1857488136792453
0.21,1.0,0.19503625436320757
0.22,1.0,0.20283770453773586
0.24,1.0,0.22109309794613208
0.28,1.0,0.2564679936175132
0.3,1.0,0.2744207531707392
0.33,1.0,0.3018628284878132
0.35,1.0,0.31997459819708207
0.36,1.0,0.3263740901610236
0.4,1.0,0.36227524007873635
0.42,1.0,0.3803890020826731
0.45,1.0,0.4070162322284604
0.46,1.0,0.41515655687302966
0.48,1.0,0.43176281914795095
0.49,1.0,0.4403980755309099
0.5,1.0,0.44920603704152834
0.51,1.0,0.4581901577823589
0.55,1.0,0.4719358625158302
0.6,1.0,0.5144100901422548
0.65,1.0,0.5555628973536368
0.7,1.0,0.5944523001683916
0.715,1.0,0.6063413461717595
0.75,1.0,0.6305950000186321
0.8,1.0,0.66843070001975
0.85,1.0,0.708536542020934
0.87,1.0,0.7227072728613538
0.9,1.0,0.7443884910471934
0.96,1.0,0.7890518005100235
0.98,1.0,0.8048328365202264
1.1,1.0,0.9014127769026556
1.13,1.0,0.9014127769026556
1.17,1.0,0.9104269046716841
1.2,1.0,0.9377397118118348
1.23,1.0,0.9564945060480708
1.27,1.0,0.9756243961690331
1.3,1.0,0.995136884092415
1.33,1.0,1.015039621774264
1.35,1.0,1.03534041420975
1.37,1.0,1.0456938183518492
1.4,1.0,1.0561507565353678
1.43,1.0,1.0772737716660756
1.45,1.0,1.0988192470993963
1.47,1.0,1.1098074395703916
1.5,1.0,1.1209055139660942
1.53,1.0,1.1433236242454152
1.55,1.0,1.1661900967303256
1.58,1.0,1.1778519976976274
1.6,1.0,1.189630517674604
1.64,1.0,1.2264150943396228
1.69,1.0,1.238679245283019
1.72,1.0,1.2758396226415094
1.75,1.0,1.2885947075471702
1.78,1.0,1.301481418773585
1.8,1.0,1.3144956386216984
1.84,1.0,1.32764174123433
1.88,1.0,1.3409198567598815
1.92,1.0,1.3677361312535694
2.0,1.0,1.3950900048220367
2.2,1.0,1.4508963219960505
