AREA,RANGE,EC
0.15,1,0.016981132075471698
0.17,1,0.019811320754716984
0.18,1,0.02020754716981132
0.2,1,0.02061169811320755
0.21,1,0.021023932075471697
0.22,1,0.021444410716981128
0.24,1,0.021873298931320756
0.28,1,0.02624795871758491
0.3,1,0.02231076490994717
0.33,1,0.022756980208146132
0.35,1,0.02321211981230906
0.36,1,0.023676362208555242
0.4,1,0.02414988945272632
0.42,1,0.024632887241780848
0.45,1,0.02512554498661646
0.46,1,0.025628055886348818
0.48,1,0.0261406170040758
0.49,1,0.02666342934415731
0.5,1,0.027196697931040428
0.51,1,0.02774063188966128
0.55,1,0.02885025716524769
0.6,1,0.028295444527454486
0.65,1,0.028861353418003582
0.7,1,0.02943858048636364
0.715,1,0.0300273520960909
0.75,1,0.03062789913801274
0.8,1,0.03124045712077297
0.85,1,0.031865266263188446
0.87,1,0.03250257158845221
0.9,1,0.03315262302022128
0.96,1,0.03381567548062571
0.98,1,0.034491988990238205
1.1,1,0.03518182877004297
1.13,1,0.035885465345443825
1.17,1,0.03660317465235269
1.2,1,0.03733523814539977
1.23,1,0.03808194290830773
1.27,1,0.03884358176647392
1.3,1,0.0396204534018034
1.33,1,0.04041286246983949
1.35,1,0.04202937696863302
1.37,1,0.041221119719236275
1.4,1,0.04204554211362099
1.43,1,0.04288645295589339
1.45,1,0.04374418201501128
1.47,1,0.04461906565531151
1.5,1,0.04551144696841773
1.53,1,0.04642167590778609
1.55,1,0.047350109425941984
1.58,1,0.048297111614460854
1.6,1,0.04926305384675
1.64,1,0.050248314923684916
1.69,1,0.05125328122215849
1.72,1,0.05227834684660189
1.75,1,0.053323913783533974
1.78,1,0.05439039205920425
1.8,1,0.05547819990038868
1.84,1,0.056587763898396225
1.88,1,0.05885127445433208
1.92,1,0.05771951917636416
2.0,1,0.05887390955989151
2.2,1,0.06005138775108915
