AREA,RANGE,EC
0.13,2,1.886792452830189
0.13,3,2.830188679245283
0.13,4,3.773584905660378
0.13,5,4.716981132075472
0.15,1,1.3561320754716983
0.15,2,27.122641509433958
0.15,3,4.0683962264150955
0.15,4,5.424528301886793
0.15,5,6.78066037735849
0.17,1,3.064858490566038
0.17,2,6.129716981132076
0.17,3,9.194575471698112
0.17,4,12.259433962264152
0.17,5,15.32429245283019
0.18,1,3.21810141509434
0.18,2,6.43620283018868
0.18,3,9.65430424528302
0.18,4,12.840224646226414
0.18,5,16.05028080778302
0.2,1,3.5720925707547173
0.2,2,7.144185141509435
0.2,3,10.716277712264151
0.2,4,14.25264935731132
0.2,5,17.81581169663915
0.21,1,3.750697199292453
0.21,2,7.501394398584906
0.21,3,11.25209159787736
0.21,4,14.965281825176888
0.21,5,18.706602281471135
0.22,1,3.9382320592570763
0.22,2,7.876464118514153
0.22,3,11.814696177771225
0.22,4,15.713545916435756
0.22,5,19.64193239554467
0.24,1,4.13514366221993
0.24,2,8.27028732443986
0.24,3,12.405430986659814
0.24,4,16.4992232122575
0.24,5,20.624029015321884
0.28,1,4.796766648175141
0.28,2,9.593533296350236
0.28,3,14.390299944525378
0.28,4,19.13909892621873
0.28,5,23.923873657773402
0.3,1,5.132540313547359
0.3,2,10.265080627094765
0.3,3,15.397620940642122
0.3,4,20.478835851054058
0.3,5,25.59854481381755
0.33,1,5.645794344902123
0.33,2,11.291588689804248
0.33,3,16.937383034706368
0.33,4,22.52671943615944
0.33,5,28.158399295199295
0.35,1,6.0409999490452835
0.35,2,12.08199989809052
0.35,3,18.1229998471358
0.35,4,24.103589796690613
0.35,5,30.12948724586326
0.36,1,6.343049946497548
0.36,2,12.686099892995049
0.36,3,19.0291498394926
0.36,4,25.30876928652514
0.36,5,31.635961608156418
0.4,1,7.040785440612264
0.4,2,14.081570881224527
0.4,3,21.122356321836747
0.4,4,28.092733908042927
0.4,5,35.115917385053635
0.42,1,7.252009003830613
0.42,2,14.504018007661227
0.42,3,21.756027011491884
0.42,4,28.9355159252842
0.42,5,36.16939490660524
0.45,1,7.920883620688775
0.45,2,15.841767241377596
0.45,3,23.76265086206637
0.45,4,31.604325646548258
0.45,5,39.505407058185334
0.46,1,8.000092456895661
0.46,2,16.00018491379137
0.46,3,21.280245935342496
0.46,4,28.302727094005522
0.46,5,35.378408867506934
0.48,1,8.240095230602547
0.48,2,16.480190461205098
0.48,3,3.296038092241019
0.48,4,4.3837306626805566
0.48,5,5.479663328350708
0.49,1,8.554554310343915
0.49,2,17.10910862068778
0.49,3,25.663662931031702
0.49,4,34.13267169827213
0.49,5,42.665839622840146
0.5,1,8.982282025861084
0.5,2,17.964564051722167
0.5,3,26.946846077583253
0.5,4,35.83930528318576
0.5,5,44.79913160398218
0.51,1,9.431396127154153
0.51,2,18.862792254308307
0.51,3,28.29418838146241
0.51,4,37.631270547345046
0.51,5,47.039088184181274
0.55,1,10.185907817326463
0.55,2,20.371815634652926
0.55,3,30.557723451979438
0.55,4,40.641772191132645
0.55,5,50.80221523891557
0.6,1,11.000780442712596
0.6,2,22.001560885425192
0.6,3,33.00234132813778
0.6,4,43.89311396642326
0.6,5,54.866392458029246
0.65,1,11.880842878129624
0.65,2,23.7616857562592
0.65,3,35.642528634388825
0.65,4,47.404563083737266
0.65,5,59.25570385467123
0.7,1,12.831310308379951
0.7,2,25.66262061675996
0.7,3,38.49393092513991
0.7,4,46.96259572867071
0.7,5,58.70324466083821
0.715,1,13.087936514547597
0.715,2,26.175873029095143
0.715,3,39.263809543642694
0.715,4,52.22086669304482
0.715,5,65.27608336630612
0.75,1,13.61145397512948
0.75,2,27.222907950258964
0.75,3,40.83436192538844
0.75,4,54.309701360766525
0.75,5,67.88712670095849
0.8,1,14.428141213637264
0.8,2,28.85628242727448
0.8,3,43.28442364091174
0.8,4,57.568283442412735
0.8,5,71.96035430301558
0.85,1,15.29382968645547
0.85,2,30.587659372910945
0.85,3,6.117531874582171
0.85,4,8.136317393194293
0.85,5,10.170396741492876
0.87,1,15.752644577049153
0.87,2,31.505289154098307
0.87,3,47.25793373114764
0.87,4,62.85305186242594
0.87,5,78.56631482803256
0.9,1,16.382750360131084
0.9,2,32.765500720262224
0.9,3,49.148251080393415
0.9,4,65.36717393692312
0.9,5,81.70896742115379
0.96,1,17.52954288534028
0.96,2,35.05908577068056
0.96,3,52.58862865602075
0.96,4,69.94287611250755
0.96,5,87.42859514063491
0.98,1,17.70483831419368
0.98,2,35.40967662838741
0.98,3,53.11451494258113
0.98,4,1.609530755835788
0.98,5,2.011913444794736
1.1,1,19.829418911896937
1.1,2,39.658837823793874
1.1,3,59.48825673569104
1.1,4,79.11938145846887
1.1,5,98.89922682308585
1.13,1,20.62259566837283
1.13,2,41.24519133674561
1.13,3,61.867787005118394
1.13,4,82.28415671680756
1.13,5,102.85519589600945
1.15,1,21.241273538424007
1.15,2,42.48254707684797
1.15,3,63.72382061527216
1.15,4,8475.268141831179
1.15,5,10594.085177288964
1.17,1,21.666099009192504
1.17,2,43.33219801838495
1.17,3,64.99829702757737
1.17,4,86.44773504667783
1.17,5,108.05966880834765
1.2,1,22.53274296956019
1.2,2,45.065485939120336
1.2,3,67.59822890868067
1.2,4,89.90564444854527
1.2,5,112.38205556068112
1.23,1,23.434052688342597
1.23,2,46.868105376685186
1.23,3,70.30215806502784
1.23,4,87.8776975812849
1.23,5,109.84712197660568
1.27,1,24.84009584964316
1.27,2,49.68019169928632
1.27,3,74.52028754892925
1.27,4,99.11198244007596
1.27,5,123.88997805009528
1.3,1,25.336897766635996
1.3,2,50.67379553327217
1.3,3,76.01069329990803
1.3,4,101.09422208887784
1.3,5,126.36777761109715
1.33,1,26.350373677301462
1.33,2,52.700747354602825
1.33,3,70.0919939816217
1.33,4,93.22235199555709
1.33,5,116.52793999444621
1.35,1,27.140884887620473
1.35,2,54.28176977524103
1.35,3,81.42265466286133
1.35,4,108.29213070160567
1.35,5,135.36516337700706
1.37,1,27.667892361166512
1.37,2,55.335784722333024
1.37,3,83.00367708349954
1.37,4,110.39489052105424
1.37,5,137.99361315131793
1.4,1,28.221250208389854
1.4,2,56.44250041677971
1.4,3,84.66375062516934
1.4,4,112.60278833147548
1.4,5,140.75348541434434
1.43,1,29.06788771464156
1.43,2,58.135775429283015
1.43,3,87.20366314392453
1.43,4,115.9808719814198
1.43,5,144.97608997677452
1.45,1,30.47895022506104
1.45,2,60.95790045012217
1.45,3,91.436850675183
1.45,4,121.6110113979934
1.45,5,152.013764247492
1.47,1,31.08852922956227
1.47,2,62.17705845912454
1.47,3,82.69548775063585
1.47,4,109.98499870834527
1.47,5,137.4812483854316
1.5,1,31.39941452185788
1.5,2,62.798829043715564
1.5,3,94.19824356557356
1.5,4,125.28366394221275
1.5,5,156.60457992776605
1.53,1,32.65539110273222
1.53,2,65.31078220546462
1.53,3,97.96617330819669
1.53,4,130.29501049990145
1.53,5,162.8687631248769
1.55,1,33.96160674684151
1.55,2,67.92321349368302
1.55,3,101.88482024052452
1.55,4,135.50681091989765
1.55,5,169.38351364987167
1.58,1,35.32007101671515
1.58,2,70.6401420334302
1.58,3,105.96021305014528
1.58,4,140.92708335669337
1.58,5,176.158854195867
1.6,1,36.73287385738377
1.6,2,73.46574771476746
1.6,3,110.19862157215142
1.6,4,146.56416669096134
1.6,5,183.20520836370142
1.64,1,37.83486007310528
1.64,2,75.66972014621037
1.64,3,113.50458021931604
1.64,4,150.96109169169011
1.64,5,188.7013646146128
1.69,1,39.72660307676057
1.69,2,79.45320615352122
1.69,3,119.17980923028162
1.69,4,158.50914627627452
1.69,5,198.13643284534336
1.72,1,41.71293323059858
1.72,2,83.42586646119717
1.72,3,125.13879969179577
1.72,4,166.43460359008822
1.72,5,208.0432544876104
1.75,1,43.3814505598225
1.75,2,86.76290111964526
1.75,3,130.14435167946743
1.75,4,173.09198773369198
1.75,5,216.3649846671151
1.78,1,45.11670858221543
1.78,2,90.23341716443063
1.78,3,135.35012574664623
1.78,4,180.01566724303964
1.78,5,225.01958405379958
1.8,1,46.47020983968189
1.8,2,92.94041967936369
1.8,3,139.41062951904573
1.8,4,185.41613726033066
1.8,5,231.7701715754132
1.84,1,48.329018233269345
1.84,2,96.6580364665382
1.84,3,144.98705469980752
1.84,4,192.8327827507439
1.84,5,241.0409784384302
1.88,1,49.29559859793443
1.88,2,98.59119719586886
1.88,3,147.88679579380377
1.88,4,196.68943840575895
1.88,5,245.86179800719856
1.92,1,53.73220247174859
1.92,2,107.46440494349719
1.92,3,161.19660741524575
1.92,4,214.39148786227688
1.92,5,267.9893598278462
2.0,1,55.881490570618396
2.0,2,111.76298114123726
2.0,3,167.64447171185566
2.0,4,222.96714737676842
2.0,5,278.7089342209604
2.2,1,67.05778868474245
2.2,2,134.11557736948444
2.2,3,201.1733660542269
2.2,4,267.5605768521217
2.2,5,334.4507210651523
