AREA,RANGE,EC
0.13,3,0.19811320754716985
0.13,4,0.26349056603773585
0.15,2,0.13471698113207548
0.15,3,0.20207547169811318
0.15,4,0.2687603773584906
0.17,2,0.1386792452830189
0.17,3,0.2080188679245283
0.17,4,0.27666509433962266
0.18,2,0.14006603773584905
0.18,3,0.21009905660377362
0.18,4,0.2794317452830189
0.2,2,0.14286735849056603
0.2,3,0.21430103773584908
0.2,4,0.28502038018867926
0.21,2,0.1442960320754717
0.21,3,0.21644404811320755
0.21,4,0.28787058399056603
0.22,2,0.1457389923962264
0.22,3,0.21860848859433962
0.22,4,0.2907492898304717
0.24,2,0.1501111621681132
0.24,3,0.22516674325216982
0.24,4,0.2994717685253859
0.28,2,0.15161227378979433
0.28,3,0.2274184106846915
0.28,4,0.30246648621063965
0.3,2,0.18763895271014158
0.3,3,0.2814584290652123
0.3,4,0.37433971065673255
0.33,2,0.1895153422372429
0.33,3,0.28427301335586463
0.33,4,0.3780831077633
0.35,2,0.19520080250436042
0.35,3,0.29280120375654056
0.35,4,0.3894256009961986
0.36,2,0.19910481855444767
0.36,3,0.29865722783167126
0.36,4,0.39721411301612264
0.4,2,0.21105110766771407
0.4,3,0.3165766615015717
0.4,4,0.4210469597970901
0.42,2,0.21738264089774575
0.42,3,0.3260739613466184
0.42,4,0.4336783685910029
0.45,2,0.22607794653365568
0.45,3,0.33911691980048353
0.45,4,0.4510255033346429
0.46,2,0.23059950546432878
0.46,3,0.345899258196493
0.46,4,0.46004601340133594
0.48,2,0.2352114955736151
0.48,3,0.3528172433604227
0.48,4,0.4586624163685496
0.49,2,0.23756361052935143
0.49,3,0.3563454157940269
0.49,4,0.47393940300605664
0.5,2,0.3563454157940269
0.5,3,0.47393940300605664
0.5,4,0.6303394059980566
0.51,2,0.24706615495052545
0.51,3,0.3705992324257882
0.51,4,0.4928969791262972
0.55,2,0.2594194626980519
0.55,3,0.3891291940470774
0.55,4,0.5175418280826133
0.6,2,0.2749846304599349
0.6,3,0.4124769456899024
0.6,4,0.5485943377675707
0.65,2,0.29148370828753123
0.65,3,0.4372255624312963
0.65,4,0.5815099980336226
0.7,2,0.30897273078478305
0.7,3,0.46345909617717407
0.7,4,0.6164005979156415
0.715,2,0.3120624580926307
0.715,3,0.4680936871389457
0.715,4,0.6225646038947972
0.75,2,0.3276655809972623
0.75,3,0.49149837149589154
0.75,4,0.6536928340895377
0.8,2,0.34732551585709814
0.8,3,0.5209882737856463
0.8,4,0.6929144041349105
0.85,2,0.3681650468085241
0.85,3,0.5522475702127877
0.85,4,0.7344892683830048
0.87,2,0.37920999821277973
0.87,3,0.5688149973191698
0.87,4,0.7565239464344953
0.9,2,0.3905862981591633
0.9,3,0.5858794472387453
0.9,4,0.7792196648275282
0.96,2,0.41792733903030427
0.96,3,0.6268910085454577
0.96,4,0.8337650413654576
0.98,2,0.42628588581091037
0.98,3,0.639428828716368
0.98,4,0.8504403421927641
1.1,2,0.5243316395474199
1.1,3,0.9591432430745471
1.1,4,1.275660513289151
1.13,2,0.5453049051293161
1.13,3,0.8179573576939765
1.13,4,1.0878832857329859
1.17,2,0.5671171013344904
1.17,3,0.8506756520017359
1.17,4,1.1313986171623065
1.2,2,0.589801785387868
1.2,3,0.884702678081802
1.2,4,1.1766545618487974
1.23,2,0.6133938568033821
1.23,3,0.9200907852050756
1.23,4,1.22372074432275
1.27,2,0.650197488211585
1.27,3,0.975296232317382
1.27,4,1.297143988982118
1.3,2,0.676205387740052
1.3,3,1.0143080816100756
1.3,4,1.349029748541401
1.33,2,0.7032536032496509
1.33,3,1.0548804048744764
1.33,4,1.4029909384830566
1.35,2,0.7454488194446321
1.35,3,1.1181732291669482
1.35,4,1.4871703947920425
1.37,2,0.7752667722224152
1.37,3,1.1629001583336274
1.37,4,1.5466572105837217
1.4,2,0.7678122840279715
1.4,3,1.1517184260419577
1.4,4,1.5317855066358022
1.43,2,0.8292372667502076
1.43,3,1.2438559001253118
1.43,4,1.654328347166665
1.45,2,0.8458220120852121
1.45,3,1.2687330181278207
1.45,4,1.68741491411
1.47,2,0.854114384752717
1.47,3,1.2811715771290706
1.47,4,1.7039581975816651
1.5,2,0.8626555286002406
1.5,3,1.2939832929003632
1.5,4,1.7209977795574811
1.53,2,0.88853519445825
1.53,3,1.3328027916873726
1.53,4,1.7726277129442076
1.55,2,0.9240766022365802
1.55,3,1.386114903354868
1.55,4,1.8435328214619766
1.58,2,0.9517989003036746
1.58,3,1.427698350455514
1.58,4,1.898838806105835
1.6,2,0.9898708563158256
1.6,3,1.484806284473736
1.6,4,1.974792358350066
1.64,2,1.0195669820052973
1.64,3,1.5293504730079484
1.64,4,2.0340361291005706
1.69,2,1.080741000925618
1.69,3,1.6211115013884243
1.69,4,2.156078296846604
1.72,2,1.134778050971896
1.72,3,1.702167076457844
1.72,4,2.2638822116889346
1.75,2,1.1915169535204906
1.75,3,1.7872754302807359
1.75,4,2.377076322273382
1.78,2,1.2391776316613112
1.78,3,1.858766447491967
1.78,4,2.472159375164316
1.8,2,1.2887447369277645
1.8,3,1.9331171053916465
1.8,4,2.5710457501708923
1.84,2,1.340294526404873
1.84,3,2.0104417896073117
1.84,4,2.6738875801777264
1.88,2,1.3805033621970189
1.88,3,2.070755043295533
1.88,4,2.7541042075830564
1.92,2,1.449528530306873
1.92,3,2.1742927954603064
1.92,4,2.8918094179622127
2.0,2,1.7249389510651794
2.0,3,2.587408426597769
2.0,4,3.4412532073750284
2.2,2,2.1561736888314718
2.2,3,3.234260533247208
2.2,4,4.301566509218787
