AREA,RANGE,EC
1300,Non asbestor,19036.528301886796
1300,Gypsum board,16181.049056603773
1500,Non asbestor,21892.00754716981
1500,Gypsum board,18608.20641509434
1700,Non asbestor,24737.96852830189
1700,Gypsum board,21027.27325
1800,Non asbestor,25974.86695283019
1800,Gypsum board,22078.636910377358
2000,Non asbestor,28832.10232075472
2000,Gypsum board,24507.286971698115
2100,Non asbestor,30273.707433962267
2100,Gypsum board,25732.65132075472
2200,Non asbestor,31484.655731132076
2200,Gypsum board,26761.95737264151
2400,Non asbestor,34318.27475
2400,Gypsum board,29170.53353773585
2800,Non asbestor,39809.19870754718
2800,Gypsum board,33837.8189009434
3000,Non asbestor,42595.84261792453
3000,Gypsum board,36206.4662264151
3300,Non asbestor,46855.42688207547
3300,Gypsum board,39827.112849056604
3500,Non asbestor,49666.7525
3500,Gypsum board,42216.739617924526
3600,Non asbestor,50660.08754716982
3600,Gypsum board,43061.07441037736
4000,Non asbestor,56232.69716981133
4000,Gypsum board,47797.792594339626
4200,Non asbestor,59044.332028301884
4200,Gypsum board,50187.68221698113
4500,Non asbestor,63177.435283018865
4500,Gypsum board,53700.82000000001
4600,Non asbestor,64440.98396226415
4600,Gypsum board,54774.83636792452
4800,Non asbestor,67018.62334905661
4800,Gypsum board,56965.82985849056
4900,Non asbestor,68358.99580188679
4900,Gypsum board,58105.14641509434
5000,Non asbestor,69726.17570754717
5000,Gypsum board,59267.24933962264
5100,Non asbestor,71120.69924528302
5100,Gypsum board,60452.59433962265
5500,Non asbestor,76099.14816037736
5500,Gypsum board,64684.275943396235
6000,Non asbestor,82948.07150943395
6000,Gypsum board,70505.8608018868
6500,Non asbestor,89583.91721698114
6500,Gypsum board,76146.32966981133
7000,Non asbestor,95854.79146226414
7000,Gypsum board,81476.57273584907
7150,Non asbestor,97771.88726415095
7150,Gypsum board,83106.1041981132
7500,Non asbestor,101682.76278301887
7500,Gypsum board,86430.34834905661
8000,Non asbestor,107783.72853773586
8000,Gypsum board,91616.16924528302
8500,Non asbestor,114250.75226415094
8500,Gypsum board,97113.13938679246
8700,Non asbestor,116535.76731132076
8700,Gypsum board,99055.40221698114
9000,Non asbestor,120031.8403301887
9000,Gypsum board,102027.06424528302
9600,Non asbestor,127233.75070754717
9600,Gypsum board,108148.68811320755
9800,Non asbestor,129778.425754717
9800,Gypsum board,110311.66188679246
11000,Non asbestor,145351.83683962264
11000,Gypsum board,123549.06132075471
11300,Non asbestor,148258.87358490564
11300,Gypsum board,126020.04254716981
11700,Non asbestor,152706.63976415095
11700,Gypsum board,129800.64382075472
12000,Non asbestor,155760.7725471698
12000,Gypsum board,132396.65669811322
12300,Non asbestor,158875.98801886794
12300,Gypsum board,135044.58981132074
12700,Non asbestor,163642.26764150942
12700,Gypsum board,139095.9275
13000,Non asbestor,166915.1130188679
13000,Gypsum board,141877.84608490567
13300,Non asbestor,170253.41528301887
13300,Gypsum board,144715.40297169812
13500,Non asbestor,173658.48358490565
13500,Gypsum board,147609.71103773586
13700,Non asbestor,177131.65325471698
13700,Gypsum board,150561.9052830189
14000,Non asbestor,180674.28632075473
14000,Gypsum board,153573.1433490566
14300,Non asbestor,184287.77202830187
14300,Gypsum board,156644.6062264151
14500,Non asbestor,187973.52749999997
14500,Gypsum board,159777.4983490566
14700,Non asbestor,191732.99801886792
14700,Gypsum board,162973.0483490566
15000,Non asbestor,195567.6579716981
15000,Gypsum board,166232.50929245286
15300,Non asbestor,199479.01113207545
15300,Gypsum board,169557.15948113208
15500,Non asbestor,203468.59136792453
15500,Gypsum board,172948.30268867925
15800,Non asbestor,207537.96320754717
15800,Gypsum board,176407.2687264151
16000,Non asbestor,211688.72245283017
16000,Gypsum board,179935.4141037736
16400,Non asbestor,218039.3841509434
16400,Gypsum board,185333.47650943397
16900,Non asbestor,224580.56566037735
16900,Gypsum board,190893.4808018868
17200,Non asbestor,229072.1769811321
17200,Gypsum board,194711.35042452833
17500,Non asbestor,235944.34231132077
17500,Gypsum board,200552.69094339624
17800,Non asbestor,240663.2291509434
17800,Gypsum board,204563.74476415094
18000,Non asbestor,247883.12599056604
18000,Gypsum board,210700.6571226415
18400,Non asbestor,255319.61981132076
18400,Gypsum board,217021.67683962267
18800,Non asbestor,265532.4045754717
18800,Gypsum board,225702.54391509434
19200,Non asbestor,276153.700754717
19200,Gypsum board,234730.64566037734
20000,Non asbestor,287199.84877358493
20000,Gypsum board,244119.87146226416
22000,Non asbestor,315919.8336792453
22000,Gypsum board,268531.8586320755
