AREA,RANGE,EC
1300,8,168113.20754716982
1300,12,254716.98113207548
1300,15,318396.22641509434
1500,8,179320.75471698114
1500,12,271698.11320754717
1500,15,339622.641509434
1700,8,201735.84905660377
1700,12,305660.3773584906
1700,15,382075.47169811325
1800,8,219892.07547169813
1800,12,333169.81132075476
1800,15,416462.2641509434
2000,8,259472.46226415096
2000,12,393140.09433962265
2000,15,327616.9811320755
2100,8,290609.2075471698
2100,12,440316.9811320754
2100,15,550396.2264150943
2200,8,334200.65094339626
2200,12,506364.6226415095
2200,15,632955.6603773586
2400,8,467880.84905660374
2400,12,708910.3773584906
2400,15,886138.2075471699
2800,8,467880.84905660374
2800,12,708910.3773584906
2800,15,886138.2075471699
3000,8,491275.0471698113
3000,12,744356.1320754717
3000,15,930445.283018868
3300,8,550227.9905660378
3300,12,833678.7735849058
3300,15,1042098.5849056604
3500,8,577739.4056603773
3500,12,875362.7358490566
3500,15,1094203.3018867925
3600,8,606626.2358490566
3600,12,919130.6603773586
3600,15,1148913.6792452831
4000,8,636957.5943396228
4000,12,965087.2641509434
4000,15,1206359.433962264
4200,8,668805.7075471699
4200,12,1013341.9811320754
4200,15,1266677.358490566
4500,8,702245.9150943398
4500,12,1064008.962264151
4500,15,1330011.320754717
4600,8,737358.2264150945
4600,12,1117209.433962264
4600,15,1396511.7924528301
4800,8,811093.924528302
4800,12,1228930.1886792453
4800,15,1511584.1320754716
4900,8,851648.7452830189
4900,12,1290376.8867924528
4900,15,2037499.5283018867
5000,8,938942.7735849057
5000,12,1422640.566037736
5000,15,1778300.9433962265
5100,8,938942.7735849057
5100,12,1422640.566037736
5100,15,1778300.9433962265
5500,8,938942.7735849057
5500,12,1422640.566037736
5500,15,1778300.9433962265
6000,8,985889.9433962265
6000,12,1493772.641509434
6000,15,1867215.566037736
6500,8,985889.9433962265
6500,12,1493772.641509434
6500,15,1867215.566037736
7000,8,1086943.7264150945
7000,12,1646884.433962264
7000,15,2058605.1886792455
7150,8,1141290.6792452831
7150,12,1729228.3018867925
7150,15,2161535.849056604
7500,8,1198355.462264151
7500,12,1815690.0943396227
7500,15,2269612.2641509436
8000,8,1342157.9433962263
8000,12,2033572.641509434
8000,15,2541966.037735849
8500,8,1409265.933962264
8500,12,2135251.4150943398
8500,15,2669064.1509433966
8700,8,1479729.3396226414
8700,12,2242014.1509433966
8700,15,2802517.4528301884
9000,8,1553715.6509433964
9000,12,2354114.6226415094
9000,15,2942643.396226415
9600,8,1631401.3867924528
9600,12,2471820.283018868
9600,15,3089775.4716981133
9800,8,1712971.4716981133
9800,12,2595411.320754717
9800,15,3244264.6226415094
11000,8,1798620.1698113207
11000,12,2725182.0754716983
11000,15,3406477.8301886795
11300,8,1888551.0849056602
11300,12,2861441.0377358496
11300,15,3576801.4150943398
11700,8,1982978.716981132
11700,12,3004513.20754717
11700,15,3755641.5094339624
12000,8,2082127.8396226414
12000,12,3154739.1509433966
12000,15,3943423.5849056602
12300,8,1987485.5660377361
12300,12,3312475.9433962265
12300,15,4140594.8113207547
12700,8,2410323.1132075475
12700,12,3652004.716981132
12700,15,4565006.132075472
13000,8,2410323.1132075475
13000,12,3652004.716981132
13000,15,4565006.132075472
13300,8,2530839.1132075475
13300,12,3834604.716981132
13300,15,4793256.132075472
13500,8,2530839.1132075475
13500,12,3834604.716981132
13500,15,4793256.132075472
13700,8,2657381.3490566043
13700,12,4026335.377358491
13700,15,5032918.867924528
14000,8,2790250.245283019
14000,12,4227651.886792453
14000,15,528456.1320754717
14300,8,2929762.726415095
14300,12,4439034.433962264
14300,15,5548793.396226415
14500,8,3076250.9716981133
14500,12,4660986.320754717
14500,15,5826233.018867925
14700,8,3230063.660377358
14700,12,4894035.849056604
14700,15,6117544.811320756
15000,8,3561145.1886792453
15000,12,5395674.528301887
15000,15,6744592.924528303
15300,8,3739202.292452831
15300,12,5665458.018867925
15300,15,7081822.641509434
15500,8,3926162.5471698116
15500,12,5948731.132075472
15500,15,7435913.679245283
15800,8,4122470.518867925
15800,12,6246167.452830189
15800,15,7807709.433962264
16000,8,4328594.122641509
16000,12,6558475.9433962265
16000,15,8198094.811320756
16400,8,4545023.688679245
16400,12,6886399.528301887
16400,15,8607999.528301887
16900,8,4772275.075471698
16900,12,7230719.811320756
16900,15,9038399.528301887
17200,8,5261433.141509434
17200,12,7971868.396226415
17200,15,9490319.811320756
17500,8,4545023.688679245
17500,12,6886399.528301887
17500,15,8607999.528301887
17800,8,4772275.075471698
17800,12,7230719.811320756
17800,15,9038399.528301887
18000,8,5261433.141509434
18000,12,7971868.396226415
18000,15,9490319.811320756
18400,8,6090766.726415094
18400,12,9228434.433962265
18400,15,11535542.9245283
18800,8,6090766.726415094
18800,12,9228434.433962265
18800,15,11535542.9245283
19200,8,6395305.047169811
19200,12,9689856.132075472
19200,15,12112320.283018868
20000,8,6715070.377358491
20000,12,10174349.056603774
20000,15,12717936.320754718
22000,8,7050823.896226415
22000,12,10683066.509433962
22000,15,13353833.018867925
