AREA,RANGE,EC
1300,300,2122641.5094339624
1500,305,2547169.8113207547
1700,310,2776415.094339623
1800,315,3276169.8113207547
2000,320,3669310.1886792453
2100,330,4219706.716981132
2200,335,5907589.403773585
2400,340,6202968.873962265
2800,345,6947325.138837736
3000,350,7294691.395779624
3300,355,7659425.965568585
3500,375,8042397.263847029
3600,380,8444517.127039388
4000,385,8866742.983391369
4200,390,9310080.132560944
4500,395,10241088.14581703
4600,400,10753142.553107878
4800,405,11290799.680763256
4900,410,11855339.664801415
5000,415,12448106.648041511
5100,420,13070511.980443586
5500,425,13724037.579465754
6000,475,14410239.458439056
6500,480,15130751.43136099
7000,485,16946441.60312434
7150,490,17793763.68328052
7500,495,18683451.867444575
8000,500,19617624.46081679
8500,505,20598505.683857642
8700,510,21628430.968050517
9000,515,22709852.516453065
9600,520,23845345.142275706
9800,525,25037612.399389483
11000,530,26289493.019358963
11300,535,27603967.670326937
11700,540,28984166.053843256
12000,545,30433374.356535427
12300,550,31955043.074362222
12700,555,33552795.228080336
13000,560,35230434.98948434
13300,565,36991956.73895854
13500,570,38841554.57590646
13700,575,40783632.3047018
14000,580,42822813.91993688
14300,585,44963954.61593373
14500,590,47212152.346730195
14700,595,49572759.96406698
15000,600,52051397.96227029
15300,605,54653967.86038396
15500,610,57386666.25340283
15800,615,60255999.56607311
16000,620,63268799.54437689
16400,625,66432239.521595754
16900,630,69753851.49767548
17200,635,73241544.07255945
17500,640,76903621.27618727
17800,645,80748802.3399967
18000,650,84786242.45699623
18400,655,89025554.57984623
18800,660,93476832.30883868
19200,665,98150673.92428067
20000,670,103058207.62049435
22000,675,108211118.00151935
