AREA,RANGE,EC
1300,1,14150.943396226416
1500,1,16981.132075471698
1700,1,19811.320754716984
1800,1,20207.54716981132
2000,1,20611.69811320755
2100,1,21023.932075471697
2200,1,21444.410716981132
2400,1,21873.298931320754
2800,1,26247.95871758491
3000,1,22310.76490994717
3300,1,22756.98020814613
3500,1,23212.11981230906
3600,1,23676.362208555238
4000,1,24149.88945272632
4200,1,24632.88724178085
4500,1,25125.54498661646
4600,1,25628.05588634882
4800,1,26140.6170040758
4900,1,26663.42934415731
5000,1,27196.697931040428
5100,1,27740.631889661276
5500,1,28850.25716524769
6000,1,28295.444527454485
6500,1,28861.353418003586
7000,1,29438.580486363637
7150,1,30027.3520960909
7500,1,30627.89913801274
8000,1,31240.45712077297
8500,1,31865.266263188445
8700,1,32502.571588452214
9000,1,33152.623020221276
9600,1,33815.67548062571
9800,1,34491.988990238206
11000,1,35181.82877004297
11300,1,35885.46534544382
11700,1,36603.17465235269
12000,1,37335.238145399766
12300,1,38081.942908307734
12700,1,38843.581766473915
13000,1,39620.453401803396
13300,1,40412.862469839485
13500,1,42029.37696863302
13700,1,41221.119719236274
14000,1,42045.54211362099
14300,1,42886.452955893394
14500,1,43744.182015011276
14700,1,44619.06565531151
15000,1,45511.44696841773
15300,1,46421.67590778609
15500,1,47350.109425941984
15800,1,48297.11161446085
16000,1,49263.05384675
16400,1,50248.31492368491
16900,1,51253.28122215849
17200,1,52278.34684660189
17500,1,53323.91378353397
17800,1,54390.39205920425
18000,1,55478.19990038868
18400,1,56587.763898396224
18800,1,58851.27445433208
19200,1,57719.519176364156
20000,1,58873.90955989151
22000,1,60051.38775108915
