AREA,RANGE,EC
1300,10,212264.15094339623
1300,12,254716.98113207548
1300,15,318396.22641509434
1500,10,226415.09433962265
1500,12,271698.11320754717
1500,15,339622.641509434
1700,10,254716.98113207548
1700,12,305660.3773584906
1700,15,382075.47169811325
1800,10,277641.5094339623
1800,12,333169.81132075476
1800,15,416462.2641509434
2000,10,327616.9811320755
2000,12,393140.09433962265
2000,15,327616.9811320755
2100,10,366930.6603773585
2100,12,440316.9811320754
2100,15,550396.2264150943
2200,10,421970.28301886795
2200,12,506364.6226415095
2200,15,632955.6603773586
2400,10,590758.4905660377
2400,12,708910.3773584906
2400,15,886138.2075471699
2800,10,590758.4905660377
2800,12,708910.3773584906
2800,15,886138.2075471699
3000,10,620296.6981132076
3000,12,744356.1320754717
3000,15,930445.283018868
3300,10,694732.0754716982
3300,12,833678.7735849058
3300,15,1042098.5849056604
3500,10,729468.8679245283
3500,12,875362.7358490566
3500,15,1094203.3018867925
3600,10,765942.4528301887
3600,12,919130.6603773586
3600,15,1148913.6792452831
4000,10,804239.6226415095
4000,12,965087.2641509434
4000,15,1206359.433962264
4200,10,844451.4150943396
4200,12,1013341.9811320754
4200,15,1266677.358490566
4500,10,886674.0566037736
4500,12,1064008.962264151
4500,15,1330011.320754717
4600,10,931007.5471698113
4600,12,1117209.433962264
4600,15,1396511.7924528301
4800,10,1024108.4905660378
4800,12,1228930.1886792453
4800,15,1511584.1320754716
4900,10,1075314.1509433961
4900,12,1290376.8867924528
4900,15,2037499.5283018867
5000,10,1129079.716981132
5000,12,1354895.6603773586
5000,15,1693619.5754716983
5100,10,1185533.962264151
5100,12,1422640.566037736
5100,15,1778300.9433962265
5500,10,1185533.962264151
5500,12,1422640.566037736
5500,15,1778300.9433962265
6000,10,1244810.3773584906
6000,12,1493772.641509434
6000,15,1867215.566037736
6500,10,1307050.9433962265
6500,12,1568461.320754717
6500,15,1960576.4150943398
7000,10,1372403.7735849058
7000,12,1646884.433962264
7000,15,2058605.1886792455
7150,10,1440976.4150943398
7150,12,1729228.3018867925
7150,15,2161535.849056604
7500,10,1513075.0
7500,12,1815690.0943396227
7500,15,2269612.2641509436
8000,10,1695115.566037736
8000,12,2033572.641509434
8000,15,2541966.037735849
8500,10,1779375.9433962265
8500,12,2135251.4150943398
8500,15,2669064.1509433966
8700,10,1868344.8113207547
8700,12,2242014.1509433966
8700,15,2802517.4528301884
9000,10,1961762.2641509434
9000,12,2354114.6226415094
9000,15,2942643.396226415
9600,10,2059850.4716981133
9600,12,2471820.283018868
9600,15,3089775.4716981133
9800,10,2162842.924528302
9800,12,2595411.320754717
9800,15,3244264.6226415094
11000,10,2270984.9056603773
11000,12,2725182.0754716983
11000,15,3406477.8301886795
11300,10,2384534.433962264
11300,12,2861441.0377358496
11300,15,3576801.4150943398
11700,10,2503760.849056604
11700,12,3004513.20754717
11700,15,3755641.5094339624
12000,10,2628949.0566037735
12000,12,3154739.1509433966
12000,15,3943423.5849056602
12300,10,2760396.6981132077
12300,12,3312475.9433962265
12300,15,4140594.8113207547
12700,10,2898416.5094339624
12700,12,3652004.716981132
12700,15,4565006.132075472
13000,10,3043337.2641509436
13000,12,3652004.716981132
13000,15,4565006.132075472
13300,10,3195504.2452830193
13300,12,3834604.716981132
13300,15,4793256.132075472
13500,10,3195504.2452830193
13500,12,3834604.716981132
13500,15,4793256.132075472
13700,10,3355279.2452830193
13700,12,4026335.377358491
13700,15,5032918.867924528
14000,10,3523043.396226415
14000,12,4227651.886792453
14000,15,528456.1320754717
14300,10,3699195.283018868
14300,12,4439034.433962264
14300,15,5548793.396226415
14500,10,3884155.1886792453
14500,12,4660986.320754717
14500,15,5826233.018867925
14700,10,4078363.20754717
14700,12,4894035.849056604
14700,15,6117544.811320756
15000,10,4496395.283018868
15000,12,5395674.528301887
15000,15,6744592.924528303
15300,10,4721215.094339623
15300,12,5665458.018867925
15300,15,7081822.641509434
15500,10,4957275.9433962265
15500,12,5948731.132075472
15500,15,7435913.679245283
15800,10,5205139.622641509
15800,12,6246167.452830189
15800,15,7807709.433962264
16000,10,5465396.698113207
16000,12,6558475.9433962265
16000,15,8198094.811320756
16400,10,5738666.509433962
16400,12,6886399.528301887
16400,15,8607999.528301887
16900,10,6025599.528301887
16900,12,7230719.811320756
16900,15,9038399.528301887
17200,10,6326879.7169811325
17200,12,7971868.396226415
17200,15,9490319.811320756
17500,10,5738666.509433962
17500,12,6886399.528301887
17500,15,8607999.528301887
17800,10,6025599.528301887
17800,12,7230719.811320756
17800,15,9038399.528301887
18000,10,6326879.7169811325
18000,12,7971868.396226415
18000,15,9490319.811320756
18400,10,7690361.79245283
18400,12,9228434.433962265
18400,15,11535542.9245283
18800,10,7690361.79245283
18800,12,9228434.433962265
18800,15,11535542.9245283
19200,10,8074880.188679246
19200,12,9689856.132075472
19200,15,12112320.283018868
20000,10,8478624.056603774
20000,12,10174349.056603774
20000,15,12717936.320754718
22000,10,8902555.188679246
22000,12,10683066.509433962
22000,15,13353833.018867925
