AREA,RANGE,EC
1300,Emulsion,23089.584905660377
1300,Enamel,4617.877358490567
1300,oil,11544.792452830188
1500,Emulsion,26553.022641509437
1500,Enamel,5310.558962264151
1500,oil,13276.511320754718
1700,Emulsion,30004.915584905662
1700,Enamel,6000.93162735849
1700,oil,15002.457792452831
1800,Emulsion,31505.16136320755
1800,Enamel,6300.978207547169
1800,oil,15752.580683962264
2000,Emulsion,34970.72911320755
2000,Enamel,6994.085811320755
2000,oil,17485.364556603774
2100,Emulsion,36719.26557075472
2100,Enamel,7343.7901037735855
2100,oil,18359.632783018867
2200,Emulsion,38188.03619339623
2200,Enamel,7637.5417075471705
2200,oil,19094.018094339623
2400,Emulsion,41624.95944811321
2400,Enamel,8324.920462264152
2400,oil,20812.479726415095
2800,Emulsion,48284.95297169812
2800,Enamel,9656.907735849058
2800,oil,24142.476481132075
3000,Emulsion,51664.89966981132
3000,Enamel,10332.891273584908
3000,oil,25832.44983490566
3300,Emulsion,56831.38962264151
3300,Enamel,11366.180400943396
3300,oil,28415.694816037736
3500,Emulsion,60241.27301886793
3500,Enamel,12048.151226415095
3500,oil,30120.636509433964
3600,Emulsion,61446.09849056604
3600,Enamel,12289.11425
3600,oil,30723.04923584906
4000,Emulsion,68205.16929245283
4000,Enamel,13640.916820754717
4000,oil,34102.58465566038
4200,Emulsion,71615.42778301887
4200,Enamel,14322.96266037736
4200,oil,35807.71388679246
4500,Emulsion,76628.50773584907
4500,Enamel,15325.570047169813
4500,oil,38314.25385849056
4600,Emulsion,78161.07787735849
4600,Enamel,15632.081448113206
4600,oil,39080.53893396227
4800,Emulsion,81287.52099056603
4800,Enamel,16257.36470283019
4800,oil,40643.76049056604
4900,Emulsion,82913.27141509435
4900,Enamel,16582.512
4900,oil,41456.635702830186
5000,Emulsion,84571.53683962264
5000,Enamel,16914.162240566042
5000,oil,42285.76841509434
5100,Emulsion,86262.96754716981
5100,Enamel,17252.445481132076
5100,oil,43131.48378301886
5500,Emulsion,92301.37528301888
5500,Enamel,18460.11666509434
5500,oil,46150.68765094339
6000,Emulsion,100608.49905660377
6000,Enamel,20121.52716509434
6000,oil,50304.24952830189
6500,Emulsion,108657.17900943397
6500,Enamel,21731.249339622642
6500,oil,54328.589481132076
7000,Emulsion,116263.18155660378
7000,Enamel,23252.43679245283
7000,oil,58131.59075471698
7150,Emulsion,118588.44514150944
7150,Enamel,23717.48552830189
7150,oil,59294.222594339626
7500,Emulsion,123331.98297169813
7500,Enamel,24666.18495283019
7500,oil,61665.99146226415
8000,Emulsion,130731.90193396228
8000,Enamel,26146.15604716981
8000,oil,65365.95099056604
8500,Emulsion,138575.81608490564
8500,Enamel,27714.92541037736
8500,oil,69287.90801886792
8700,Emulsion,141347.3324056604
8700,Enamel,28269.22391981132
8700,oil,70673.6661792453
9000,Emulsion,145587.75235849057
9000,Enamel,29117.300636792454
9000,oil,72793.87617924529
9600,Emulsion,154323.01750000002
9600,Enamel,30864.338674528302
9600,oil,77161.50877358491
9800,Emulsion,157409.47783018867
9800,Enamel,31481.62544811321
9800,oil,78704.73891509433
11000,Emulsion,176298.61518867925
11000,Enamel,35259.42050471699
11000,oil,88149.30759433963
11300,Emulsion,179824.58750000002
11300,Enamel,35964.608915094344
11300,oil,89912.2937264151
11700,Emulsion,185219.32514150944
11700,Enamel,37043.54717924528
11700,oil,92609.6625471698
12000,Emulsion,194480.2913679245
12000,Enamel,38895.72453773585
12000,oil,97240.14570754717
12300,Emulsion,198369.8972169811
12300,Enamel,39673.63902830189
12300,oil,99184.94858490565
12700,Emulsion,204320.99410377358
12700,Enamel,40863.84820283019
12700,oil,102160.4970754717
13000,Emulsion,208407.41400943397
13000,Enamel,41681.125165094345
13000,oil,104203.70698113207
13300,Emulsion,214659.63641509437
13300,Enamel,42931.55891981132
13300,oil,107329.81820754719
13500,Emulsion,218952.8291509434
13500,Enamel,43790.19009905661
13500,oil,109476.4145754717
13700,Emulsion,225521.41400943397
13700,Enamel,45103.89580188679
13700,oil,112760.70702830187
14000,Emulsion,230031.84231132077
14000,Enamel,46005.973716981134
14000,oil,115015.92113207547
14300,Emulsion,234632.4791509434
14300,Enamel,46926.09319339623
14300,oil,117316.2395754717
14700,Emulsion,239325.1287264151
14700,Enamel,47864.61504716982
14700,oil,119662.56438679245
15000,Emulsion,244111.63132075476
15000,Enamel,48821.90735849057
15000,oil,122055.81566037738
15300,Emulsion,248993.86391509435
15300,Enamel,49798.34551886793
15300,oil,124496.93198113207
15500,Emulsion,253973.74122641512
15500,Enamel,50794.31240566038
15500,oil,126986.87061320756
15800,Emulsion,259053.21603773584
15800,Enamel,51810.19867924529
15800,oil,129526.60801886792
16000,Emulsion,266824.81250000006
1000,Enamel,53364.504622641514
16000,oil,133412.4062735849
16400,Emulsion,274829.5568867925
16400,Enamel,54965.43976415095
16400,oil,137414.77844339624
16900,Emulsion,283074.44358490565
16900,Enamel,56614.40297169812
16900,oil,141537.22179245282
17200,Emulsion,291566.67693396227
17200,Enamel,58312.83504716982
17200,oil,145783.33844339623
17500,Emulsion,297398.01047169813
17500,Enamel,59479.09174528302
17500,oil,148699.00523584906
17800,Emulsion,303345.97066037735
17800,Enamel,60668.673584905664
17800,oil,151672.98533018868
18000,Emulsion,312446.349764151
18000,Enamel,62488.7337735849
18000,oil,156223.1749056604
18400,Emulsion,321819.74028301885
18400,Enamel,64363.3958018868
18400,oil,160909.87014150943
18800,Emulsion,331474.3325
18800,Enamel,66294.29768867925
18800,oil,165737.1662264151
19200,Emulsion,344733.30580188683
19200,Enamel,68946.0695754717
19200,oil,172366.6528773585
20000,Emulsion,358522.63801886793
20000,Enamel,71703.91235849058
20000,oil,179261.31900943397
