AREA,RANGE,EC
1300,Laminate,24030.66037735849
1300,Vinyl,16821.462264150945
1300,Marble,31239.85849056604
1500,Laminate,27635.259433962266
1500,Vinyl,19344.681603773584
1500,Marble,35925.83726415094
1700,Laminate,31227.843160377357
1700,Vinyl,21859.490212264154
1700,Marble,40596.19610849057
1800,Laminate,32789.23532075472
1800,Vinyl,22952.46472169811
1800,Marble,42626.00591509435
2000,Laminate,36396.05120283019
2000,Vinyl,25477.235844339626
2000,Marble,47314.866556603774
2100,Laminate,38215.85376415095
2100,Vinyl,26751.097636792456
2100,Marble,49680.60990566038
2200,Laminate,39744.48791509434
2200,Vinyl,27821.14153773585
2200,Marble,51667.834292452826
2400,Laminate,43321.491825471705
2400,Vinyl,30325.044278301884
2400,Marble,56317.93938679245
2800,Laminate,50252.93051886793
2800,Vinyl,35177.051363207545
2800,Marble,65328.809669811315
3000,Laminate,53770.63566037737
3000,Vinyl,37639.44495754717
3000,Marble,69901.82636792453
3300,Laminate,59147.699198113216
3300,Vinyl,41403.38945283019
3300,Marble,76892.00900943397
3500,Laminate,62696.56117924529
3500,Vinyl,43887.59282075472
3500,Marble,81505.5295283019
3600,Laminate,65204.42363207548
3600,Vinyl,45643.09653301887
3600,Marble,84765.75070754718
4000,Laminate,50663.83716981132
4000,Vinyl,94089.9833018868
4000,Marble,56236.85924528302
4200,Laminate,53197.029009433965
4200,Vinyl,98794.4824528302
4200,Marble,59048.702216981124
4500,Laminate,56920.82103773585
4500,Vinyl,105710.0962264151
4500,Marble,63182.11136792453
4600,Laminate,58059.237452830195
4600,Vinyl,107824.29816037737
4600,Marble,64445.75358490566
4800,Laminate,60381.60698113208
4800,Vinyl,112137.27004716982
4800,Marble,67023.5837264151
4900,Laminate,61589.23910377359
4900,Vinyl,114380.01547169812
4900,Marble,68364.0554245283
5000,Laminate,62821.02386792453
5000,Vinyl,116667.61580188679
5000,Marble,69731.33650943397
5100,Laminate,64077.44433962264
5100,Vinyl,119000.96811320755
5100,Marble,71125.96325471697
5500,Laminate,127331.03584905658
5500,Vinyl,76104.78066037736
5500,Marble,136244.20839622643
6000,Laminate,138790.8291037736
6000,Vinyl,82954.21094339623
6000,Marble,148506.1871226415
6500,Laminate,149894.0954245283
6500,Vinyl,89590.54778301886
6500,Marble,160386.6820754717
7000,Laminate,160386.6820754717
7000,Vinyl,95861.88613207547
7000,Marble,171613.7498584906
7150,Laminate,163594.41575471696
7150,Vinyl,97779.12386792453
7150,Marble,175046.02485849056
7500,Laminate,170138.19235849055
7500,Vinyl,101690.28882075472
7500,Marble,182047.86584905663
8000,Laminate,180346.48391509434
8000,Vinyl,107791.70613207547
8000,Marble,192970.73778301885
8500,Laminate,191167.27292452828
8500,Vinyl,114259.20853773585
8500,Marble,204548.98207547172
8700,Laminate,194990.61839622643
8700,Vinyl,116544.39268867923
8700,Marble,208639.96169811318
9000,Laminate,200840.33693396224
9000,Vinyl,120040.72448113207
9000,Marble,214899.16056603775
9600,Laminate,212890.75716981135
9600,Vinyl,127243.16792452832
9600,Marble,227793.11018867927
9800,Laminate,217148.57231132078
9800,Vinyl,129788.03132075473
9800,Marble,232348.97235849057
11000,Laminate,243206.40099056604
11000,Vinyl,145362.59504716983
11000,Marble,260230.8490566038
11300,Laminate,248070.529009434
