AREA,RANGE,EC
1300,1,943396.2264150945
1300,2,1886792.452830189
1300,3,2830188.679245283
1300,4,3773584.905660378
1300,5,4716981.132075472
1500,1,1356132.0754716983
1500,2,27122641.509433962
1500,3,4068396.2264150945
1500,4,5424528.301886793
1500,5,6780660.377358491
1700,1,3064858.490566038
1700,2,6129716.981132076
1700,3,9194575.471698113
1700,4,12259433.962264152
1700,5,15324292.45283019
1800,1,3218101.4150943398
1800,2,6436202.8301886795
1800,3,9654304.245283019
1800,4,12840224.646226414
1800,5,16050280.807783019
2000,1,3572092.570754717
2000,2,7144185.141509434
2000,3,10716277.712264152
2000,4,14252649.35731132
2000,5,17815811.69663915
2100,1,3750697.199292453
2100,2,7501394.398584906
2100,3,11252091.597877359
2100,4,14965281.825176887
2100,5,18706602.281471133
2200,1,3938232.059257076
2200,2,7876464.118514152
2200,3,11814696.177771226
2200,4,15713545.916435756
2200,5,19641932.39554467
2400,1,4135143.6622199295
2400,2,8270287.324439859
2400,3,12405430.986659814
2400,4,16499223.2122575
2400,5,20624029.015321884
2800,1,4796766.648175141
2800,2,9593533.296350235
2800,3,14390299.944525378
2800,4,19139098.926218726
2800,5,23923873.657773398
3000,1,5132540.313547359
3000,2,10265080.627094764
3000,3,15397620.940642122
3000,4,20478835.851054057
3000,5,25598544.81381755
3300,1,5645794.344902123
3300,2,11291588.689804247
3300,3,16937383.03470637
3300,4,22526719.436159436
3300,5,28158399.295199294
3500,1,6040999.949045284
3500,2,12081999.898090519
3500,3,18122999.8471358
3500,4,24103589.796690613
3500,5,30129487.24586326
3600,1,6343049.946497547
3600,2,12686099.892995048
3600,3,19029149.839492597
3600,4,25308769.28652514
3600,5,31635961.608156417
4000,1,7040785.440612264
4000,2,14081570.881224528
4000,3,21122356.321836747
4000,4,28092733.908042926
4000,5,35115917.385053635
4200,1,7252009.003830614
4200,2,14504018.007661227
4200,3,21756027.011491884
4200,4,28935515.9252842
4200,5,36169394.90660524
4500,1,7920883.620688775
4500,2,15841767.241377596
4500,3,23762650.86206637
4500,4,31604325.646548256
4500,5,39505407.05818533
4600,1,8000092.456895662
4600,2,16000184.91379137
4600,3,21280245.935342498
4600,4,28302727.094005518
4600,5,35378408.867506936
4800,1,8240095.2306025475
4800,2,16480190.461205095
4800,3,3296038.092241019
4800,4,4383730.662680557
4800,5,5479663.328350708
4900,1,8554554.310343916
4900,2,17109108.620687783
4900,3,25663662.9310317
4900,4,34132671.698272124
4900,5,42665839.622840144
5000,1,8982282.025861084
5000,2,17964564.05172217
5000,3,26946846.077583253
5000,4,35839305.28318576
5000,5,44799131.60398218
5100,1,9431396.127154151
