AREA,RANGE,EC
1300,Ganged,33018.867924528306
1300,Conventionalwall,33962.264150943396
1500,Ganged,37971.698113207545
1500,Conventionalwall,39056.60377358491
1700,Ganged,42908.01886792453
1700,Conventionalwall,44133.96226415094
1800,Ganged,45053.41981132075
1800,Conventionalwall,46340.660377358494
2000,Ganged,50009.29599056604
2000,Conventionalwall,51438.13301886793
2100,Ganged,52509.7608018868
2100,Conventionalwall,54010.03966981132
2200,Ganged,54610.1512264151
2200,Conventionalwall,56170.44127358491
2400,Ganged,59525.064811320764
2400,Conventionalwall,61225.78099056605
2800,Ganged,69049.07518867926
2800,Conventionalwall,71021.90594339624
3000,Ganged,73882.51047169811
3000,Conventionalwall,75993.43933962265
3300,Ganged,812707.6150943397
3300,Conventionalwall,835927.8325471699
3500,Ganged,861470.0721698113
3500,Conventionalwall,886083.5028301888
3600,Ganged,895928.8750000001
3600,Conventionalwall,921526.8429245283
4000,Ganged,994481.0514150943
4000,Conventionalwall,1022894.7952830188
4200,Ganged,1044205.1037735848
4200,Conventionalwall,1074039.5353773586
4500,Ganged,1117299.4608490567
4500,Conventionalwall,1149222.3028301888
4600,Ganged,1139645.450471698
4600,Conventionalwall,1172206.7485849056
4800,Ganged,1185231.2683962265
4800,Conventionalwall,1219095.0188679246
4900,Ganged,1208935.8933962265
4900,Conventionalwall,1243476.9193396226
5000,Ganged,1233114.6113207545
5000,Conventionalwall,1268346.45754717
5100,Ganged,1257776.9037735849
5100,Conventionalwall,1293713.3867924528
5500,Ganged,1345821.286792453
5500,Conventionalwall,1384273.3235849056
6000,Ganged,1466945.202830189
6000,Conventionalwall,1508857.9231132076
6500,Ganged,1584300.8188679246
6500,Conventionalwall,1629566.5566037737
7000,Ganged,1695201.8764150946
7000,Conventionalwall,1743636.2155660377
7150,Ganged,1729105.9136792454
7150,Conventionalwall,1778508.9400943397
7500,Ganged,1798270.150471698
7500,Conventionalwall,1849649.2976415092
8000,Ganged,1906166.3594339623
8000,Conventionalwall,1960628.2556603774
8500,Ganged,2020536.3410377358
8500,Conventionalwall,2078265.950943396
8700,Ganged,2060947.0679245284
8700,Conventionalwall,2119831.269811321
9000,Ganged,2122775.479716981
9000,Conventionalwall,2183426.2080188678
9600,Ganged,2250142.008490566
9600,Conventionalwall,2314431.780188679
9800,Ganged,2295144.849056604
9800,Conventionalwall,2360720.4160377355
11000,Ganged,2570562.230660377
11000,Conventionalwall,2644006.8660377357
11300,Ganged,2621973.475471698
11300,Conventionalwall,2696887.003301887
11700,Ganged,2700632.6797169815
11700,Conventionalwall,2777793.6132075475
12000,Ganged,2754645.333018868
12000,Conventionalwall,2833349.4853773583
12300,Ganged,2809738.239622642
12300,Conventionalwall,2890016.475471698
12700,Ganged,2894030.387264151
12700,Conventionalwall,2976716.969339622
13000,Ganged,2951910.994811321
13000,Conventionalwall,3036251.3089622646
13300,Ganged,3019804.9476415096
13300,Conventionalwall,3106085.089150944
13500,Ganged,3080201.046698113
13500,Conventionalwall,3168206.791037736
13700,Ganged,3141805.0674528303
13700,Conventionalwall,3231570.926415094
14000,Ganged,3236059.219811321
14000,Conventionalwall,3328518.054245283
14300,Ganged,3300780.403773585
14300,Conventionalwall,3395088.415566038
14500,Ganged,3366796.012264151
14500,Conventionalwall,3462990.1839622646
14700,Ganged,3400463.972169812
14700,Conventionalwall,3497620.085849057
15000,Ganged,3502477.891509434
15000,Conventionalwall,3602548.688207547
15300,Ganged,3607552.228301887
15300,Conventionalwall,3710625.1490566037
15500,Ganged,3679703.27264151
15500,Conventionalwall,3784837.651886792
15800,Ganged,3790094.370754717
15800,Conventionalwall,3898382.781603774
16000,Ganged,3941698.1457547173
16000,Conventionalwall,4054318.0924528306
16400,Ganged,4099366.071698114
16400,Conventionalwall,4216490.816509434
16900,Ganged,4263340.714150943
16900,Conventionalwall,4385150.449056604
17200,Ganged,4348607.528773584
17200,Conventionalwall,4472853.458018868
17500,Ganged,4435579.679245283
17500,Conventionalwall,4562310.527358491
17800,Ganged,4524291.27264151
17800,Conventionalwall,4653556.73773585
18000,Ganged,4614777.098113208
18000,Conventionalwall,4746627.872641509
18400,Ganged,4799368.183962264
18400,Conventionalwall,4936492.985849057
18800,Ganged,4991342.910377359
18800,Conventionalwall,5133952.70754717
19200,Ganged,5190996.627358491
19200,Conventionalwall,5339310.816037737
20000,Ganged,5398636.490566038
20000,Conventionalwall,5552883.250000001
22000,Ganged,5992486.504716981
22000,Conventionalwall,6163700.405660378
