AREA,RANGE,EC
1300,MAT,183962.2641509434
1300,PILE,275943.3962264151
1300,WALL FOOTING,178443.3962264151
1500,MAT,211556.6037735849
1500,PILE,317334.90566037735
1500,WALL FOOTING,205209.90566037738
1700,MAT,239058.96226415093
1700,PILE,358588.44339622644
1700,WALL FOOTING,231887.1933962264
1800,MAT,251011.9103773585
1800,PILE,376517.8655660377
1800,WALL FOOTING,243481.55306603774
2000,MAT,278623.22051886795
2000,PILE,417934.8308018868
2000,WALL FOOTING,270264.5239150944
2100,MAT,292554.3815566038
2100,PILE,438831.5723113208
2100,WALL FOOTING,283777.7500943396
2200,MAT,304256.5567924529
2200,PILE,456384.8351886793
2200,WALL FOOTING,295128.8600943396
2400,MAT,331639.64693396224
2400,PILE,497459.4702830189
2400,WALL FOOTING,321690.45749999996
2800,MAT,384701.99042452837
2800,PILE,577052.9858490566
2800,WALL FOOTING,373160.9307075472
3000,MAT,411631.1297641509
3000,PILE,617446.6948113207
3000,WALL FOOTING,399282.1958490566
3300,MAT,452794.2427358491
3300,PILE,679191.3641509435
3300,WALL FOOTING,439210.41547169816
3500,MAT,479961.89716981136
3500,PILE,719942.845754717
3500,WALL FOOTING,465563.04037735856
3600,MAT,489561.1353773585
3600,PILE,734341.7028301887
3600,WALL FOOTING,474874.3014150944
4000,MAT,543412.8599056604
4000,PILE,815119.2900943396
4000,WALL FOOTING,527110.474528302
4200,MAT,570583.5033018868
4200,PILE,855875.2547169812
4200,WALL FOOTING,553465.9981132075
4500,MAT,610524.3481132076
4500,PILE,915786.5226415095
4500,WALL FOOTING,592208.6179245283
4600,MAT,622734.8353773586
4600,PILE,934102.2528301888
4600,WALL FOOTING,604052.7900943396
4800,MAT,647644.2287735849
4800,PILE,971466.3429245284
4800,WALL FOOTING,628214.9018867924
4900,MAT,660597.1132075471
4900,PILE,990895.6698113207
4900,WALL FOOTING,640779.2000000001
5000,MAT,673809.0556603775
5000,PILE,1010713.5834905659
5000,WALL FOOTING,653594.7839622642
5100,MAT,687285.2367924529
5100,PILE,1030927.8551886792
5100,WALL FOOTING,666666.6797169811
5500,MAT,735395.2033018868
5500,PILE,1103092.804716981
5500,WALL FOOTING,713333.3471698114
6000,MAT,801580.7716981133
6000,PILE,1202371.157075472
6000,WALL FOOTING,777533.3485849057
6500,MAT,865707.233490566
6500,PILE,1298560.8499999999
6500,WALL FOOTING,839736.016037736
7000,MAT,926306.7396226415
7000,PILE,1389460.1094339623
7000,WALL FOOTING,898517.537264151
7150,MAT,944832.8745283019
7150,PILE,1417249.3117924528
7150,WALL FOOTING,916487.8882075473
7500,MAT,982626.1891509434
7500,PILE,1473939.2839622642
7500,WALL FOOTING,953147.403773585
8000,MAT,1041583.7608490565
8000,PILE,1562375.6410377359
8000,WALL FOOTING,1010336.2481132075
8500,MAT,1104078.7863207546
8500,PILE,1656118.1797169812
8500,WALL FOOTING,1070956.4226415094
8700,MAT,1126160.362264151
8700,PILE,1689240.5429245285
8700,WALL FOOTING,1092375.5514150946
9000,MAT,1159945.1731132076
9000,PILE,1739917.7594339624
9000,WALL FOOTING,1125146.8179245284
9600,MAT,1229541.8834905662
9600,PILE,1844312.825
9600,WALL FOOTING,1192655.6268867925
9800,MAT,1254132.7207547168
9800,PILE,1881199.0816037734
9800,WALL FOOTING,1216508.7391509432
11000,MAT,1404628.6476415095
11000,PILE,2106942.971226415
11000,WALL FOOTING,1362489.788207547
11300,MAT,1432721.2202830191
11300,PILE,2149081.830660377
11300,WALL FOOTING,1389739.5839622642
11700,MAT,1475702.857075472
11700,PILE,2213554.2853773586
11700,WALL FOOTING,1431431.771226415
12000,MAT,1505216.9141509433
12000,PILE,2257825.371226415
12000,WALL FOOTING,1460060.4066037736
12300,MAT,1535321.2523584906
12300,PILE,2302981.878773585
12300,WALL FOOTING,1489261.6150943397
12700,MAT,1581380.8900943398
12700,PILE,2372071.3349056607
12700,WALL FOOTING,1533939.463207547
13000,MAT,1613008.5080188678
13000,PILE,2419512.7617924525
13000,WALL FOOTING,1564618.2528301887
13300,MAT,1645268.6778301888
13300,PILE,2467903.0169811323
13300,WALL FOOTING,1595910.61745283
13500,MAT,1661721.3646226418
13500,PILE,2492582.0471698116
13500,WALL FOOTING,1611869.7240566039
13700,MAT,1678338.5783018868
13700,PILE,2517507.86745283
13700,WALL FOOTING,1627988.4212264153
14000,MAT,1711905.35
14000,PILE,2567858.0250000004
14000,WALL FOOTING,1660548.1896226415
14300,MAT,1746143.4570754718
14300,PILE,2619215.1853773585
14300,WALL FOOTING,1693759.1533018867
14700,MAT,1781066.3259433964
14700,PILE,2671599.4891509437
14700,WALL FOOTING,1727634.3363207546
15000,MAT,1816687.6528301886
15000,PILE,2725031.4792452827
15000,WALL FOOTING,1762187.0231132074
15300,MAT,1853021.4056603773
15300,PILE,2779532.108490566
15300,WALL FOOTING,1797430.7636792455
15500,MAT,1871551.619811321
15500,PILE,2807327.429716981
15500,WALL FOOTING,1815405.0712264152
15800,MAT,1890267.1358490568
15800,PILE,2835400.7037735847
15800,WALL FOOTING,1833559.1216981132
16000,MAT,1909169.80754717
1000,PILE,2863754.710849057
16000,WALL FOOTING,1851894.7132075473
16400,MAT,1947353.203301887
16400,PILE,2921029.805188679
16400,WALL FOOTING,1888932.60754717
16900,MAT,2005773.7995283022
16900,PILE,3008660.699528302
16900,WALL FOOTING,1945600.5858490567
17200,MAT,2025831.5377358492
17200,PILE,3038747.3066037735
17200,WALL FOOTING,1965056.591509434
17500,MAT,2046089.8528301888
17500,PILE,3069134.779245283
17500,WALL FOOTING,1984707.1575471698
17800,MAT,2066550.7514150948
17800,PILE,3099826.1273584906
17800,WALL FOOTING,2004554.2287735848
18000,MAT,2087216.258962264
18000,PILE,3130824.3886792455
18000,WALL FOOTING,2024599.771226415
18400,MAT,2128960.5844339626
18400,PILE,3193440.8764150944
18400,WALL FOOTING,2065091.7665094342
18800,MAT,2171539.7957547167
18800,PILE,3257309.6938679246
18800,WALL FOOTING,2106393.6018867926
19200,MAT,2214970.591981132
19200,PILE,3322455.8877358492
19200,WALL FOOTING,2148521.474056604
20000,MAT,2303569.415566038
20000,PILE,3455354.1231132075
20000,WALL FOOTING,2234462.3330188678
22000,MAT,2533926.357075472
22000,PILE,3800889.5353773586
22000,WALL FOOTING,2457908.5665094345
