AREA,RANGE,EC
1300,Acrylic,289517.92452830187
1300,Emulsion,217138.44339622644
1300,Gypsumboard,260566.1320754717
1500,Acrylic,332945.6132075471
1500,Emulsion,249709.2099056604
1500,Gypsumboard,299651.05188679247
1700,Acrylic,376228.54292452836
1700,Emulsion,282171.4072169811
1700,Gypsumboard,338605.68863207544
1800,Acrylic,395039.9700943396
1800,Emulsion,296279.97754716984
1800,Gypsumboard,355535.97306603775
2000,Acrylic,438494.36679245275
2000,Emulsion,328870.7750943396
2000,Gypsumboard,394644.93009433965
2100,Acrylic,460419.0850943396
2100,Emulsion,345314.31382075476
2100,Gypsumboard,414377.17660377355
2200,Acrylic,478835.8485849057
2200,Emulsion,359126.88641509437
2200,Gypsumboard,430952.2636792453
2400,Acrylic,521931.07499999995
2400,Emulsion,391448.30617924535
2400,Gypsumboard,469737.96740566037
2800,Acrylic,605440.0466981132
2800,Emulsion,454080.03514150943
2800,Gypsumboard,544896.0419811321
3000,Acrylic,647820.8500000001
3000,Emulsion,485865.6377358491
3000,Gypsumboard,583038.7650943397
3300,Acrylic,712602.9353773585
3300,Emulsion,534452.2014150943
3300,Gypsumboard,641342.641509434
3500,Acrylic,755359.1113207547
3500,Emulsion,566519.3334905661
3500,Gypsumboard,679823.2
3600,Acrylic,770466.2933962264
3600,Emulsion,577849.7202830189
3600,Gypsumboard,693419.6641509434
4000,Acrylic,855217.5858490566
4000,Emulsion,641413.1891509434
4000,Gypsumboard,769695.8273584907
4200,Acrylic,897978.4650943396
4200,Emulsion,673483.8485849057
4200,Gypsumboard,808180.6183962265
4500,Acrylic,960836.9575471699
4500,Emulsion,720627.7183962264
4500,Gypsumboard,864753.2617924528
4600,Acrylic,980053.6966981132
4600,Emulsion,735040.2726415095
4600,Gypsumboard,882048.3268867924
4800,Acrylic,1019255.8448113208
4800,Emulsion,764441.8834905662
4800,Gypsumboard,917330.2603773585
4900,Acrylic,1039640.9613207547
4900,Emulsion,779730.721226415
4900,Gypsumboard,935676.8655660377
5000,Acrylic,1060433.7806603776
5000,Emulsion,795325.3353773584
5000,Gypsumboard,954390.4028301886
5100,Acrylic,1081642.4566037736
5100,Emulsion,811231.8424528302
5100,Gypsumboard,973478.2108490566
5500,Acrylic,1157357.428301887
5500,Emulsion,868018.071226415
5500,Gypsumboard,1041621.6853773587
6000,Acrylic,1261519.5966981133
6000,Emulsion,946139.6976415094
6000,Gypsumboard,1135367.637264151
6500,Acrylic,1362441.1646226416
6500,Emulsion,1021830.8735849058
6500,Gypsumboard,1226197.0481132076
7000,Acrylic,1457812.0462264153
7000,Emulsion,1093359.0344339623
7000,Gypsumboard,1312030.8415094342
7150,Acrylic,1486968.2872641508
7150,Emulsion,1115226.2150943396
7150,Gypsumboard,1338271.458490566
7500,Acrylic,1546447.0183962262
7500,Emulsion,1159835.2641509431
7500,Gypsumboard,1391802.316509434
8000,Acrylic,1639233.8396226417
8000,Emulsion,1229425.3797169812
8000,Gypsumboard,1475310.4556603776
8500,Acrylic,1737587.8702830188
8500,Emulsion,1303190.9023584905
8500,Gypsumboard,1563829.0830188678
8700,Acrylic,1772339.6273584906
8700,Emulsion,1329254.720754717
8700,Gypsumboard,1595105.6646226416
9000,Acrylic,1825509.816509434
9000,Emulsion,1369132.3622641508
9000,Gypsumboard,1642958.8349056605
9600,Acrylic,1935040.4051886792
9600,Emulsion,1451280.3037735848
9600,Gypsumboard,1741536.3646226414
9800,Acrylic,1973741.2132075473
9800,Emulsion,1480305.9099056604
9800,Gypsumboard,1776367.091981132
11000,Acrylic,2210590.158962264
11000,Emulsion,1657942.6193396226
11000,Gypsumboard,1989531.1429245283
11300,Acrylic,2254801.9622641513
11300,Emulsion,1691101.4716981133
11300,Gypsumboard,2029321.766037736
11700,Acrylic,2322446.0212264154
11700,Emulsion,1741834.5155660377
11700,Gypsumboard,2090201.4188679247
12000,Acrylic,2438568.3221698115
12000,Emulsion,1828926.2415094343
12000,Gypsumboard,2194711.49009434
12300,Acrylic,2487339.6886792453
12300,Emulsion,1865504.766509434
12300,Gypsumboard,2238605.719811321
12700,Acrylic,2561959.879245283
12700,Emulsion,1921469.9094339623
12700,Gypsumboard,2305763.891037736
13000,Acrylic,2613199.076886792
13000,Emulsion,1959899.30754717
13000,Gypsumboard,2351879.1688679247
13300,Acrylic,2665463.0584905664
13300,Emulsion,1999097.2938679247
13300,Gypsumboard,2398916.7523584906
13500,Acrylic,2718772.3193396227
13500,Emulsion,2039079.2396226414
13500,Gypsumboard,2446895.087735849
13700,Acrylic,2773147.766037736
13700,Emulsion,2079860.8245283018
13700,Gypsumboard,2495832.9891509432
14000,Acrylic,2856342.1990566044
14000,Emulsion,2142256.6490566037
14000,Gypsumboard,2570707.978773585
14300,Acrylic,2913469.0429245285
14300,Emulsion,2185101.7820754717
14300,Gypsumboard,2622122.1386792455
14700,Acrylic,2971738.4235849055
14700,Emulsion,2228803.8179245284
14700,Gypsumboard,2674564.5811320753
15000,Acrylic,3031173.191981132
15000,Emulsion,2273379.894339623
15000,Gypsumboard,2728055.8731132075
15300,Acrylic,3122108.3877358492
15300,Emulsion,2341581.291037736
15300,Gypsumboard,2809897.5490566036
15500,Acrylic,3184550.5556603777
15500,Emulsion,2388412.916981132
15500,Gypsumboard,2866095.5
15800,Acrylic,3248241.5669811326
15800,Emulsion,2436181.1750000003
15800,Gypsumboard,2923417.4099056604
16000,Acrylic,3345688.8136792458
1000,Emulsion,2509266.6103773583
16000,Gypsumboard,3011119.9325471697
16400,Acrylic,3412602.5900943396
16400,Emulsion,2559451.9424528303
16400,Gypsumboard,3071342.3311320757
16900,Acrylic,3480854.6419811323
16900,Emulsion,2610640.981603774
16900,Gypsumboard,3132769.1778301885
17200,Acrylic,3585280.281132076
17200,Emulsion,2688960.2108490565
17200,Gypsumboard,3226752.2528301883
17500,Acrylic,3692838.6896226415
17500,Emulsion,2769629.016981132
17500,Gypsumboard,3323554.820754717
17800,Acrylic,3803623.850471698
17800,Emulsion,2852717.8877358492
17800,Gypsumboard,3423261.46509434
18000,Acrylic,3879696.327358491
18000,Emulsion,2909772.2452830193
18000,Gypsumboard,3491726.6943396227
18400,Acrylic,3918493.290566038
18400,Emulsion,2938869.9679245288
18400,Gypsumboard,3526643.9613207546
18800,Acrylic,3996863.156132076
18800,Emulsion,2997647.36745283
18800,Gypsumboard,3597176.8405660377
19200,Acrylic,4156737.6825471697
19200,Emulsion,3117553.261792453
19200,Gypsumboard,3741063.914150943
20000,Acrylic,4323007.19009434
20000,Emulsion,3242255.3924528304
20000,Gypsumboard,3890706.470754717
22000,Acrylic,4755307.910377358
22000,Emulsion,3566480.931603774
22000,Gypsumboard,4279777.117924528
