AREA,RANGE,EC
1300,2,132075.47169811322
1300,3,198113.20754716982
1300,4,263490.56603773584
1500,2,134716.98113207548
1500,3,202075.47169811322
1500,4,268760.3773584906
1700,2,138679.24528301888
1700,3,208018.8679245283
1700,4,276665.09433962265
1800,2,140066.03773584907
1800,3,210099.0566037736
1800,4,279431.7452830189
2000,2,142867.35849056602
2000,3,214301.03773584907
2000,4,285020.38018867926
2100,2,144296.0320754717
2100,3,216444.04811320754
2100,4,287870.583990566
2200,2,145738.99239622641
2200,3,218608.48859433964
2200,4,290749.28983047174
2400,2,150111.16216811322
2400,3,225166.7432521698
2400,4,299471.7685253859
2800,2,151612.27378979433
2800,3,227418.4106846915
2800,4,302466.48621063965
3000,2,187638.95271014154
3000,3,281458.4290652123
3000,4,374339.71065673255
3300,2,189515.3422372429
3300,3,284273.0133558646
3300,4,378083.1077633
3500,2,195200.80250436036
3500,3,292801.20375654055
3500,4,389425.6009961986
3600,2,199104.81855444767
3600,3,298657.22783167125
3600,4,397214.11301612266
4000,2,211051.10766771412
4000,3,316576.6615015717
4000,4,421046.9597970901
4200,2,217382.64089774576
4200,3,326073.9613466184
4200,4,433678.3685910029
4500,2,226077.94653365566
4500,3,339116.9198004835
4500,4,451025.5033346429
4600,2,230599.50546432874
4600,3,345899.25819649297
4600,4,460046.01340133586
4800,2,235211.4955736151
4800,3,352817.24336042267
4800,4,458662.4163685496
4900,2,237563.61052935143
4900,3,356345.4157940269
4900,4,473939.4030060566
5000,2,356345.4157940269
5000,3,473939.4030060566
5000,4,630339.4059980566
5100,2,247066.15495052544
5100,3,370599.2324257882
5100,4,492896.9791262972
5500,2,259419.4626980519
5500,3,389129.1940470774
5500,4,517541.8280826133
6000,2,274984.6304599349
6000,3,412476.94568990235
6000,4,548594.3377675707
6500,2,291483.70828753116
6500,3,437225.5624312963
6500,4,581509.9980336226
7000,2,308972.730784783
7000,3,463459.09617717407
7000,4,616400.5979156415
7150,2,312062.4580926307
7150,3,468093.68713894574
7150,4,622564.6038947972
7500,2,327665.58099726227
7500,3,491498.37149589154
7500,4,653692.8340895377
8000,2,347325.51585709816
8000,3,520988.2737856463
8000,4,692914.4041349104
8500,2,368165.04680852406
8500,3,552247.5702127877
8500,4,734489.2683830048
8700,2,379209.99821277976
8700,3,568814.9973191698
8700,4,756523.9464344953
9000,2,390586.29815916327
9000,3,585879.4472387453
9000,4,779219.6648275283
9600,2,417927.3390303043
9600,3,626891.0085454576
9600,4,833765.0413654576
9800,2,426285.8858109104
9800,3,639428.828716368
9800,4,850440.342192764
11000,2,524331.6395474199
11000,3,959143.2430745473
11000,4,1275660.513289151
11300,2,545304.905129316
11300,3,817957.3576939765
11300,4,1087883.285732986
11700,2,567117.1013344905
11700,3,850675.6520017359
11700,4,1131398.6171623066
12000,2,589801.785387868
12000,3,884702.678081802
12000,4,1176654.5618487974
12300,2,613393.856803382
12300,3,920090.7852050755
12300,4,1223720.74432275
12700,2,650197.488211585
12700,3,975296.2323173821
12700,4,1297143.988982118
13000,2,676205.387740052
13000,3,1014308.0816100757
13000,4,1349029.748541401
13300,2,703253.6032496509
13300,3,1054880.4048744764
13300,4,1402990.9384830566
13500,2,745448.8194446322
13500,3,1118173.2291669482
13500,4,1487170.3947920424
13700,2,775266.7722224152
13700,3,1162900.1583336273
13700,4,1546657.2105837218
14000,2,767812.2840279716
14000,3,1151718.4260419577
14000,4,1531785.5066358019
14300,2,829237.2667502076
14300,3,1243855.9001253115
14300,4,1654328.347166665
14500,2,845822.0120852122
14500,3,1268733.0181278207
14500,4,1687414.91411
14700,2,854114.384752717
14700,3,1281171.5771290706
14700,4,1703958.1975816651
15000,2,862655.5286002406
15000,3,1293983.2929003632
15000,4,1720997.7795574812
15300,2,888535.1944582501
15300,3,1332802.7916873726
15300,4,1772627.7129442077
15500,2,924076.6022365802
15500,3,1386114.903354868
15500,4,1843532.8214619763
15800,2,951798.9003036746
15800,3,1427698.3504555142
15800,4,1898838.806105835
16000,2,989870.8563158256
16000,3,1484806.284473736
16000,4,1974792.358350066
16400,2,1019566.9820052972
16400,3,1529350.4730079484
16400,4,2034036.1291005707
16900,2,1080741.000925618
16900,3,1621111.5013884243
16900,4,2156078.296846604
17200,2,1134778.0509718962
17200,3,1702167.076457844
17200,4,2263882.2116889344
17500,2,1191516.9535204906
17500,3,1787275.430280736
17500,4,2377076.322273382
17800,2,1239177.6316613113
17800,3,1858766.447491967
17800,4,2472159.375164316
18000,2,1288744.7369277643
18000,3,1933117.1053916463
18000,4,2571045.7501708916
18400,2,1340294.526404873
18400,3,2010441.7896073114
18400,4,2673887.580177726
18800,2,1380503.362197019
18800,3,2070755.0432955334
18800,4,2754104.2075830563
19200,2,1449528.530306873
19200,3,2174292.7954603066
19200,4,2891809.4179622126
20000,2,1724938.9510651794
20000,3,2587408.426597769
20000,4,3441253.207375028
22000,2,2156173.688831472
22000,3,3234260.5332472078
22000,4,4301566.509218788
