AREA,RANGE,EC
1300,RCC,122641.50943396227
1500,RCC,141037.7358490566
1700,RCC,159372.64150943398
1800,RCC,167341.27358490566
2000,RCC,185748.8136792453
2100,RCC,195036.25436320755
2200,RCC,202837.70453773587
2400,RCC,221093.09794613207
2800,RCC,256467.99361751322
3000,RCC,274420.75317073916
3300,RCC,301862.8284878132
3500,RCC,319974.59819708206
3600,RCC,326374.0901610236
4000,RCC,362275.24007873633
4200,RCC,380389.00208267313
4500,RCC,407016.23222846043
4600,RCC,415156.5568730297
4800,RCC,431762.81914795097
4900,RCC,440398.07553090993
5000,RCC,449206.0370415283
5100,RCC,458190.15778235893
5500,RCC,471935.8625158302
6000,RCC,514410.0901422548
6500,RCC,555562.8973536368
7000,RCC,594452.3001683915
7150,RCC,606341.3461717595
7500,RCC,630595.0000186322
8000,RCC,668430.70001975
8500,RCC,708536.5420209339
8700,RCC,722707.2728613538
9000,RCC,744388.4910471934
9600,RCC,789051.8005100236
9800,RCC,804832.8365202264
11000,RCC,901412.7769026557
11300,RCC,901412.7769026557
11700,RCC,910426.904671684
12000,RCC,937739.7118118348
12300,RCC,956494.5060480707
12700,RCC,975624.396169033
13000,RCC,995136.884092415
13300,RCC,1015039.6217742641
13500,RCC,1035340.41420975
13700,RCC,1045693.8183518492
14000,RCC,1056150.7565353678
14300,RCC,1077273.7716660756
14500,RCC,1098819.2470993963
14700,RCC,1109807.4395703916
15000,RCC,1120905.5139660942
15300,RCC,1143323.6242454152
15500,RCC,1166190.0967303256
15800,RCC,1177851.9976976274
16000,RCC,1189630.517674604
16400,RCC,1226415.0943396227
16900,RCC,1238679.245283019
17200,RCC,1275839.6226415094
17500,RCC,1288594.7075471699
17800,RCC,1301481.418773585
18000,RCC,1314495.6386216984
18400,RCC,1327641.74123433
18800,RCC,1340919.8567598814
19200,RCC,1367736.1312535694
20000,RCC,1395090.0048220367
22000,RCC,1450896.3219960504
