AREA,RANGE,EC
1300,Non asbestor,40357.44
1300,Gypsum board,34303.824
1500,Non asbestor,46411.056
1500,Gypsum board,39449.3976
1700,Non asbestor,52444.49328
1700,Gypsum board,44577.81929
1800,Non asbestor,55066.71794
1800,Gypsum board,46806.71025
2000,Non asbestor,61124.05692
2000,Gypsum board,51955.44838
2100,Non asbestor,64180.25976
2100,Gypsum board,54553.2208
2200,Non asbestor,66747.47015
2200,Gypsum board,56735.34963
2400,Non asbestor,72754.74247
2400,Gypsum board,61841.5311
2800,Non asbestor,84395.50126
2800,Gypsum board,71736.17607
3000,Non asbestor,90303.18635
3000,Gypsum board,76757.7084
3300,Non asbestor,99333.50499
3300,Gypsum board,84433.47924
3500,Non asbestor,105293.5153
3500,Gypsum board,89499.48799
3600,Non asbestor,107399.3856
3600,Gypsum board,91289.47775
4000,Non asbestor,119213.318
4000,Gypsum board,101331.3203
4200,Non asbestor,125173.9839
4200,Gypsum board,106397.8863
4500,Non asbestor,133936.1628
4500,Gypsum board,113845.7384
4600,Non asbestor,136614.886
4600,Gypsum board,116122.6531
4800,Non asbestor,142079.4815
4800,Gypsum board,120767.5593
4900,Non asbestor,144921.0711
4900,Gypsum board,123182.9104
5000,Non asbestor,147819.4925
5000,Gypsum board,125646.5686
5100,Non asbestor,150775.8824
5100,Gypsum board,128159.5
5500,Non asbestor,161330.1941
5500,Gypsum board,137130.665
6000,Non asbestor,175849.9116
6000,Gypsum board,149472.4249
6500,Non asbestor,189917.9045
6500,Gypsum board,161430.2189
7000,Non asbestor,203212.1579
7000,Gypsum board,172730.3342
7150,Non asbestor,207276.401
7150,Gypsum board,176184.9409
7500,Non asbestor,215567.4571
7500,Gypsum board,183232.3385
8000,Non asbestor,228501.5045
8000,Gypsum board,194226.2788
8500,Non asbestor,242211.5948
8500,Gypsum board,205879.8555
8700,Non asbestor,247055.8267
8700,Gypsum board,209997.4527
9000,Non asbestor,254467.5015
9000,Gypsum board,216297.3762
9600,Non asbestor,269735.5515
9600,Gypsum board,229275.2188
9800,Non asbestor,275130.2626
9800,Gypsum board,233860.7232
11000,Non asbestor,308145.8941
11000,Gypsum board,261924.01
11300,Non asbestor,314308.812
11300,Gypsum board,267162.4902
11700,Non asbestor,323738.0763
11700,Gypsum board,275177.3649
12000,Non asbestor,330212.8378
12000,Gypsum board,280680.9122
12300,Non asbestor,336817.0946
12300,Gypsum board,286294.5304
12700,Non asbestor,346921.6074
12700,Gypsum board,294883.3663
13000,Non asbestor,353860.0396
13000,Gypsum board,300781.0337
13300,Non asbestor,360937.2404
13300,Gypsum board,306796.6543
13500,Non asbestor,368155.9852
13500,Gypsum board,312932.5874
13700,Non asbestor,375519.1049
13700,Gypsum board,319191.2392
14000,Non asbestor,383029.487
14000,Gypsum board,325575.0639
14300,Non asbestor,390690.0767
14300,Gypsum board,332086.5652
14500,Non asbestor,398503.8783
14500,Gypsum board,338728.2965
14700,Non asbestor,406473.9558
14700,Gypsum board,345502.8625
15000,Non asbestor,414603.4349
15000,Gypsum board,352412.9197
15300,Non asbestor,422895.5036
15300,Gypsum board,359461.1781
15500,Non asbestor,431353.4137
15500,Gypsum board,366650.4017
15800,Non asbestor,439980.482
15800,Gypsum board,373983.4097
16000,Non asbestor,448780.0916
16000,Gypsum board,381463.0779
16400,Non asbestor,462243.4944
16400,Gypsum board,392906.9702
16900,Non asbestor,476110.7992
16900,Gypsum board,404694.1793
17200,Non asbestor,485633.0152
17200,Gypsum board,412788.0629
17500,Non asbestor,500202.0057
17500,Gypsum board,425171.7048
17800,Non asbestor,510206.0458
17800,Gypsum board,433675.1389
18000,Non asbestor,525512.2271
18000,Gypsum board,446685.3931
18400,Non asbestor,541277.594
18400,Gypsum board,460085.9549
18800,Non asbestor,562928.6977
18800,Gypsum board,478489.3931
19200,Non asbestor,585445.8456
19200,Gypsum board,497628.9688
20000,Non asbestor,608863.6794
20000,Gypsum board,517534.1275
22000,Non asbestor,669750.0474
22000,Gypsum board,569287.5403
