AREA,RANGE,EC
1300,300,4500000
1500,305,5400000
1700,310,5886000
1800,315,6945480
2000,320,7778937.6
2100,330,8945778.24
2200,335,12524089.536
2400,340,13150294.0128
2800,345,14728329.294336
3000,350,15464745.7590528
3300,355,16237983.0470054
3500,375,17049882.1993557
3600,380,17902376.3093235
4000,385,18797495.1247897
4200,390,19737369.8810292
4500,395,21711106.8691321
4600,400,22796662.2125887
4800,405,23936495.3232181
4900,410,25133320.089379
5000,415,26389986.093848
5100,420,27709485.3985404
5500,425,29094959.6684674
6000,475,30549707.6518908
6500,480,32077193.0344853
7000,485,35926456.1986236
7150,490,37722779.0085547
7500,495,39608917.9589825
8000,500,41589363.8569316
8500,505,43668832.0497782
8700,510,45852273.6522671
9000,515,48144887.3348805
9600,520,50552131.7016245
9800,525,53079738.2867057
11000,530,55733725.201041
11300,535,58520411.4610931
11700,540,61446432.0341477
12000,545,64518753.6358551
12300,550,67744691.3176479
12700,555,71131925.8835303
13000,560,74688522.1777068
13300,565,78422948.2865921
13500,570,82344095.7009217
13700,575,86461300.4859678
14000,580,90784365.5102662
14300,585,95323583.7857795
14500,590,100089762.975068
14700,595,105094251.123822
15000,600,110348963.680013
15300,605,115866411.864014
15500,610,121659732.457214
15800,615,127742719.080075
16000,620,134129855.034079
16400,625,140836347.785783
16900,630,147878165.175072
17200,635,155272073.433826
17500,640,163035677.105517
17800,645,171187460.960793
18000,650,179746834.008832
18400,655,188734175.709274
18800,660,198170884.494738
19200,665,208079428.719475
20000,670,218483400.155448
22000,675,229407570.163221
