AREA,RANGE,EC
1300,1,30000
1500,1,36000
1700,1,42000
1800,1,42840
2000,1,43696.8
2100,1,44570.736
2200,1,45462.15072
2400,1,46371.3937344
2800,1,55645.67248128
3000,1,47298.821609088
3300,1,48244.7980412698
3500,1,49209.6940020952
3600,1,50193.8878821371
4000,1,51197.7656397798
4200,1,52221.7209525754
4500,1,53266.1553716269
4600,1,54331.4784790595
4800,1,55418.1080486407
4900,1,56526.4702096135
5000,1,57656.9996138057
5100,1,58810.1396060819
5500,1,61162.5451903251
6000,1,59986.3423982035
6500,1,61186.0692461676
7000,1,62409.7906310909
7150,1,63657.9864437127
7500,1,64931.146172587
8000,1,66229.7690960387
8500,1,67554.3644779595
8700,1,68905.4517675187
9000,1,70283.5608028691
9600,1,71689.2320189265
9800,1,73123.016659305
11000,1,74585.4769924911
11300,1,76077.1865323409
11700,1,77598.7302629877
12000,1,79150.7048682475
12300,1,80733.7189656124
12700,1,82348.3933449247
13000,1,83995.3612118232
13300,1,85675.2684360597
13500,1,89102.279173502
13700,1,87388.7738047809
14000,1,89136.5492808765
14300,1,90919.280266494
14500,1,92737.6658718239
14700,1,94592.4191892604
15000,1,96484.2675730456
15300,1,98413.9529245065
15500,1,100382.231982997
15800,1,102389.876622657
16000,1,104437.67415511
16400,1,106526.427638212
16900,1,108656.956190976
17200,1,110830.095314796
17500,1,113046.697221092
17800,1,115307.631165513
18000,1,117613.783788824
18400,1,119966.0594646
18800,1,124764.701843184
19200,1,122365.380653892
20000,1,124812.68826697
22000,1,127308.942032309
