AREA,RANGE,EC
1300,10,450000
1300,12,540000
1300,15,675000
1500,10,480000
1500,12,576000
1500,15,720000
1700,10,540000
1700,12,648000
1700,15,810000
1800,10,588600
1800,12,706320
1800,15,882900
2000,10,694548
2000,12,833457
2000,15,694548
2100,10,777893
2100,12,933472
2100,15,1166840
2200,10,894577
2200,12,1073493
2200,15,1341866
2400,10,1252408
2400,12,1502890
2400,15,1878613
2800,10,1252408
2800,12,1502890
2800,15,1878613
3000,10,1315029
3000,12,1578035
3000,15,1972544
3300,10,1472832
3300,12,1767399
3300,15,2209249
3500,10,1546474
3500,12,1855769
3500,15,2319711
3600,10,1623798
3600,12,1948557
3600,15,2435697
4000,10,1704988
4000,12,2045985
4000,15,2557482
4200,10,1790237
4200,12,2148285
4200,15,2685356
4500,10,1879749
4500,12,2255699
4500,15,2819624
4600,10,1973736
4600,12,2368484
4600,15,2960605
4800,10,2171110
4800,12,2605332
4800,15,3204558.36
4900,10,2279666
4900,12,2735599
4900,15,4319499
5000,10,2393649
5000,12,2872378.8
5000,15,3590473.5
5100,10,2513332
5100,12,3015998
5100,15,3769998
5500,10,2513332
5500,12,3015998
5500,15,3769998
6000,10,2638998
6000,12,3166798
6000,15,3958497
6500,10,2770948
6500,12,3325138
6500,15,4156422
7000,10,2909496
7000,12,3491395
7000,15,4364243
7150,10,3054870
7150,12,3665964
7150,15,4582456
7500,10,3207719
7500,12,3849263
7500,15,4811578
8000,10,3593645
8000,12,4311174
8000,15,5388968
8500,10,3772277
8500,12,4526733
8500,15,5658416
8700,10,3960891
8700,12,4753070
8700,15,5941337
9000,10,4158936
9000,12,4990723
9000,15,6238404
9600,10,4366883
9600,12,5240259
9600,15,6550324
9800,10,4585227
9800,12,5502272
9800,15,6877841
11000,10,4814488
11000,12,5777386
11000,15,7221733
11300,10,5055213
11300,12,6066255
11300,15,7582819
11700,10,5307973
11700,12,6369568
11700,15,7961960
12000,10,5573372
12000,12,6688047
12000,15,8360058
12300,10,5852041
12300,12,7022449
12300,15,8778061
12700,10,6144643
12700,12,7742250
12700,15,9677813
13000,10,6451875
13000,12,7742250
13000,15,9677813
13300,10,6774469
13300,12,8129362
13300,15,10161703
13500,10,6774469
13500,12,8129362
13500,15,10161703
13700,10,7113192
13700,12,8535831
13700,15,10669788
14000,10,7468852
14000,12,8962622
14000,15,1120327
14300,10,7842294
14300,12,9410753
14300,15,11763442
14500,10,8234409
14500,12,9881291
14500,15,12351614
14700,10,8646130
14700,12,10375356
14700,15,12969195
15000,10,9532358
15000,12,11438830
15000,15,14298537
15300,10,10008976
15300,12,12010771
15300,15,15013464
15500,10,10509425
15500,12,12611310
15500,15,15764137
15800,10,11034896
15800,12,13241875
15800,15,16552344
16000,10,11586641
16000,12,13903969
16000,15,17379961
16400,10,12165973
16400,12,14599167
16400,15,18248959
16900,10,12774271
16900,12,15329126
16900,15,19161407
17200,10,13412985
17200,12,16900361
17200,15,20119478
17500,10,12165973
17500,12,14599167
17500,15,18248959
17800,10,12774271
17800,12,15329126
17800,15,19161407
18000,10,13412985
18000,12,16900361
18000,15,20119478
18400,10,16303567
18400,12,19564281
18400,15,24455351
18800,10,16303567
18800,12,19564281
18800,15,24455351
19200,10,17118746
19200,12,20542495
19200,15,25678119
20000,10,17974683
20000,12,21569620
20000,15,26962025
22000,10,18873417
22000,12,22648101
22000,15,28310126
