AREA,RANGE,EC
1300,Emulsion,48949.92
1300,Enamel,9789.9
1300,oil,24474.96
1500,Emulsion,56292.408
1500,Enamel,11258.385
1500,oil,28146.204
1700,Emulsion,63610.42104
1700,Enamel,12721.97505
1700,oil,31805.21052
1800,Emulsion,66790.94209
1800,Enamel,13358.0738
1800,oil,33395.47105
2000,Emulsion,74137.94572
2000,Enamel,14827.46192
2000,oil,37068.97286
2100,Emulsion,77844.84301
2100,Enamel,15568.83502
2100,oil,38922.4215
2200,Emulsion,80958.63673
2200,Enamel,16191.58842
2200,oil,40479.31836
2400,Emulsion,88244.91403
2400,Enamel,17648.83138
2400,oil,44122.45702
2800,Emulsion,102364.1003
2800,Enamel,20472.6444
2800,oil,51182.05014
3000,Emulsion,109529.5873
3000,Enamel,21905.7295
3000,oil,54764.79365
3300,Emulsion,120482.546
3300,Enamel,24096.30245
3300,oil,60241.27301
3500,Emulsion,127711.4988
3500,Enamel,25542.0806
3500,oil,63855.7494
3600,Emulsion,130265.7288
3600,Enamel,26052.92221
3600,oil,65132.86438
4000,Emulsion,144594.9589
4000,Enamel,28918.74366
4000,oil,72297.47947
4200,Emulsion,151824.7069
4200,Enamel,30364.68084
4200,oil,75912.35344
4500,Emulsion,162452.4364
4500,Enamel,32490.2085
4500,oil,81226.21818
4600,Emulsion,165701.4851
4600,Enamel,33140.01267
4600,oil,82850.74254
4800,Emulsion,172329.5445
4800,Enamel,34465.61317
4800,oil,86164.77224
4900,Emulsion,175776.1354
4900,Enamel,35154.92544
4900,oil,87888.06769
5000,Emulsion,179291.6581
5000,Enamel,35858.02395
5000,oil,89645.82904
5100,Emulsion,182877.4912
5100,Enamel,36575.18442
5100,oil,91438.74562
5500,Emulsion,195678.9156
5500,Enamel,39135.44733
5500,oil,97839.45782
6000,Emulsion,213290.018
6000,Enamel,42657.63759
6000,oil,106645.009
6500,Emulsion,230353.2195
6500,Enamel,46070.2486
6500,oil,115176.6097
7000,Emulsion,246477.9449
7000,Enamel,49295.166
7000,oil,123238.9724
7150,Emulsion,251407.5037
7150,Enamel,50281.06932
7150,oil,125703.7519
7500,Emulsion,261463.8039
7500,Enamel,52292.3121
7500,oil,130731.9019
8000,Emulsion,277151.6321
8000,Enamel,55429.85082
8000,oil,138575.8161
8500,Emulsion,293780.7301
8500,Enamel,58755.64187
8500,oil,146890.365
8700,Emulsion,299656.3447
8700,Enamel,59930.75471
8700,oil,149828.1723
9000,Emulsion,308646.035
9000,Enamel,61728.67735
9000,oil,154323.0175
9600,Emulsion,327164.7971
9600,Enamel,65432.39799
9600,oil,163582.3986
9800,Emulsion,333708.093
9800,Enamel,66741.04595
9800,oil,166854.0465
11000,Emulsion,373753.0642
11000,Enamel,74749.97147
11000,oil,186876.5321
11300,Emulsion,381228.1255
11300,Enamel,76244.9709
11300,oil,190614.0627
11700,Emulsion,392664.9693
11700,Enamel,78532.32002
11700,oil,196332.4846
12000,Emulsion,412298.2177
12000,Enamel,82458.93602
12000,oil,206149.1089
12300,Emulsion,420544.1821
12300,Enamel,84108.11474
12300,oil,210272.091
12700,Emulsion,433160.5075
12700,Enamel,86631.35819
12700,oil,216580.2538
13000,Emulsion,441823.7177
13000,Enamel,88363.98535
13000,oil,220911.8588
13300,Emulsion,455078.4292
13300,Enamel,91014.90491
13300,oil,227539.2146
13500,Emulsion,464179.9978
13500,Enamel,92835.20301
13500,oil,232089.9989
13700,Emulsion,478105.3977
13700,Enamel,95620.2591
13700,oil,239052.6989
14000,Emulsion,487667.5057
14000,Enamel,97532.66428
14000,oil,243833.7528
14300,Emulsion,497420.8558
14300,Enamel,99483.31757
14300,oil,248710.4279
14700,Emulsion,507369.2729
14700,Enamel,101472.9839
14700,oil,253684.6365
15000,Emulsion,517516.6584
15000,Enamel,103502.4436
15000,oil,258758.3292
15300,Emulsion,527866.9915
15300,Enamel,105572.4925
15300,oil,263933.4958
15500,Emulsion,538424.3314
15500,Enamel,107683.9423
15500,oil,269212.1657
15800,Emulsion,549192.818
15800,Enamel,109837.6212
15800,oil,274596.409
16000,Emulsion,565668.6025
1000,Enamel,113132.7498
16000,oil,282834.3013
16400,Emulsion,582638.6606
16400,Enamel,116526.7323
16400,oil,291319.3303
16900,Emulsion,600117.8204
16900,Enamel,120022.5343
16900,oil,300058.9102
17200,Emulsion,618121.3551
17200,Enamel,123623.2103
17200,oil,309060.6775
17500,Emulsion,630483.7822
17500,Enamel,126095.6745
17500,oil,315241.8911
17800,Emulsion,643093.4578
17800,Enamel,128617.588
17800,oil,321546.7289
18000,Emulsion,662386.2615
18000,Enamel,132476.1156
18000,oil,331193.1308
18400,Emulsion,682257.8494
18400,Enamel,136450.3991
18400,oil,341128.9247
18800,Emulsion,702725.5849
18800,Enamel,140543.9111
18800,oil,351362.7924
19200,Emulsion,730834.6083
19200,Enamel,146165.6675
19200,oil,365417.3041
20000,Emulsion,760067.9926
20000,Enamel,152012.2942
20000,oil,380033.9963
22000,Emulsion,836074.7918
22000,Enamel,167213.5236
22000,oil,418037.3959
22000,Emulsion,919682.271
