AREA,RANGE,EC
1300,Laminate,50945
1300,Vinyl,35661.5
1300,Marble,66228.5
1500,Laminate,58586.75
1500,Vinyl,41010.725
1500,Marble,76162.775
1700,Laminate,66203.0275
1700,Vinyl,46342.11925
1700,Marble,86063.93575
1800,Laminate,69513.17888
1800,Vinyl,48659.22521
1800,Marble,90367.13254
2000,Laminate,77159.62855
2000,Vinyl,54011.73999
2000,Marble,100307.5171
2100,Laminate,81017.60998
2100,Vinyl,56712.32699
2100,Marble,105322.893
2200,Laminate,84258.31438
2200,Vinyl,58980.82006
2200,Marble,109535.8087
2400,Laminate,91841.56267
2400,Vinyl,64289.09387
2400,Marble,119394.0315
2800,Laminate,106536.2127
2800,Vinyl,74575.34889
2800,Marble,138497.0765
3000,Laminate,113993.7476
3000,Vinyl,79795.62331
3000,Marble,148191.8719
3300,Laminate,125393.1223
3300,Vinyl,87775.18564
3300,Marble,163011.0591
3500,Laminate,132916.7097
3500,Vinyl,93041.69678
3500,Marble,172791.7226
3600,Laminate,138233.3781
3600,Vinyl,96763.36465
3600,Marble,179703.3915
4000,Laminate,107407.3348
4000,Vinyl,199470.7646
4000,Marble,119222.1416
4200,Laminate,112777.7015
4200,Vinyl,209444.3028
4200,Marble,125183.2487
4500,Laminate,120672.1406
4500,Vinyl,224105.404
4500,Marble,133946.0761
4600,Laminate,123085.5834
4600,Vinyl,228587.5121
4600,Marble,136624.9976
4800,Laminate,128009.0068
4800,Vinyl,237731.0125
4800,Marble,142089.9975
4900,Laminate,130569.1869
4900,Vinyl,242485.6328
4900,Marble,144931.7975
5000,Laminate,133180.5706
5000,Vinyl,247335.3455
5000,Marble,147830.4334
5100,Laminate,135844.182
5100,Vinyl,252282.0524
5100,Marble,150787.0421
5500,Laminate,269941.796
5500,Vinyl,161342.135
5500,Marble,288837.7218
6000,Laminate,294236.5577
6000,Vinyl,175862.9272
6000,Marble,314833.1167
6500,Laminate,317775.4823
6500,Vinyl,189931.9613
6500,Marble,340019.766
7000,Laminate,340019.766
7000,Vinyl,203227.1986
7000,Marble,363821.1497
7150,Laminate,346820.1614
7150,Vinyl,207291.7426
7150,Marble,371097.5727
7500,Laminate,360692.9678
7500,Vinyl,215583.4123
7500,Marble,385941.4756
8000,Laminate,382334.5459
8000,Vinyl,228518.417
8000,Marble,409097.9641
8500,Laminate,405274.6186
8500,Vinyl,242229.5221
8500,Marble,433643.842
8700,Laminate,413380.111
8700,Vinyl,247074.1125
8700,Marble,442316.7188
9000,Laminate,425781.5143
9000,Vinyl,254486.3359
9000,Marble,455586.2204
9600,Laminate,451328.4052
9600,Vinyl,269755.516
9600,Marble,482921.3936
9800,Laminate,460354.9733
9800,Vinyl,275150.6264
9800,Marble,492579.8214
11000,Laminate,515597.5701
11000,Vinyl,308168.7015
11000,Marble,551689.4
11300,Laminate,525909.5215
11300,Vinyl,314332.0756
11300,Marble,562723.188
11700,Laminate,541686.8072
11700,Vinyl,323762.0378
11700,Marble,579604.8837
12000,Laminate,552520.5433
12000,Vinyl,330237.2786
12000,Marble,591196.9813
12300,Laminate,563570.9542
12300,Vinyl,336842.0241
12300,Marble,603020.921
12700,Laminate,580478.0828
12700,Vinyl,346947.2849
12700,Marble,621111.5486
13000,Laminate,592087.6445
13000,Vinyl,353886.2306
13000,Marble,633533.7796
13300,Laminate,605705.6603
13300,Vinyl,362025.6139
13300,Marble,648105.0565
13500,Laminate,617819.7735
13500,Vinyl,369266.1261
13500,Marble,661067.1576
13700,Laminate,630176.1689
13700,Vinyl,376651.4487
13700,Marble,674288.5008
14000,Laminate,642779.6923
14000,Vinyl,384184.4776
14000,Marble,687774.2708
14300,Laminate,655635.2862
14300,Vinyl,391868.1672
14300,Marble,701529.7562
14700,Laminate,662191.639
14700,Vinyl,395786.8489
14700,Marble,708545.0538
15000,Laminate,675435.4718
15000,Vinyl,403702.5858
15000,Marble,722715.9548
15300,Laminate,415813.6634
15300,Vinyl,744397.4335
15300,Marble,428288.0733
15500,Laminate,424129.9367
15500,Vinyl,759285.3822
15500,Marble,436853.8348
15800,Laminate,429219.4959
15800,Vinyl,768396.8067
15800,Marble,442096.0808
16000,Laminate,442096.0808
1000,Vinyl,791448.7109
16000,Marble,455358.9632
16400,Laminate,455358.9632
16400,Vinyl,815192.1723
16400,Marble,469019.7321
16900,Laminate,473573.3218
16900,Vinyl,847799.8592
16900,Marble,487780.5214
17200,Laminate,492516.2546
17200,Vinyl,881711.8535
17200,Marble,507291.7423
17500,Laminate,512216.9048
17500,Vinyl,916980.3277
17500,Marble,527583.412
17800,Laminate,532705.581
17800,Vinyl,953659.5408
17800,Marble,548686.7484
18000,Laminate,554013.8043
18000,Vinyl,991805.9224
18000,Marble,570634.2184
18400,Laminate,576174.3564
18400,Vinyl,1031478.159
18400,Marble,593459.5871
18800,Laminate,599221.3307
18800,Vinyl,1072737.286
18800,Marble,617197.9706
19200,Laminate,623190.1839
19200,Vinyl,1115646.777
19200,Marble,641885.8894
20000,Laminate,648117.7913
20000,Vinyl,1160272.648
20000,Marble,667561.325
22000,Laminate,719410.7483
22000,Vinyl,1287902.639
22000,Marble,740993.0707
