AREA,RANGE,EC
1300,1,2000000
1300,2,4000000
1300,3,6000000
1300,4,8000000
1300,5,10000000
1500,1,2875000
1500,2,57500000
1500,3,8625000
1500,4,11500000
1500,5,14375000
1700,1,6497500
1700,2,12995000
1700,3,19492500
1700,4,25990000
1700,5,32487500
1800,1,6822375
1800,2,13644750
1800,3,20467125
1800,4,27221276.25
1800,5,34026595.3125
2000,1,7572836.25
2000,2,15145672.5
2000,3,22718508.75
2000,4,30215616.6375
2000,5,37769520.796875
2100,1,7951478.0625
2100,2,15902956.125
2100,3,23854434.1875
2100,4,31726397.469375
2100,5,39657996.8367188
2200,1,8349051.965625
2200,2,16698103.93125
2200,3,25047155.896875
2200,4,33312717.3428438
2200,5,41640896.6785547
2400,1,8766504.56390625
2400,2,17533009.1278125
2400,3,26299513.6917188
2400,4,34978353.2099859
2400,5,43722941.5124824
2800,1,10169145.2941313
2800,2,20338290.5882625
2800,3,30507435.8823938
2800,4,40574889.7235837
2800,5,50718612.1544796
3000,1,10880985.4647204
3000,2,21761970.9294409
3000,3,32642956.3941613
3000,4,43415132.0042346
3000,5,54268915.0052932
3300,1,11969084.0111925
3300,2,23938168.022385
3300,3,35907252.0335775
3300,4,47756645.204658
3300,5,59695806.5058225
3500,1,12806919.891976
3500,2,25613839.7839519
3500,3,38420759.6759279
3500,4,51099610.3689841
3500,5,63874512.9612301
3600,1,13447265.8865748
3600,2,26894531.7731495
3600,3,40341797.6597243
3600,4,53654590.8874333
3600,5,67068238.6092916
4000,1,14926465.134098
4000,2,29852930.268196
4000,3,44779395.4022939
4000,4,59556595.885051
4000,5,74445744.8563137
4200,1,15374259.0881209
4200,2,30748518.1762418
4200,3,46122777.2643628
4200,4,61343293.7616025
4200,5,76679117.2020031
4500,1,16792273.2758602
4500,2,33584546.5517205
4500,3,50376819.8275807
4500,4,67001170.3706823
4500,5,83751462.9633529
4600,1,16960196.0086188
4600,2,33920392.0172377
4600,3,45114121.3829261
4600,4,60001781.4392917
4600,5,75002226.7991147
4800,1,17469001.8888774
4800,2,34938003.7777548
4800,3,6987600.75555096
4800,4,9293509.00488278
4800,5,11616886.2561035
4900,1,18135655.1379291
