AREA,RANGE,EC
1300,Ganged,70000
1300,Conventionalwall,72000
1500,Ganged,80500
1500,Conventionalwall,82800
1700,Ganged,90965
1700,Conventionalwall,93564
1800,Ganged,95513.25
1800,Conventionalwall,98242.2
2000,Ganged,106019.7075
2000,Conventionalwall,109048.842
2100,Ganged,111320.6929
2100,Conventionalwall,114501.2841
2200,Ganged,115773.5206
2200,Conventionalwall,119081.3355
2400,Ganged,126193.1374
2400,Conventionalwall,129798.6557
2800,Ganged,146384.0394
2800,Conventionalwall,150566.4406
3000,Ganged,156630.9222
3000,Conventionalwall,161106.0914
3300,Ganged,1722940.144
3300,Conventionalwall,1772167.005
3500,Ganged,1826316.553
3500,Conventionalwall,1878497.026
3600,Ganged,1899369.215
3600,Conventionalwall,1953636.907
4000,Ganged,2108299.829
4000,Conventionalwall,2168536.966
4200,Ganged,2213714.82
4200,Conventionalwall,2276963.815
4500,Ganged,2368674.857
4500,Conventionalwall,2436351.282
4600,Ganged,2416048.355
4600,Conventionalwall,2485078.307
4800,Ganged,2512690.289
4800,Conventionalwall,2584481.44
4900,Ganged,2562944.094
4900,Conventionalwall,2636171.069
5000,Ganged,2614202.976
5000,Conventionalwall,2688894.49
5100,Ganged,2666487.036
5100,Conventionalwall,2742672.38
5500,Ganged,2853141.128
5500,Conventionalwall,2934659.446
6000,Ganged,3109923.83
6000,Conventionalwall,3198778.797
6500,Ganged,3358717.736
6500,Conventionalwall,3454681.1
7000,Ganged,3593827.978
7000,Conventionalwall,3696508.777
7150,Ganged,3665704.537
7150,Conventionalwall,3770438.953
7500,Ganged,3812332.719
7500,Conventionalwall,3921256.511
8000,Ganged,4041072.682
8000,Conventionalwall,4156531.902
8500,Ganged,4283537.043
8500,Conventionalwall,4405923.816
8700,Ganged,4369207.784
8700,Conventionalwall,4494042.292
9000,Ganged,4500284.017
9000,Conventionalwall,4628863.561
9600,Ganged,4770301.058
9600,Conventionalwall,4906595.374
9800,Ganged,4865707.08
9800,Conventionalwall,5004727.282
11000,Ganged,5449591.929
11000,Conventionalwall,5605294.556
11300,Ganged,5558583.768
11300,Conventionalwall,5717400.447
11700,Ganged,5725341.281
11700,Conventionalwall,5888922.46
12000,Ganged,5839848.106
12000,Conventionalwall,6006700.909
12300,Ganged,5956645.068
12300,Conventionalwall,6126834.928
12700,Ganged,6135344.421
12700,Conventionalwall,6310639.975
13000,Ganged,6258051.309
13000,Conventionalwall,6436852.775
13300,Ganged,6401986.489
13300,Conventionalwall,6584900.389
13500,Ganged,6530026.219
13500,Conventionalwall,6716598.397
13700,Ganged,6660626.743
13700,Conventionalwall,6850930.364
14000,Ganged,6860445.546
14000,Conventionalwall,7056458.275
14300,Ganged,6997654.456
14300,Conventionalwall,7197587.441
14500,Ganged,7137607.546
14500,Conventionalwall,7341539.19
14700,Ganged,7208983.621
14700,Conventionalwall,7414954.582
15000,Ganged,7425253.13
15000,Conventionalwall,7637403.219
15300,Ganged,7648010.724
15300,Conventionalwall,7866525.316
15500,Ganged,7800970.938
15500,Conventionalwall,8023855.822
15800,Ganged,8035000.066
15800,Conventionalwall,8264571.497
16000,Ganged,8356400.069
16000,Conventionalwall,8595154.356
16400,Ganged,8690656.072
16400,Conventionalwall,8938960.531
16900,Ganged,9038282.314
16900,Conventionalwall,9296518.952
17200,Ganged,9219047.961
17200,Conventionalwall,9482449.331
17500,Ganged,9403428.92
17500,Conventionalwall,9672098.318
17800,Ganged,9591497.498
17800,Conventionalwall,9865540.284
18000,Ganged,9783327.448
18000,Conventionalwall,10062851.09
18400,Ganged,10174660.55
18400,Conventionalwall,10465365.13
18800,Ganged,10581646.97
18800,Conventionalwall,10883979.74
19200,Ganged,11004912.85
19200,Conventionalwall,11319338.93
20000,Ganged,11445109.36
20000,Conventionalwall,11772112.49
22000,Ganged,12704071.39
22000,Conventionalwall,13067044.86
