AREA,RANGE,EC
1300,MAT,390000
1300,PILE,585000
1300,WALL FOOTING,378300
1500,MAT,448500
1500,PILE,672750
1500,WALL FOOTING,435045
1700,MAT,506805
1700,PILE,760207.5
1700,WALL FOOTING,491600.85
1800,MAT,532145.25
1800,PILE,798217.875
1800,WALL FOOTING,516180.8925
2000,MAT,590681.2275
2000,PILE,886021.8413
2000,WALL FOOTING,572960.7907
2100,MAT,620215.2889
2100,PILE,930322.9333
2100,WALL FOOTING,601608.8302
2200,MAT,645023.9004
2200,PILE,967535.8506
2200,WALL FOOTING,625673.1834
2400,MAT,703076.0515
2400,PILE,1054614.077
2400,WALL FOOTING,681983.7699
2800,MAT,815568.2197
2800,PILE,1223352.33
2800,WALL FOOTING,791101.1731
3000,MAT,872657.9951
3000,PILE,1308986.993
3000,WALL FOOTING,846478.2552
3300,MAT,959923.7946
3300,PILE,1439885.692
3300,WALL FOOTING,931126.0808
3500,MAT,1017519.222
3500,PILE,1526278.833
3500,WALL FOOTING,986993.6456
3600,MAT,1037869.607
3600,PILE,1556804.41
3600,WALL FOOTING,1006733.519
4000,MAT,1152035.263
4000,PILE,1728052.895
4000,WALL FOOTING,1117474.206
4200,MAT,1209637.027
4200,PILE,1814455.54
4200,WALL FOOTING,1173347.916
4500,MAT,1294311.618
4500,PILE,1941467.428
4500,WALL FOOTING,1255482.27
4600,MAT,1320197.851
4600,PILE,1980296.776
4600,WALL FOOTING,1280591.915
4800,MAT,1373005.765
4800,PILE,2059508.647
4800,WALL FOOTING,1331815.592
4900,MAT,1400465.88
4900,PILE,2100698.82
4900,WALL FOOTING,1358451.904
5000,MAT,1428475.198
5000,PILE,2142712.797
5000,WALL FOOTING,1385620.942
5100,MAT,1457044.702
5100,PILE,2185567.053
5100,WALL FOOTING,1413333.361
5500,MAT,1559037.831
5500,PILE,2338556.746
5500,WALL FOOTING,1512266.696
6000,MAT,1699351.236
6000,PILE,2549026.853
6000,WALL FOOTING,1648370.699
6500,MAT,1835299.335
6500,PILE,2752949.002
6500,WALL FOOTING,1780240.354
7000,MAT,1963770.288
7000,PILE,2945655.432
7000,WALL FOOTING,1904857.179
7150,MAT,2003045.694
7150,PILE,3004568.541
7150,WALL FOOTING,1942954.323
7500,MAT,2083167.521
7500,PILE,3124751.282
7500,WALL FOOTING,2020672.496
8000,MAT,2208157.573
8000,PILE,3312236.359
8000,WALL FOOTING,2141912.846
8500,MAT,2340647.027
8500,PILE,3510970.541
8500,WALL FOOTING,2270427.616
8700,MAT,2387459.968
8700,PILE,3581189.951
8700,WALL FOOTING,2315836.169
9000,MAT,2459083.767
9000,PILE,3688625.65
9000,WALL FOOTING,2385311.254
9600,MAT,2606628.793
9600,PILE,3909943.189
9600,WALL FOOTING,2528429.929
9800,MAT,2658761.368
9800,PILE,3988142.053
9800,WALL FOOTING,2578998.527
11000,MAT,2977812.733
11000,PILE,4466719.099
11000,WALL FOOTING,2888478.351
11300,MAT,3037368.987
11300,PILE,4556053.481
11300,WALL FOOTING,2946247.918
11700,MAT,3128490.057
11700,PILE,4692735.085
11700,WALL FOOTING,3034635.355
12000,MAT,3191059.858
12000,PILE,4786589.787
12000,WALL FOOTING,3095328.062
12300,MAT,3254881.055
12300,PILE,4882321.583
12300,WALL FOOTING,3157234.624
12700,MAT,3352527.487
12700,PILE,5028791.23
12700,WALL FOOTING,3251951.662
13000,MAT,3419578.037
13000,PILE,5129367.055
13000,WALL FOOTING,3316990.696
13300,MAT,3487969.597
13300,PILE,5231954.396
13300,WALL FOOTING,3383330.509
13500,MAT,3522849.293
13500,PILE,5284273.94
13500,WALL FOOTING,3417163.815
13700,MAT,3558077.786
13700,PILE,5337116.679
13700,WALL FOOTING,3451335.453
14000,MAT,3629239.342
14000,PILE,5443859.013
14000,WALL FOOTING,3520362.162
14300,MAT,3701824.129
14300,PILE,5552736.193
14300,WALL FOOTING,3590769.405
14700,MAT,3775860.611
14700,PILE,5663790.917
14700,WALL FOOTING,3662584.793
15000,MAT,3851377.824
15000,PILE,5777066.736
15000,WALL FOOTING,3735836.489
15300,MAT,3928405.38
15300,PILE,5892608.07
15300,WALL FOOTING,3810553.219
15500,MAT,3967689.434
15500,PILE,5951534.151
15500,WALL FOOTING,3848658.751
15800,MAT,4007366.328
15800,PILE,6011049.492
15800,WALL FOOTING,3887145.338
16000,MAT,4047439.992
1000,PILE,6071159.987
16000,WALL FOOTING,3926016.792
16400,MAT,4128388.791
16400,PILE,6192583.187
16400,WALL FOOTING,4004537.128
16900,MAT,4252240.455
16900,PILE,6378360.683
16900,WALL FOOTING,4124673.242
17200,MAT,4294762.86
17200,PILE,6442144.29
17200,WALL FOOTING,4165919.974
17500,MAT,4337710.488
17500,PILE,6506565.732
17500,WALL FOOTING,4207579.174
17800,MAT,4381087.593
17800,PILE,6571631.39
17800,WALL FOOTING,4249654.965
18000,MAT,4424898.469
18000,PILE,6637347.704
18000,WALL FOOTING,4292151.515
18400,MAT,4513396.439
18400,PILE,6770094.658
18400,WALL FOOTING,4377994.545
18800,MAT,4603664.367
18800,PILE,6905496.551
18800,WALL FOOTING,4465554.436
19200,MAT,4695737.655
19200,PILE,7043606.482
19200,WALL FOOTING,4554865.525
20000,MAT,4883567.161
20000,PILE,7325350.741
20000,WALL FOOTING,4737060.146
22000,MAT,5371923.877
22000,PILE,8057885.815
22000,WALL FOOTING,5210766.161
