AREA,RANGE,EC
1300,2,280000
1300,3,420000
1300,4,558600
1500,2,285600
1500,3,428400
1500,4,569772
1700,2,294000
1700,3,441000
1700,4,586530
1800,2,296940
1800,3,445410
1800,4,592395.3
2000,2,302878.8
2000,3,454318.2
2000,4,604243.206
2100,2,305907.588
2100,3,458861.382
2100,4,610285.63806
2200,2,308966.66388
2200,3,463449.99582
2200,4,616388.4944406
2400,2,318235.6637964
2400,3,477353.4956946
2400,4,634880.149273818
2800,2,321418.020434364
2800,3,482127.030651546
2800,4,641228.950766556
3000,2,397794.5797455
3000,3,596691.86961825
3000,4,793600.186592273
3300,2,401772.525542955
3300,3,602658.788314433
3300,4,801536.188458196
3500,2,413825.701309244
3500,3,620738.551963866
3500,4,825582.274111941
3600,2,422102.215335429
3600,3,633153.323003143
3600,4,842093.91959418
4000,2,447428.348255554
4000,3,671142.522383332
4000,4,892619.554769831
4200,2,460851.198703221
4200,3,691276.798054831
4200,4,919398.141412926
4500,2,479285.24665135
4500,3,718927.869977025
4500,4,956174.067069443
4600,2,488870.951584377
4600,3,733306.427376565
4600,4,975297.548410832
4800,2,498648.370616064
4800,3,747972.555924096
4800,4,972364.322701325
4900,2,503634.854322225
4900,3,755452.281483337
4900,4,1004751.53437284
5000,2,755452.281483337
5000,3,1004751.53437284
5000,4,1336319.54071588
5100,2,523780.248495114
5100,3,785670.372742671
5100,4,1044941.59574775
5500,2,549969.26091987
5500,3,824953.891379804
5500,4,1097188.67553514
6000,2,582967.416575062
6000,3,874451.124862593
6000,4,1163019.99606725
6500,2,617945.461569566
6500,3,926918.192354348
6500,4,1232801.19583128
7000,2,655022.18926374
7000,3,982533.283895609
7000,4,1306769.26758116
7150,2,661572.411156377
7150,3,992358.616734565
7150,4,1319836.96025697
7500,2,694651.031714196
7500,3,1041976.54757129
7500,4,1385828.80826982
8000,2,736330.093617048
8000,3,1104495.14042557
8000,4,1468978.53676601
8500,2,780509.899234071
8500,3,1170764.84885111
8500,4,1557117.24897197
8700,2,803925.196211093
8700,3,1205887.79431664
8700,4,1603830.76644113
9000,2,828042.952097426
9000,3,1242064.42814614
9000,4,1651945.68943436
9600,2,886005.958744245
9600,3,1329008.93811637
9600,4,1767581.88769477
9800,2,903726.07791913
9800,3,1355589.1168787
9800,4,1802933.52544866
11000,2,1111583.07584053
11000,3,2033383.67531804
11000,4,2704400.288173
11300,2,1156046.39887415
11300,3,1734069.59831123
11300,4,2306312.56575393
11700,2,1202288.25482912
11700,3,1803432.38224368
11700,4,2398565.06838409
12000,2,1250379.78502228
12000,3,1875569.67753342
12000,4,2494507.67111945
12300,2,1300394.97642317
12300,3,1950592.46463476
12300,4,2594287.97796423
12700,2,1378418.67500856
12700,3,2067628.01251285
12700,4,2749945.25664209
13000,2,1433555.42200891
13000,3,2150333.13301336
13000,4,2859943.06690777
13300,2,1490897.63888926
13300,3,2236346.45833389
13300,4,2974340.78958408
13500,2,1580351.49722262
13500,3,2370527.24583393
13500,4,3152801.23695913
13700,2,1643565.55711152
13700,3,2465348.33566729
13700,4,3278913.28643749
14000,2,1627762.0421393
14000,3,2441643.06320895
14000,4,3247385.2740679
14300,2,1757983.00551044
14300,3,2636974.50826566
14300,4,3507176.09599333
14500,2,1793142.66562065
14500,3,2689713.99843098
14500,4,3577319.6179132
14700,2,1810722.49567576
14700,3,2716083.74351363
14700,4,3612391.37887313
15000,2,1828829.72063251
15000,3,2743244.58094877
15000,4,3648515.29266186
15300,2,1883694.61225149
15300,3,2825541.91837723
15300,4,3757970.75144172
15500,2,1959042.39674155
15500,3,2938563.59511232
15500,4,3908289.58149939
15800,2,2017813.66864379
15800,3,3026720.50296569
15800,4,4025538.26894437
16000,2,2098526.21538955
16000,3,3147789.32308432
16000,4,4186559.79970214
16400,2,2161482.00185123
16400,3,3242223.00277685
16400,4,4312156.59369321
16900,2,2291170.92196231
16900,3,3436756.38294346
16900,4,4570885.9893148
17200,2,2405729.46806042
17200,3,3608594.20209063
17200,4,4799430.28878054
17500,2,2526015.94146344
17500,3,3789023.91219516
17500,4,5039401.80321957
17800,2,2627056.57912198
17800,3,3940584.86868297
17800,4,5240977.87534835
18000,2,2732138.84228686
18000,3,4098208.26343029
18000,4,5450616.99036229
18400,2,2841424.39597833
18400,3,4262136.5939675
18400,4,5668641.66997678
18800,2,2926667.12785768
18800,3,4390000.69178653
18800,4,5838700.92007608
19200,2,3073000.48425057
19200,3,4609500.72637585
19200,4,6130635.96607989
20000,2,3656870.57625818
20000,3,5485305.86438727
20000,4,7295456.79963506
22000,2,4571088.22032272
22000,3,6856632.33048408
22000,4,9119320.99954383
