AREA,RANGE,EC
1300,RCC,260000
1500,RCC,299000
1700,RCC,337870
1800,RCC,354763.5
2000,RCC,393787.485
2100,RCC,413476.85925
2200,RCC,430015.93362
2400,RCC,468717.3676458
2800,RCC,543712.146469128
3000,RCC,581771.996721967
3300,RCC,639949.196394164
3500,RCC,678346.148177814
3600,RCC,691913.07114137
4000,RCC,768023.508966921
4200,RCC,806424.684415267
4500,RCC,862874.412324336
4600,RCC,880131.900570823
4800,RCC,915337.176593656
4900,RCC,933643.920125529
5000,RCC,952316.79852804
5100,RCC,971363.134498601
5500,RCC,1000504.02853356
6000,RCC,1090549.39110158
6500,RCC,1177793.34238971
7000,RCC,1260238.87635699
7150,RCC,1285443.65388413
7500,RCC,1336861.4000395
8000,RCC,1417073.08404187
8500,RCC,1502097.46908438
8700,RCC,1532139.41846607
9000,RCC,1578103.60102005
9600,RCC,1672789.81708125
9800,RCC,1706245.61342288
11000,RCC,1910995.08703363
11300,RCC,1910995.08703363
11700,RCC,1930105.03790397
12000,RCC,1988008.18904109
12300,RCC,2027768.35282191
12700,RCC,2068323.71987835
13000,RCC,2109690.19427592
13300,RCC,2151883.99816144
13500,RCC,2194921.67812467
13700,RCC,2216870.89490592
14000,RCC,2239039.60385498
14300,RCC,2283820.39593208
14500,RCC,2329496.80385072
14700,RCC,2352791.77188923
15000,RCC,2376319.68960812
15300,RCC,2423846.08340028
15500,RCC,2472323.00506829
15800,RCC,2497046.23511897
16000,RCC,2522016.69747016
16400,RCC,2600000
16900,RCC,2626000
17200,RCC,2704780
17500,RCC,2731820.78
17800,RCC,2759140.6078
18000,RCC,2786730.753878
18400,RCC,2814600.49141678
18800,RCC,2842750.096330948
19200,RCC,2899600.598257567
20000,RCC,2957590.810222718
22000,RCC,3075900.202631627
