AREA,VARIABLE_NAME,EC
1300,Changes_range,1620000
1500,Changes_range,1863000
1700,Changes_range,2105190
1800,Changes_range,2210449.5
2000,Changes_range,2453598.945
2100,Changes_range,2576278.892
2200,Changes_range,2679330.048
2400,Changes_range,6164675
2800,Changes_range,1035678
3000,Changes_range,1121984
3300,Changes_range,14810196
3500,Changes_range,15698808
3600,Changes_range,13343987
4000,Changes_range,23698921
4200,Changes_range,15552417
4500,Changes_range,26625738
4600,Changes_range,23763470
4800,Changes_range,15691434
4900,Changes_range,2160710
5000,Changes_range,18366039
5100,Changes_range,18733360
5500,Changes_range,28062574
6000,Changes_range,30588205.66
6500,Changes_range,33035262.11
7000,Changes_range,35347730.46
7150,Changes_range,36054685.07
7500,Changes_range,37496872.47
8000,Changes_range,39746684.82
8500,Changes_range,42131485.91
8700,Changes_range,42974115.63
9000,Changes_range,44263339.1
9600,Changes_range,46919139.44
9800,Changes_range,47857522.23
11000,Changes_range,53600424.9
11300,Changes_range,53600424.9
11700,Changes_range,54136429.15
12000,Changes_range,55760522.02
12300,Changes_range,56875732.46
12700,Changes_range,58013247.11
13000,Changes_range,59753644.53
13300,Changes_range,60948717.42
13500,Changes_range,62167691.77
13700,Changes_range,62789368.68
14000,Changes_range,63417262.37
14300,Changes_range,64685607.62
14500,Changes_range,65979319.77
14700,Changes_range,66639112.97
15000,Changes_range,67305504.1
15300,Changes_range,68651614.18
15500,Changes_range,70024646.46
15800,Changes_range,70724892.93
16000,Changes_range,71432141.86
16400,Changes_range,72146463.28
16900,Changes_range,72867927.91
17200,Changes_range,73596607.19
17500,Changes_range,74332573.26
17800,Changes_range,75075898.99
18000,Changes_range,75826657.98
18400,Changes_range,76584924.56
18800,Changes_range,77350773.81
19200,Changes_range,78897789.28
20000,Changes_range,80475745.07
22000,Changes_range,83694774.87
