AREA,VARIABLE_NAME,EC
1300,Earthwork,1690000
1500,Earthwork,1943500
1700,Earthwork,2196155
1800,Earthwork,2305962.75
2000,Earthwork,2559618.653
2100,Earthwork,2687599.585
2200,Earthwork,2795103.569
2400,Earthwork,16800000
2800,Earthwork,19600000
3000,Earthwork,21000000
3300,Earthwork,23100000
3500,Earthwork,2400000
3600,Earthwork,25200000
4000,Earthwork,28000000
4200,Earthwork,29400000
4500,Earthwork,31500000
4600,Earthwork,32200000
4800,Earthwork,33600000
4900,Earthwork,1690000
5000,Earthwork,35000000
5100,Earthwork,35700000
5500,Earthwork,38500000
6000,Earthwork,41965000
6500,Earthwork,45322200
7000,Earthwork,48494754
7150,Earthwork,49464649.08
7500,Earthwork,51443235.04
8000,Earthwork,54529829.15
8500,Earthwork,57801618.89
8700,Earthwork,58957651.27
9000,Earthwork,60726380.81
9600,Earthwork,64369963.66
9800,Earthwork,65657362.93
11000,Earthwork,73536246.48
11300,Earthwork,73536246.48
11700,Earthwork,74271608.95
12000,Earthwork,76499757.22
12300,Earthwork,78029752.36
12700,Earthwork,79590347.41
13000,Earthwork,81978057.83
13300,Earthwork,83617618.99
13500,Earthwork,85289971.37
13700,Earthwork,86142871.08
14000,Earthwork,87004299.79
14300,Earthwork,88744385.79
14500,Earthwork,90519273.5
14700,Earthwork,91424466.24
15000,Earthwork,92338710.9
15300,Earthwork,94185485.12
15500,Earthwork,96069194.82
15800,Earthwork,97029886.77
16000,Earthwork,98000185.64
16400,Earthwork,98980187.49
16900,Earthwork,99969989.37
17200,Earthwork,100969689.3
17500,Earthwork,101979386.2
17800,Earthwork,102999180
18000,Earthwork,104029171.8
18400,Earthwork,105069463.5
18800,Earthwork,106120158.2
19200,Earthwork,108242561.3
20000,Earthwork,110407412.6
22000,Earthwork,114823709.1
