AREA,VARIABLE_NAME,EC
1300,Escalation,1800000
1500,Escalation,1035000
1700,Escalation,1169550
1800,Escalation,1228027.5
2000,Escalation,1363110.525
2100,Escalation,1431266.051
2200,Escalation,1488516.693
2400,Escalation,6849723
2800,Escalation,11507534
3000,Escalation,12466495
3300,Escalation,16455774
3500,Escalation,17443120
3600,Escalation,14826652
4000,Escalation,26332135
4200,Escalation,1555241
4500,Escalation,29584153
4600,Escalation,26403856
4800,Escalation,15691434
4900,Escalation,24007895
5000,Escalation,20403711
5100,Escalation,20814845
5500,Escalation,31180638
6000,Escalation,33986895.42
6500,Escalation,36705847.05
7000,Escalation,39275256.35
7150,Escalation,40060761.47
7500,Escalation,41663191.93
8000,Escalation,44162983.45
8500,Escalation,46812762.46
8700,Escalation,47749017.71
9000,Escalation,49181488.24
9600,Escalation,52132377.53
9800,Escalation,53175025.08
11000,Escalation,59556028.09
11300,Escalation,59556028.09
11700,Escalation,60151588.37
12000,Escalation,61956136.02
12300,Escalation,63195258.74
12700,Escalation,64459163.92
13000,Escalation,66392938.84
13300,Escalation,67720797.61
13500,Escalation,69075213.57
13700,Escalation,69765965.7
14000,Escalation,70463625.36
14300,Escalation,71872897.86
14500,Escalation,73310355.82
14700,Escalation,74043459.38
15000,Escalation,74783893.97
15300,Escalation,76279571.85
15500,Escalation,77805163.29
15800,Escalation,78583214.92
16000,Escalation,79369047.07
16400,Escalation,80162737.54
16900,Escalation,80964364.92
17200,Escalation,81774008.57
17500,Escalation,82591748.65
17800,Escalation,83417666.14
18000,Escalation,84251842.8
18400,Escalation,85094361.23
18800,Escalation,85945304.84
19200,Escalation,87664210.94
20000,Escalation,89417495.16
22000,Escalation,92994194.96
