AREA,VARIABLE_NAME,EC
1300,No_of_floors,6000000
1500,No_of_floors,11500000
1700,No_of_floors,12995000
1800,No_of_floors,13644750
2000,No_of_floors,15145672.5
2100,No_of_floors,15902956.13
2200,No_of_floors,16539074.37
2400,No_of_floors,17124307
2800,No_of_floors,4603013
3000,No_of_floors,41554982
3300,No_of_floors,109705160
3500,No_of_floors,145359340
3600,No_of_floors,88959915
4000,No_of_floors,43886892
4200,No_of_floors,43201158
4500,No_of_floors,24653461
4600,No_of_floors,52807713
4800,No_of_floors,52304978
4900,No_of_floors,60019738
5000,No_of_floors,51016777
5100,No_of_floors,69382818
5500,No_of_floors,62361276
6000,No_of_floors,67973790.84
6500,No_of_floors,73411694.11
7000,No_of_floors,78550512.69
7150,No_of_floors,80121522.95
7500,No_of_floors,83326383.87
8000,No_of_floors,88325966.9
8500,No_of_floors,93625524.91
8700,No_of_floors,95498035.41
9000,No_of_floors,98362976.47
9600,No_of_floors,104264755.1
9800,No_of_floors,106350050.2
11000,No_of_floors,119112056.2
11300,No_of_floors,119112056.2
11700,No_of_floors,120303176.7
12000,No_of_floors,123912272
12300,No_of_floors,126390517.5
12700,No_of_floors,128918327.8
13000,No_of_floors,132785877.7
13300,No_of_floors,135441595.2
13500,No_of_floors,138150427.1
13700,No_of_floors,139531931.4
14000,No_of_floors,140927250.7
14300,No_of_floors,143745795.7
14500,No_of_floors,146620711.6
14700,No_of_floors,148086918.8
15000,No_of_floors,149567787.9
15300,No_of_floors,152559143.7
15500,No_of_floors,155610326.6
15800,No_of_floors,157166429.8
16000,No_of_floors,158738094.1
16400,No_of_floors,160325475.1
16900,No_of_floors,161928729.8
17200,No_of_floors,163548017.1
17500,No_of_floors,165183497.3
17800,No_of_floors,166835332.3
18000,No_of_floors,168503685.6
18400,No_of_floors,170188722.5
18800,No_of_floors,171890609.7
19200,No_of_floors,175328421.9
20000,No_of_floors,178834990.3
22000,No_of_floors,185988389.9
