AREA,RANGE,EC
1300,Acrylic,613778
1300,Emulsion,460333.5
1300,Gypsumboard,552400.2
1500,Acrylic,705844.7
1500,Emulsion,529383.525
1500,Gypsumboard,635260.23
1700,Acrylic,797604.511
1700,Emulsion,598203.3833
1700,Gypsumboard,717844.0599
1800,Acrylic,837484.7366
1800,Emulsion,628113.5524
1800,Gypsumboard,753736.2629
2000,Acrylic,929608.0576
2000,Emulsion,697206.0432
2000,Gypsumboard,836647.2518
2100,Acrylic,976088.4604
2100,Emulsion,732066.3453
2100,Gypsumboard,878479.6144
2200,Acrylic,1015131.999
2200,Emulsion,761348.9992
2200,Gypsumboard,913618.799
2400,Acrylic,1106493.879
2400,Emulsion,829870.4091
2400,Gypsumboard,995844.4909
2800,Acrylic,1283532.899
2800,Emulsion,962649.6745
2800,Gypsumboard,1155179.609
3000,Acrylic,1373380.202
3000,Emulsion,1030035.152
3000,Gypsumboard,1236042.182
3300,Acrylic,1510718.223
3300,Emulsion,1133038.667
3300,Gypsumboard,1359646.4
3500,Acrylic,1601361.316
3500,Emulsion,1201020.987
3500,Gypsumboard,1441225.184
3600,Acrylic,1633388.542
3600,Emulsion,1225041.407
3600,Gypsumboard,1470049.688
4000,Acrylic,1813061.282
4000,Emulsion,1359795.961
4000,Gypsumboard,1631755.154
4200,Acrylic,1903714.346
4200,Emulsion,1427785.759
4200,Gypsumboard,1713342.911
4500,Acrylic,2036974.35
4500,Emulsion,1527730.763
4500,Gypsumboard,1833276.915
4600,Acrylic,2077713.837
4600,Emulsion,1558285.378
4600,Gypsumboard,1869942.453
4800,Acrylic,2160822.391
4800,Emulsion,1620616.793
4800,Gypsumboard,1944740.152
4900,Acrylic,2204038.838
4900,Emulsion,1653029.129
4900,Gypsumboard,1983634.955
5000,Acrylic,2248119.615
5000,Emulsion,1686089.711
5000,Gypsumboard,2023307.654
5100,Acrylic,2293082.008
5100,Emulsion,1719811.506
5100,Gypsumboard,2063773.807
5500,Acrylic,2453597.748
5500,Emulsion,1840198.311
5500,Gypsumboard,2208237.973
6000,Acrylic,2674421.545
6000,Emulsion,2005816.159
6000,Gypsumboard,2406979.391
6500,Acrylic,2888375.269
6500,Emulsion,2166281.452
6500,Gypsumboard,2599537.742
7000,Acrylic,3090561.538
7000,Emulsion,2317921.153
7000,Gypsumboard,2781505.384
7150,Acrylic,3152372.769
7150,Emulsion,2364279.576
7150,Gypsumboard,2837135.492
7500,Acrylic,3278467.679
7500,Emulsion,2458850.76
7500,Gypsumboard,2950620.911
8000,Acrylic,3475175.74
