AREA,VARIABLE_NAME,EC
1300,No_of_parking_spaces,4500000
1500,No_of_parking_spaces,2875000
1700,No_of_parking_spaces,3248750
1800,No_of_parking_spaces,3411187.5
2000,No_of_parking_spaces,3786418.125
2100,No_of_parking_spaces,3975739.031
2200,No_of_parking_spaces,4134768.593
2400,No_of_parking_spaces,34248615
2800,No_of_parking_spaces,3835844
3000,No_of_parking_spaces,62332475
3300,No_of_parking_spaces,54852580
3500,No_of_parking_spaces,29071868
3600,No_of_parking_spaces,59306610
4000,No_of_parking_spaces,32915169
4200,No_of_parking_spaces,28800772
4500,No_of_parking_spaces,3521923
4600,No_of_parking_spaces,6286632
4800,No_of_parking_spaces,19614293
4900,No_of_parking_spaces,48015790
5000,No_of_parking_spaces,40813422
5100,No_of_parking_spaces,13876563
5500,No_of_parking_spaces,44543769
6000,No_of_parking_spaces,48552708.21
6500,No_of_parking_spaces,52436924.87
7000,No_of_parking_spaces,56107509.61
7150,No_of_parking_spaces,57229659.8
7500,No_of_parking_spaces,59518846.19
8000,No_of_parking_spaces,63089976.96
8500,No_of_parking_spaces,66875375.58
8700,No_of_parking_spaces,68212883.09
9000,No_of_parking_spaces,70259269.59
9600,No_of_parking_spaces,74474825.76
9800,No_of_parking_spaces,75964322.28
11000,No_of_parking_spaces,85080040.95
11300,No_of_parking_spaces,85080040.95
11700,No_of_parking_spaces,85930841.36
12000,No_of_parking_spaces,88508766.6
12300,No_of_parking_spaces,90278941.93
12700,No_of_parking_spaces,92084520.77
13000,No_of_parking_spaces,94847056.39
13300,No_of_parking_spaces,96743997.52
13500,No_of_parking_spaces,98678877.47
13700,No_of_parking_spaces,99665666.25
14000,No_of_parking_spaces,100662322.9
14300,No_of_parking_spaces,102675569.4
14500,No_of_parking_spaces,104729080.8
14700,No_of_parking_spaces,105776371.6
15000,No_of_parking_spaces,106834135.3
15300,No_of_parking_spaces,108970818
15500,No_of_parking_spaces,111150234.3
15800,No_of_parking_spaces,112261736.7
16000,No_of_parking_spaces,113384354.1
16400,No_of_parking_spaces,114518197.6
16900,No_of_parking_spaces,115663379.6
17200,No_of_parking_spaces,116820013.4
17500,No_of_parking_spaces,117988213.5
17800,No_of_parking_spaces,119168095.6
18000,No_of_parking_spaces,120359776.6
18400,No_of_parking_spaces,121563374.4
18800,No_of_parking_spaces,122779008.1
19200,No_of_parking_spaces,125234588.3
20000,No_of_parking_spaces,127739280
22000,No_of_parking_spaces,132848851.2
