AREA,VARIABLE_NAME,RANGE,EC
1300,Foundation_system,Mat,390000
1300,Substructure,RCC,260000
1300,Superstructure,RCC,260000
1300,External_wall,Emulsion,7296
1300,Internal_wall,Enamel,2031
1300,Ceiling,Non_asbestos,117000
1300,Form_system,Ganged,52000
1300,Floor,Laminates,156000
1300,No_of_parking_spaces,1,4500000
1300,No_of_floors,3,6000000
1300,Escalation,10,1800000
1300,Changes_range,9,1620000
1300,Earthwork,1,1690000
1300,Duration_of_the_project,450,18000000
1500,Foundation_system,Wall,448500
1500,Substructure,RCC,299000
1500,Superstructure,RCC,299000
1500,External_wall,Oil,8390.4
1500,Internal_wall,Acrylic,2335.65
1500,Ceiling,Gypsum_Board,134550
1500,Form_system,Ganged,59800
1500,Floor,Vinyl,179400
1500,No_of_parking_spaces,1,2875000
1500,No_of_floors,4,11500000
1500,Escalation,9,1035000
1500,Changes_range,10,1863000
1500,Earthwork,1,1943500
1500,Duration_of_the_project,500,20700000
1700,Foundation_system,Pile,506805
1700,Substructure,RCC,337870
1700,Superstructure,RCC,337870
1700,External_wall,Enamel,9481.152
1700,Internal_wall,Emulsion,2639.2845
1700,Ceiling,Non_asbestos,152041.5
1700,Form_system,Conventional,67574
1700,Floor,Marble,202722
1700,No_of_parking_spaces,2,3248750
1700,No_of_floors,2,12995000
1700,Escalation,10,1169550
1700,Changes_range,9,2105190
1700,Earthwork,1,2196155
1700,Duration_of_the_project,650,23391000
1800,Foundation_system,Mat,532145.25
1800,Substructure,RCC,354763.5
1800,Superstructure,RCC,354763.5
1800,External_wall,Emulsion,9955.2096
1800,Internal_wall,Enamel,2771.248725
1800,Ceiling,Non_asbestos,159643.575
1800,Form_system,Ganged,70952.7
1800,Floor,Laminates,212858.1
1800,No_of_parking_spaces,1,3411187.5
1800,No_of_floors,3,13644750
1800,Escalation,10,1228027.5
1800,Changes_range,8,2210449.5
1800,Earthwork,1,2305962.75
1800,Duration_of_the_project,800,24560550
2000,Foundation_system,Pile,590681.2275
2000,Substructure,RCC,393787.485
2000,Superstructure,RCC,393787.485
2000,External_wall,Enamel,11050.282656
2000,Internal_wall,Emulsion,3076.08608475
2000,Ceiling,Non_asbestos,177204.36825
2000,Form_system,Conventional,78757.497
2000,Floor,Marble,236272.491
2000,No_of_parking_spaces,2,3786418.125
2000,No_of_floors,5,15145672.5
2000,Escalation,10,1363110.525
2000,Changes_range,10,2453598.945
2000,Earthwork,1,2559618.6525
2000,Duration_of_the_project,900,27262210.5
2100,Foundation_system,Mat,620215.288875
2100,Substructure,RCC,413476.85925
2100,Superstructure,RCC,413476.85925
2100,External_wall,Emulsion,11602.7967888
2100,Internal_wall,Enamel,3229.8903889875
2100,Ceiling,Non_asbestos,186064.5866625
2100,Form_system,Ganged,82695.37185
2100,Floor,Laminates,248086.11555
2100,No_of_parking_spaces,1,3975739.03125
2100,No_of_floors,2,15902956.125
2100,Escalation,10,1431266.05125
2100,Changes_range,9,2576278.89225
2100,Earthwork,1,2687599.585125
2100,Duration_of_the_project,990,28625321.025
2200,Foundation_system,Pile,645023.90043
2200,Substructure,RCC,430015.93362
2200,Superstructure,RCC,430015.93362
2200,External_wall,Enamel,12066.908660352
2200,Internal_wall,Emulsion,3359.086004547
2200,Ceiling,Non_asbestos,193507.170129
2200,Form_system,Conventional,86003.186724
2200,Floor,Marble,258009.560172
2200,No_of_parking_spaces,1,4134768.5925
2200,No_of_floors,3,16539074.37
2200,Escalation,9,1488516.6933
2200,Changes_range,8,2679330.04794
2200,Earthwork,1,2795103.56853
2200,Duration_of_the_project,990,29770333.866
2400,Foundation_system,Mat,703076.0514687
2400,Substructure,RCC,468717.3676458
2400,Superstructure,RCC,468717.3676458
