AREA,VARIABLE_NAME,RANGE,EC
1300,No_of_parking_spaces,1,4500000
1300,No_of_floors,3,6000000
1300,Escalation,10,1800000
1300,Changes_range,9,1620000
1300,Earthwork,1,1690000
1300,Duration_of_the_project,450,18000000
1500,No_of_parking_spaces,1,2875000
1500,No_of_floors,4,11500000
1500,Escalation,9,1035000
1500,Changes_range,10,1863000
1500,Earthwork,1,1943500
1500,Duration_of_the_project,500,20700000
1700,No_of_parking_spaces,2,3248750
1700,No_of_floors,2,12995000
1700,Escalation,10,1169550
1700,Changes_range,9,2105190
1700,Earthwork,1,2196155
1700,Duration_of_the_project,650,23391000
1800,No_of_parking_spaces,1,3411187.5
1800,No_of_floors,3,13644750
1800,Escalation,10,1228027.5
1800,Changes_range,8,2210449.5
1800,Earthwork,1,2305962.75
1800,Duration_of_the_project,800,24560550
2000,No_of_parking_spaces,2,3786418.125
2000,No_of_floors,5,15145672.5
2000,Escalation,10,1363110.525
2000,Changes_range,10,2453598.945
2000,Earthwork,1,2559618.6525
2000,Duration_of_the_project,900,27262210.5
2100,No_of_parking_spaces,1,3975739.03125
2100,No_of_floors,2,15902956.125
2100,Escalation,10,1431266.05125
2100,Changes_range,9,2576278.89225
2100,Earthwork,1,2687599.585125
2100,Duration_of_the_project,990,28625321.025
2200,No_of_parking_spaces,1,4134768.5925
2200,No_of_floors,3,16539074.37
2200,Escalation,9,1488516.6933
2200,Changes_range,8,2679330.04794
2200,Earthwork,1,2795103.56853
2200,Duration_of_the_project,990,29770333.866
2400,No_of_parking_spaces,2,34248615
2400,No_of_floors,4,17124307
2400,Escalation,10,6849723
2400,Changes_range,9,6164675
2400,Earthwork,1,16800000
2400,Duration_of_the_project,1000,68497230
2800,No_of_parking_spaces,1,3835844
2800,No_of_floors,5,4603013
2800,Escalation,10,11507534
2800,Changes_range,9,1035678
2800,Earthwork,1,19600000
2800,Duration_of_the_project,1200,115075344
3000,No_of_parking_spaces,2,62332475
3000,No_of_floors,3,41554982
3000,Escalation,10,12466495
3000,Changes_range,9,1121984
3000,Earthwork,1,21000000
3000,Duration_of_the_project,1350,124664950
3300,No_of_parking_spaces,2,54852580
3300,No_of_floors,4,109705160
3300,Escalation,9,16455774
3300,Changes_range,8,14810196
3300,Earthwork,1,23100000
3300,Duration_of_the_project,1300,164557740
3500,No_of_parking_spaces,1,29071868
3500,No_of_floors,5,145359340
3500,Escalation,10,17443120
3500,Changes_range,9,15698808
3500,Earthwork,1,2400000
3500,Duration_of_the_project,1300,174431208
3600,No_of_parking_spaces,2,59306610
3600,No_of_floors,3,88959915
3600,Escalation,10,14826652
3600,Changes_range,8,13343987
3600,Earthwork,1,25200000
3600,Duration_of_the_project,1400,148266525
4000,No_of_parking_spaces,2,32915169
4000,No_of_floors,6,43886892
4000,Escalation,10,26332135
4000,Changes_range,9,23698921
4000,Earthwork,1,28000000
4000,Duration_of_the_project,1600,263321352
4200,No_of_parking_spaces,1,28800772
4200,No_of_floors,4,43201158
4200,Escalation,10,1555241
4200,Changes_range,9,15552417
4200,Earthwork,1,29400000
4200,Duration_of_the_project,1600,172804635
4500,No_of_parking_spaces,2,3521923
4500,No_of_floors,6,24653461
4500,Escalation,10,29584153
4500,Changes_range,8,26625738
4500,Earthwork,1,31500000
4500,Duration_of_the_project,1690,295841536
4600,No_of_parking_spaces,2,6286632
4600,No_of_floors,5,52807713
4600,Escalation,10,26403856
4600,Changes_range,9,23763470
4600,Earthwork,1,32200000
4600,Duration_of_the_project,1800,264038565
4800,No_of_parking_spaces,1,19614293
4800,No_of_floors,3,52304978
4800,Escalation,10,15691434
4800,Changes_range,10,15691434
4800,Earthwork,1,33600000
4800,Duration_of_the_project,1700,156914348
4900,No_of_parking_spaces,2,48015790
4900,No_of_floors,4,60019738
4900,Escalation,10,24007895
4900,Changes_range,9,2160710
4900,Earthwork,1,1690000
4900,Duration_of_the_project,1850,240078954
5000,No_of_parking_spaces,1,40813422
5000,No_of_floors,4,51016777
5000,Escalation,10,20403711
5000,Changes_range,9,18366039
5000,Earthwork,1,35000000
5000,Duration_of_the_project,1900,204067110
5100,No_of_parking_spaces,2,13876563
5100,No_of_floors,3,69382818
5100,Escalation,10,20814845
5100,Changes_range,9,18733360
5100,Earthwork,1,35700000
5100,Duration_of_the_project,1900,208148455
5500,No_of_parking_spaces,2,44543769
5500,No_of_floors,5,62361276
5500,Escalation,10,31180638
