AREA,RANGE,EC
1300,Non asbestor,7614.611320754718
1300,Gypsum board,6472.41962264151
1500,Non asbestor,8756.803018867924
1500,Gypsum board,7443.282566037736
1700,Non asbestor,9895.187411320756
1700,Gypsum board,8410.9093
1800,Non asbestor,10389.946781132076
1800,Gypsum board,8831.454764150943
2000,Non asbestor,11532.840928301888
2000,Gypsum board,9802.914788679245
2100,Non asbestor,12109.482973584907
2100,Gypsum board,10293.060528301889
2200,Non asbestor,12593.86229245283
2200,Gypsum board,10704.782949056604
2400,Non asbestor,13727.3099
2400,Gypsum board,11668.21341509434
2800,Non asbestor,15923.67948301887
2800,Gypsum board,13535.12756037736
3000,Non asbestor,17038.33704716981
3000,Gypsum board,14482.586490566038
3300,Non asbestor,18742.17075283019
3300,Gypsum board,15930.845139622643
3500,Non asbestor,19866.701
3500,Gypsum board,16886.69584716981
3600,Non asbestor,20264.035018867926
3600,Gypsum board,17224.429764150944
4000,Non asbestor,22493.07886792453
4000,Gypsum board,19119.11703773585
4200,Non asbestor,23617.732811320755
4200,Gypsum board,20075.07288679245
4500,Non asbestor,25270.974113207547
4500,Gypsum board,21480.328
4600,Non asbestor,25776.39358490566
4600,Gypsum board,21909.93454716981
4800,Non asbestor,26807.449339622643
4800,Gypsum board,22786.331943396224
4900,Non asbestor,27343.598320754718
4900,Gypsum board,23242.058566037736
5000,Non asbestor,27890.47028301887
5000,Gypsum board,23706.899735849056
5100,Non asbestor,28448.27969811321
5100,Gypsum board,24181.03773584906
5500,Non asbestor,30439.65926415094
5500,Gypsum board,25873.710377358493
6000,Non asbestor,33179.22860377358
6000,Gypsum board,28202.34432075472
6500,Non asbestor,35833.566886792454
6500,Gypsum board,30458.531867924532
7000,Non asbestor,38341.91658490566
7000,Gypsum board,32590.629094339627
7150,Non asbestor,39108.75490566038
7150,Gypsum board,33242.44167924528
7500,Non asbestor,40673.10511320755
7500,Gypsum board,34572.13933962265
8000,Non asbestor,43113.491415094344
8000,Gypsum board,36646.46769811321
8500,Non asbestor,45700.30090566038
8500,Gypsum board,38845.255754716985
8700,Non asbestor,46614.306924528304
8700,Gypsum board,39622.16088679245
9000,Non asbestor,48012.73613207548
9000,Gypsum board,40810.82569811321
9600,Non asbestor,50893.50028301887
9600,Gypsum board,43259.47524528302
9800,Non asbestor,51911.3703018868
9800,Gypsum board,44124.664754716985
11000,Non asbestor,58140.73473584905
11000,Gypsum board,49419.62452830189
11300,Non asbestor,59303.54943396226
11300,Gypsum board,50408.017018867926
11700,Non asbestor,61082.65590566038
11700,Gypsum board,51920.25752830189
12000,Non asbestor,62304.30901886792
12000,Gypsum board,52958.66267924529
12300,Non asbestor,63550.395207547175
12300,Gypsum board,54017.8359245283
12700,Non asbestor,65456.90705660377
12700,Gypsum board,55638.371
13000,Non asbestor,66766.04520754717
13000,Gypsum board,56751.138433962275
13300,Non asbestor,68101.36611320755
13300,Gypsum board,57886.161188679245
13500,Non asbestor,69463.39343396226
13500,Gypsum board,59043.88441509435
13700,Non asbestor,70852.6613018868
13700,Gypsum board,60224.76211320755
14000,Non asbestor,72269.71452830189
14000,Gypsum board,61429.25733962264
14300,Non asbestor,73715.10881132075
14300,Gypsum board,62657.84249056604
14500,Non asbestor,75189.411
14500,Gypsum board,63910.99933962264
14700,Non asbestor,76693.19920754716
14700,Gypsum board,65189.21933962264
15000,Non asbestor,78227.06318867924
15000,Gypsum board,66493.00371698114
15300,Non asbestor,79791.60445283019
15300,Gypsum board,67822.86379245283
15500,Non asbestor,81387.43654716981
15500,Gypsum board,69179.3210754717
15800,Non asbestor,83015.18528301887
15800,Gypsum board,70562.90749056604
16000,Non asbestor,84675.48898113208
16000,Gypsum board,71974.16564150943
16400,Non asbestor,87215.75366037736
16400,Gypsum board,74133.39060377359
16900,Non asbestor,89832.22626415094
16900,Gypsum board,76357.39232075472
17200,Non asbestor,91628.87079245284
17200,Gypsum board,77884.54016981133
17500,Non asbestor,94377.7369245283
17500,Gypsum board,80221.07637735849
17800,Non asbestor,96265.29166037736
17800,Gypsum board,81825.49790566038
18000,Non asbestor,99153.25039622642
18000,Gypsum board,84280.2628490566
18400,Non asbestor,102127.84792452831
18400,Gypsum board,86808.67073584907
18800,Non asbestor,106212.96183018868
18800,Gypsum board,90281.01756603774
19200,Non asbestor,110461.4803018868
19200,Gypsum board,93892.25826415094
20000,Non asbestor,114879.93950943397
20000,Gypsum board,97647.94858490567
22000,Non asbestor,126367.93347169812
22000,Gypsum board,107412.7434528302
