AREA,RANGE,EC
1300,Emulsion,9235.83396226415
1300,Enamel,1847.1509433962265
1300,oil,4617.916981132075
1500,Emulsion,10621.209056603775
1500,Enamel,2124.2235849056606
1500,oil,5310.6045283018875
1700,Emulsion,12001.966233962265
1700,Enamel,2400.372650943396
1700,oil,6000.983116981132
1800,Emulsion,12602.06454528302
1800,Enamel,2520.391283018868
1800,oil,6301.032273584906
2000,Emulsion,13988.29164528302
2000,Enamel,2797.634324528302
2000,oil,6994.14582264151
2100,Emulsion,14687.706228301886
2100,Enamel,2937.516041509434
2100,oil,7343.853113207547
2200,Emulsion,15275.214477358491
2200,Enamel,3055.016683018868
2200,oil,7637.607237735849
2400,Emulsion,16649.98377924528
2400,Enamel,3329.9681849056606
2400,oil,8324.991890566038
2800,Emulsion,19313.98118867925
2800,Enamel,3862.763094339623
2800,oil,9656.99059245283
3000,Emulsion,20665.95986792453
3000,Enamel,4133.156509433963
3000,oil,10332.979933962264
3300,Emulsion,22732.555849056604
3300,Enamel,4546.472160377359
3300,oil,11366.277926415094
3500,Emulsion,24096.50920754717
3500,Enamel,4819.260490566038
3500,oil,12048.254603773585
3600,Emulsion,24578.439396226415
3600,Enamel,4915.6457
3600,oil,12289.219694339623
4000,Emulsion,27282.06771698113
4000,Enamel,5456.366728301887
4000,oil,13641.033862264152
4200,Emulsion,28646.171113207547
4200,Enamel,5729.185064150944
4200,oil,14323.085554716983
4500,Emulsion,30651.403094339625
4500,Enamel,6130.228018867925
4500,oil,15325.701543396226
4600,Emulsion,31264.431150943394
4600,Enamel,6252.832579245282
4600,oil,15632.215573584908
4800,Emulsion,32515.008396226414
4800,Enamel,6502.945881132076
4800,oil,16257.504196226417
4900,Emulsion,33165.30856603774
4900,Enamel,6633.0048
4900,oil,16582.654281132076
5000,Emulsion,33828.614735849056
5000,Enamel,6765.664896226416
5000,oil,16914.307366037734
5100,Emulsion,34505.187018867924
5100,Enamel,6900.97819245283
5100,oil,17252.593513207546
5500,Emulsion,36920.55011320755
5500,Enamel,7384.046666037737
5500,oil,18460.275060377357
6000,Emulsion,40243.39962264151
6000,Enamel,8048.610866037736
6000,oil,20121.699811320756
