AREA,RANGE,EC
1300,RCC,49056.60377358491
1500,RCC,56415.09433962264
1700,RCC,63749.056603773584
1800,RCC,66936.50943396226
2000,RCC,74299.52547169811
2100,RCC,78014.50174528302
2200,RCC,81135.08181509435
2400,RCC,88437.23917845283
2800,RCC,102587.19744700528
3000,RCC,109768.30126829566
3300,RCC,120745.13139512528
3500,RCC,127989.83927883283
3600,RCC,130549.63606440944
4000,RCC,144910.09603149453
4200,RCC,152155.60083306924
4500,RCC,162806.49289138417
4600,RCC,166062.62274921188
4800,RCC,172705.12765918038
4900,RCC,176159.23021236397
5000,RCC,179682.41481661133
5100,RCC,183276.06311294358
5500,RCC,188774.3450063321
6000,RCC,205764.0360569019
6500,RCC,222225.15894145472
7000,RCC,237780.92006735664
7150,RCC,242536.5384687038
7500,RCC,252238.00000745285
8000,RCC,267372.28000790003
8500,RCC,283414.6168083736
8700,RCC,289082.90914454154
9000,RCC,297755.39641887735
9600,RCC,315620.72020400944
9800,RCC,321933.13460809056
11000,RCC,360565.1107610623
11300,RCC,360565.1107610623
11700,RCC,364170.7618686736
12000,RCC,375095.88472473394
12300,RCC,382597.8024192283
12700,RCC,390249.7584676132
13000,RCC,398054.753636966
13300,RCC,406015.84870970563
13500,RCC,414136.1656839
13700,RCC,418277.5273407397
14000,RCC,422460.30261414713
14300,RCC,430909.50866643025
14500,RCC,439527.6988397585
14700,RCC,443922.9758281566
15000,RCC,448362.2055864377
15300,RCC,457329.4496981661
15500,RCC,466476.03869213024
15800,RCC,471140.79907905095
16000,RCC,475852.20706984156
16400,RCC,490566.0377358491
16900,RCC,495471.6981132076
17200,RCC,510335.8490566038
17500,RCC,515437.8830188679
17800,RCC,520592.56750943395
18000,RCC,525798.2554486793
18400,RCC,531056.696493732
18800,RCC,536367.9427039525
19200,RCC,547094.4525014277
20000,RCC,558036.0019288147
22000,RCC,580358.5287984202
