AREA,RANGE,EC
1300,Laminate,9612.264150943396
1300,Vinyl,6728.584905660377
1300,Marble,12495.943396226416
1500,Laminate,11054.103773584906
1500,Vinyl,7737.872641509434
1500,Marble,14370.334905660377
1700,Laminate,12491.137264150942
1700,Vinyl,8743.796084905662
1700,Marble,16238.478443396229
1800,Laminate,13115.694128301888
1800,Vinyl,9180.985888679244
1800,Marble,17050.40236603774
2000,Laminate,14558.420481132074
2000,Vinyl,10190.89433773585
2000,Marble,18925.94662264151
2100,Laminate,15286.341505660377
2100,Vinyl,10700.439054716982
2100,Marble,19872.24396226415
2200,Laminate,15897.795166037735
2200,Vinyl,11128.45661509434
2200,Marble,20667.13371698113
2400,Laminate,17328.59673018868
2400,Vinyl,12130.017711320754
2400,Marble,22527.17575471698
2800,Laminate,20101.17220754717
2800,Vinyl,14070.820545283019
2800,Marble,26131.523867924527
3000,Laminate,21508.254264150946
3000,Vinyl,15055.777983018868
3000,Marble,27960.730547169813
3300,Laminate,23659.079679245286
3300,Vinyl,16561.355781132075
3300,Marble,30756.803603773587
3500,Laminate,25078.624471698116
3500,Vinyl,17555.037128301887
3500,Marble,32602.211811320758
3600,Laminate,26081.76945283019
3600,Vinyl,18257.238613207548
3600,Marble,33906.30028301887
4000,Laminate,20265.53486792453
4000,Vinyl,37635.993320754715
4000,Marble,22494.74369811321
4200,Laminate,21278.811603773585
4200,Vinyl,39517.79298113208
4200,Marble,23619.48088679245
4500,Laminate,22768.32841509434
4500,Vinyl,42284.03849056604
4500,Marble,25272.844547169814
4600,Laminate,23223.694981132077
4600,Vinyl,43129.71926415095
4600,Marble,25778.301433962264
4800,Laminate,24152.642792452833
4800,Vinyl,44854.90801886793
4800,Marble,26809.43349056604
4900,Laminate,24635.695641509436
4900,Vinyl,45752.00618867925
4900,Marble,27345.62216981132
5000,Laminate,25128.409547169813
5000,Vinyl,46667.046320754715
5000,Marble,27892.534603773587
5100,Laminate,25630.977735849057
5100,Vinyl,47600.38724528302
5100,Marble,28450.385301886792
5500,Laminate,50932.414339622635
5500,Vinyl,30441.912264150946
5500,Marble,54497.68335849057
6000,Laminate,55516.33164150944
6000,Vinyl,33181.68437735849
6000,Marble,59402.474849056605
6500,Laminate,59957.63816981132
6500,Vinyl,35836.219113207546
6500,Marble,64154.67283018868
7000,Laminate,64154.67283018868
7000,Vinyl,38344.75445283019
7000,Marble,68645.49994339624
7150,Laminate,65437.76630188679
7150,Vinyl,39111.649547169814
7150,Marble,70018.40994339623
7500,Laminate,68055.27694339622
7500,Vinyl,40676.11552830189
7500,Marble,72819.14633962265
8000,Laminate,72138.59356603774
8000,Vinyl,43116.68245283019
8000,Marble,77188.29511320754
8500,Laminate,76466.90916981132
8500,Vinyl,45703.68341509434
8500,Marble,81819.59283018869
8700,Laminate,77996.24735849057
8700,Vinyl,46617.757075471694
8700,Marble,83455.98467924527
9000,Laminate,80336.1347735849
9000,Vinyl,48016.28979245283
9000,Marble,85959.6642264151
9600,Laminate,85156.30286792453
9600,Vinyl,50897.267169811326
9600,Marble,91117.24407547171
9800,Laminate,86859.42892452831
9800,Vinyl,51915.21252830189
9800,Marble,92939.58894339623
11000,Laminate,97282.56039622641
11000,Vinyl,58145.038018867934
11000,Marble,104092.33962264152
11300,Laminate,99228.2116037736
11300,Vinyl,59307.93879245283
11300,Marble,106174.18641509434
11700,Laminate,102205.05796226417
11700,Vinyl,61087.176943396225
11700,Marble,109359.41201886792
12000,Laminate,104249.15911320756
12000,Vinyl,62308.920490566044
12000,Marble,111546.60024528301
12300,Laminate,106334.14230188681
12300,Vinyl,63555.09888679245
12300,Marble,113777.53226415094
12700,Laminate,109524.16656603773
12700,Vinyl,65461.75186792453
12700,Marble,117190.85822641509
13000,Laminate,111714.6499056604
13000,Vinyl,66770.98690566038
13000,Marble,119534.67539622642
13300,Laminate,114284.0868490566
13300,Vinyl,68306.71960377358
13300,Marble,122283.9729245283
13500,Laminate,116569.76858490567
13500,Vinyl,69672.85398113208
13500,Marble,124729.6523773585
13700,Laminate,118901.16394339624
13700,Vinyl,71066.3110754717
13700,Marble,127224.24543396228
14000,Laminate,121279.1872264151
14000,Vinyl,72487.63728301886
14000,Marble,129768.73033962266
14300,Laminate,123704.77098113207
14300,Vinyl,73937.39003773585
14300,Marble,132364.10494339623
14700,Laminate,124941.81867924528
14700,Vinyl,74676.76394339623
14700,Marble,133687.746
15000,Laminate,127440.65505660379
15000,Vinyl,76170.29920754717
15000,Marble,136361.50090566036
15300,Laminate,78455.40818867926
15300,Vinyl,140452.34594339624
15300,Marble,80809.07043396226
15500,Laminate,80024.51635849057
15500,Vinyl,143261.39286792453
15500,Marble,82425.25184905661
15800,Laminate,80984.8105471698
15800,Vinyl,144980.52956603773
15800,Marble,83414.35486792453
16000,Laminate,83414.35486792453
1000,Vinyl,149329.94545283017
16000,Marble,85916.78550943396
16400,Laminate,85916.78550943396
16400,Vinyl,153809.84383018868
16400,Marble,88494.28907547171
16900,Laminate,89353.45694339623
16900,Vinyl,159962.23758490567
16900,Marble,92034.06064150944
17200,Laminate,92927.59520754717
17200,Vinyl,166360.7270754717
17200,Marble,95715.4230754717
17500,Laminate,96644.69901886793
17500,Vinyl,173015.15616981132
17500,Marble,99544.04000000001
17800,Laminate,100510.48698113208
17800,Vinyl,179935.76241509433
17800,Marble,103525.80158490567
18000,Laminate,104530.90647169811
18000,Vinyl,187133.1929056604
18000,Marble,107666.83366037736
18400,Laminate,108712.14271698115
18400,Vinyl,194618.52056603774
18400,Marble,111973.507
18800,Laminate,113060.62843396228
18800,Vinyl,202403.26150943397
18800,Marble,116452.44728301888
19200,Laminate,117583.05356603774
19200,Vinyl,210499.39188679247
19200,Marble,121110.54516981132
20000,Laminate,122286.37571698114
20000,Vinyl,218919.36754716982
20000,Marble,125954.96698113206
22000,Laminate,135737.87703773586
22000,Vinyl,243000.49792452832
22000,Marble,139810.01333962264
