AREA,RANGE,EC
1300,MAT,73584.90566037736
1300,PILE,110377.35849056604
1300,WALL FOOTING,71377.35849056604
1500,MAT,84622.64150943396
1500,PILE,126933.96226415095
1500,WALL FOOTING,82083.96226415095
1700,MAT,95623.58490566038
1700,PILE,143435.37735849057
1700,WALL FOOTING,92754.87735849056
1800,MAT,100404.7641509434
1800,PILE,150607.1462264151
1800,WALL FOOTING,97392.6212264151
2000,MAT,111449.28820754719
2000,PILE,167173.9323207547
2000,WALL FOOTING,108105.80956603774
2100,MAT,117021.75262264152
2100,PILE,175532.6289245283
2100,WALL FOOTING,113511.10003773584
2200,MAT,121702.62271698115
2200,PILE,182553.9340754717
2200,WALL FOOTING,118051.54403773585
2400,MAT,132655.85877358489
2400,PILE,198983.78811320756
2400,WALL FOOTING,128676.18299999999
2800,MAT,153880.79616981134
2800,PILE,230821.19433962266
2800,WALL FOOTING,149264.37228301886
3000,MAT,164652.45190566036
3000,PILE,246978.6779245283
3000,WALL FOOTING,159712.87833962264
3300,MAT,181117.69709433964
3300,PILE,271676.54566037736
3300,WALL FOOTING,175684.16618867926
3500,MAT,191984.75886792454
3500,PILE,287977.1383018868
3500,WALL FOOTING,186225.21615094342
3600,MAT,195824.4541509434
3600,PILE,293736.6811320755
3600,WALL FOOTING,189949.72056603775
4000,MAT,217365.14396226418
4000,PILE,326047.71603773587
4000,WALL FOOTING,210844.18981132077
4200,MAT,228233.40132075473
4200,PILE,342350.10188679246
4200,WALL FOOTING,221386.399245283
4500,MAT,244209.73924528304
4500,PILE,366314.6090566038
4500,WALL FOOTING,236883.44716981132
4600,MAT,249093.93415094342
4600,PILE,373640.9011320755
4600,WALL FOOTING,241621.11603773586
4800,MAT,259057.69150943396
4800,PILE,388586.5371698114
4800,WALL FOOTING,251285.96075471697
4900,MAT,264238.84528301883
4900,PILE,396358.2679245283
4900,WALL FOOTING,256311.68000000002
5000,MAT,269523.622264151
5000,PILE,404285.4333962264
5000,WALL FOOTING,261437.91358490568
5100,MAT,274914.09471698117
5100,PILE,412371.1420754717
5100,WALL FOOTING,266666.67188679246
5500,MAT,294158.0813207547
5500,PILE,441237.1218867924
5500,WALL FOOTING,285333.3388679245
6000,MAT,320632.3086792453
6000,PILE,480948.46283018874
6000,WALL FOOTING,311013.3394339623
6500,MAT,346282.8933962264
6500,PILE,519424.33999999997
6500,WALL FOOTING,335894.4064150944
7000,MAT,370522.6958490566
7000,PILE,555784.0437735849
7000,WALL FOOTING,359407.0149056604
7150,MAT,377933.14981132076
7150,PILE,566899.7247169812
7150,WALL FOOTING,366595.1552830189
7500,MAT,393050.47566037736
7500,PILE,589575.7135849057
7500,WALL FOOTING,381258.961509434
8000,MAT,416633.5043396226
8000,PILE,624950.2564150944
8000,WALL FOOTING,404134.499245283
8500,MAT,441631.51452830184
8500,PILE,662447.2718867925
8500,WALL FOOTING,428382.56905660377
8700,MAT,450464.14490566036
8700,PILE,675696.2171698114
8700,WALL FOOTING,436950.2205660378
9000,MAT,463978.069245283
9000,PILE,695967.1037735849
9000,WALL FOOTING,450058.7271698114
9600,MAT,491816.75339622644
9600,PILE,737725.13
9600,WALL FOOTING,477062.250754717
9800,MAT,501653.08830188675
9800,PILE,752479.6326415094
9800,WALL FOOTING,486603.4956603773
11000,MAT,561851.4590566038
11000,PILE,842777.1884905661
11000,WALL FOOTING,544995.9152830188
11300,MAT,573088.4881132076
11300,PILE,859632.7322641509
11300,WALL FOOTING,555895.8335849057
11700,MAT,590281.1428301887
11700,PILE,885421.7141509434
11700,WALL FOOTING,572572.708490566
12000,MAT,602086.7656603773
12000,PILE,903130.148490566
12000,WALL FOOTING,584024.1626415094
12300,MAT,614128.5009433962
12300,PILE,921192.751509434
12300,WALL FOOTING,595704.6460377359
12700,MAT,632552.3560377359
12700,PILE,948828.5339622643
12700,WALL FOOTING,613575.7852830188
13000,MAT,645203.4032075471
13000,PILE,967805.1047169811
13000,WALL FOOTING,625847.3011320755
13300,MAT,658107.4711320755
13300,PILE,987161.2067924528
13300,WALL FOOTING,638364.2469811321
13500,MAT,664688.5458490567
13500,PILE,997032.8188679246
13500,WALL FOOTING,644747.8896226415
13700,MAT,671335.4313207547
13700,PILE,1007003.146981132
13700,WALL FOOTING,651195.3684905662
14000,MAT,684762.14
14000,PILE,1027143.2100000001
14000,WALL FOOTING,664219.2758490567
14300,MAT,698457.3828301887
14300,PILE,1047686.0741509434
14300,WALL FOOTING,677503.6613207547
14700,MAT,712426.5303773585
14700,PILE,1068639.7956603775
14700,WALL FOOTING,691053.7345283019
15000,MAT,726675.0611320755
15000,PILE,1090012.5916981131
15000,WALL FOOTING,704874.809245283
15300,MAT,741208.5622641509
15300,PILE,1111812.8433962264
15300,WALL FOOTING,718972.3054716982
15500,MAT,748620.6479245283
15500,PILE,1122930.9718867925
15500,WALL FOOTING,726162.0284905661
15800,MAT,756106.8543396227
15800,PILE,1134160.2815094339
15800,WALL FOOTING,733423.6486792453
16000,MAT,763667.923018868
1000,PILE,1145501.8843396227
16000,WALL FOOTING,740757.8852830189
16400,MAT,778941.2813207548
16400,PILE,1168411.9220754716
16400,WALL FOOTING,755573.043018868
16900,MAT,802309.5198113208
16900,PILE,1203464.2798113208
16900,WALL FOOTING,778240.2343396227
17200,MAT,810332.6150943397
17200,PILE,1215498.9226415094
17200,WALL FOOTING,786022.6366037736
17500,MAT,818435.9411320755
17500,PILE,1227653.9116981132
17500,WALL FOOTING,793882.8630188679
17800,MAT,826620.3005660379
17800,PILE,1239930.4509433962
17800,WALL FOOTING,801821.6915094339
18000,MAT,834886.5035849056
18000,PILE,1252329.7554716982
18000,WALL FOOTING,809839.908490566
18400,MAT,851584.233773585
18400,PILE,1277376.3505660377
18400,WALL FOOTING,826036.7066037736
18800,MAT,868615.9183018868
18800,PILE,1302923.8775471698
18800,WALL FOOTING,842557.440754717
19200,MAT,885988.2367924529
19200,PILE,1328982.3550943397
19200,WALL FOOTING,859408.5896226416
20000,MAT,921427.7662264152
20000,PILE,1382141.649245283
20000,WALL FOOTING,893784.9332075472
22000,MAT,1013570.5428301888
22000,PILE,1520355.8141509434
22000,WALL FOOTING,983163.4266037737
