AREA,VARIABLE_NAME,EC
1300,Changes_range,305660.3773584906
1500,Changes_range,351509.43396226416
1700,Changes_range,397205.6603773585
1800,Changes_range,417065.94339622644
2000,Changes_range,462943.1971698113
2100,Changes_range,486090.35698113206
2200,Changes_range,505533.97132075473
2400,Changes_range,1163146.2264150945
2800,Changes_range,195410.94339622642
3000,Changes_range,211695.09433962265
3300,Changes_range,2794376.603773585
3500,Changes_range,2962039.245283019
3600,Changes_range,2517733.3962264154
4000,Changes_range,4471494.528301887
4200,Changes_range,2934418.3018867928
4500,Changes_range,5023724.150943397
4600,Changes_range,4483673.584905661
4800,Changes_range,2960647.924528302
4900,Changes_range,407681.1320754717
5000,Changes_range,3465290.3773584906
5100,Changes_range,3534596.2264150945
5500,Changes_range,5294825.283018868
6000,Changes_range,5771359.558490566
6500,Changes_range,6233068.32264151
7000,Changes_range,6669383.105660378
7150,Changes_range,6802770.767924529
7500,Changes_range,7074881.598113207
8000,Changes_range,7499374.494339623
8500,Changes_range,7949336.964150943
8700,Changes_range,8108323.703773586
9000,Changes_range,8351573.41509434
9600,Changes_range,8852667.818867924
9800,Changes_range,9029721.175471697
11000,Changes_range,10113287.716981132
11300,Changes_range,10113287.716981132
11700,Changes_range,10214420.594339622
12000,Changes_range,10520853.211320756
12300,Changes_range,10731270.275471698
12700,Changes_range,10945895.681132076
13000,Changes_range,11274272.55283019
13300,Changes_range,11499758.003773585
13500,Changes_range,11729753.164150944
13700,Changes_range,11847050.694339624
14000,Changes_range,11965521.201886792
14300,Changes_range,12204831.626415094
14500,Changes_range,12448928.258490566
14700,Changes_range,12573417.541509435
15000,Changes_range,12699151.716981132
15300,Changes_range,12953134.750943398
15500,Changes_range,13212197.445283018
15800,Changes_range,13344319.42075472
16000,Changes_range,13477762.61509434
16400,Changes_range,13612540.241509434
16900,Changes_range,13748665.643396227
17200,Changes_range,13886152.3
17500,Changes_range,14025013.82264151
17800,Changes_range,14165263.960377358
18000,Changes_range,14306916.600000001
18400,Changes_range,14449985.766037736
18800,Changes_range,14594485.624528304
19200,Changes_range,14886375.335849058
20000,Changes_range,15184102.843396226
22000,Changes_range,15791466.956603775
