AREA,VARIABLE_NAME,EC
1300,Duration_of_the_project,3396226.4150943398
1500,Duration_of_the_project,3905660.3773584906
1700,Duration_of_the_project,4413396.226415095
1800,Duration_of_the_project,4634066.03773585
2000,Duration_of_the_project,5143813.301886792
2100,Duration_of_the_project,5401003.967924529
2200,Duration_of_the_project,5617044.126415094
2400,Duration_of_the_project,12924005.660377359
2800,Duration_of_the_project,21712329.056603774
3000,Duration_of_the_project,23521688.679245282
3300,Duration_of_the_project,31048630.188679248
3500,Duration_of_the_project,32911548.679245286
3600,Duration_of_the_project,27974816.03773585
4000,Duration_of_the_project,49683273.96226415
4200,Duration_of_the_project,32604648.11320755
4500,Duration_of_the_project,55819157.73584906
4600,Duration_of_the_project,49818597.16981132
4800,Duration_of_the_project,29606480.75471698
4900,Duration_of_the_project,45297915.84905661
5000,Duration_of_the_project,38503228.3018868
5100,Duration_of_the_project,39273293.39622641
5500,Duration_of_the_project,58831393.018867925
6000,Duration_of_the_project,64126218.39622641
6500,Duration_of_the_project,69256315.86792454
7000,Duration_of_the_project,74104257.98113208
7150,Duration_of_the_project,75586343.13207547
7500,Duration_of_the_project,78609796.8490566
8000,Duration_of_the_project,83326384.66037735
8500,Duration_of_the_project,88325967.75471699
8700,Duration_of_the_project,90092487.09433962
9000,Duration_of_the_project,92795261.71698114
9600,Duration_of_the_project,98362977.41509435
9800,Duration_of_the_project,100330236.96226415
11000,Duration_of_the_project,112369865.39622642
11300,Duration_of_the_project,112369865.39622642
11700,Duration_of_the_project,113493564.05660377
12000,Duration_of_the_project,116898370.98113209
12300,Duration_of_the_project,119236338.39622642
12700,Duration_of_the_project,121621065.16981132
13000,Duration_of_the_project,125269697.11320756
13300,Duration_of_the_project,127775091.05660379
13500,Duration_of_the_project,130330592.88679245
13700,Duration_of_the_project,131633898.81132077
14000,Duration_of_the_project,132950237.81132075
14300,Duration_of_the_project,135609242.56603774
14500,Duration_of_the_project,138321427.41509435
14700,Duration_of_the_project,139704641.6792453
15000,Duration_of_the_project,141101688.0943396
15300,Duration_of_the_project,143923721.86792454
15500,Duration_of_the_project,146802196.3018868
15800,Duration_of_the_project,148270218.26415095
16000,Duration_of_the_project,149752920.4528302
16400,Duration_of_the_project,151250449.64150944
16900,Duration_of_the_project,152762954.1509434
17200,Duration_of_the_project,154290583.6792453
17500,Duration_of_the_project,155833489.5283019
17800,Duration_of_the_project,157391824.41509435
18000,Duration_of_the_project,158965742.66037735
18400,Duration_of_the_project,160555400.09433964
18800,Duration_of_the_project,162160954.09433964
19200,Duration_of_the_project,165404173.1698113
20000,Duration_of_the_project,168712256.64150944
22000,Duration_of_the_project,175460746.9056604
