AREA,VARIABLE_NAME,EC
1300,Earthwork,318867.9245283019
1500,Earthwork,366698.11320754717
1700,Earthwork,414368.8679245283
1800,Earthwork,435087.31132075476
2000,Earthwork,482946.91566037736
2100,Earthwork,507094.2613207547
2200,Earthwork,527378.0318867925
2400,Earthwork,3169811.320754717
2800,Earthwork,3698113.20754717
3000,Earthwork,3962264.150943396
3300,Earthwork,4358490.566037736
3500,Earthwork,452830.1886792453
3600,Earthwork,4754716.981132075
4000,Earthwork,5283018.867924528
4200,Earthwork,5547169.811320755
4500,Earthwork,5943396.226415095
4600,Earthwork,6075471.698113208
4800,Earthwork,6339622.641509434
4900,Earthwork,318867.9245283019
5000,Earthwork,6603773.584905661
5100,Earthwork,6735849.0566037735
5500,Earthwork,7264150.9433962265
6000,Earthwork,7917924.528301887
6500,Earthwork,8551358.490566038
7000,Earthwork,9149953.58490566
7150,Earthwork,9332952.656603774
7500,Earthwork,9706270.762264151
8000,Earthwork,10288647.009433962
8500,Earthwork,10905965.828301888
8700,Earthwork,11124085.14528302
9000,Earthwork,11457807.700000001
9600,Earthwork,12145276.162264151
9800,Earthwork,12388181.684905661
11000,Earthwork,13874763.486792454
11300,Earthwork,13874763.486792454
11700,Earthwork,14013511.122641511
12000,Earthwork,14433916.456603773
12300,Earthwork,14722594.78490566
12700,Earthwork,15017046.681132074
13000,Earthwork,15467558.081132075
13300,Earthwork,15776909.243396226
13500,Earthwork,16092447.428301888
13700,Earthwork,16253371.901886793
14000,Earthwork,16415905.620754719
14300,Earthwork,16744223.733962266
14500,Earthwork,17079108.20754717
14700,Earthwork,17249899.29056604
15000,Earthwork,17422398.28301887
15300,Earthwork,17770846.249056604
15500,Earthwork,18126263.173584905
15800,Earthwork,18307525.80566038
16000,Earthwork,18490601.064150944
16400,Earthwork,18675507.073584907
16900,Earthwork,18862262.14528302
17200,Earthwork,19050884.773584906
17500,Earthwork,19241393.62264151
17800,Earthwork,19433807.547169812
18000,Earthwork,19628145.62264151
18400,Earthwork,19824427.0754717
18800,Earthwork,20022671.358490568
19200,Earthwork,20423124.773584906
20000,Earthwork,20831587.28301887
22000,Earthwork,21664850.773584906
