AREA,VARIABLE_NAME,EC
1300,Escalation,339622.641509434
1500,Escalation,195283.01886792455
1700,Escalation,220669.81132075473
1800,Escalation,231703.30188679247
2000,Escalation,257190.6650943396
2100,Escalation,270050.1983018868
2200,Escalation,280852.2062264151
2400,Escalation,1292400.566037736
2800,Escalation,2171232.8301886795
3000,Escalation,2352168.867924528
3300,Escalation,3104863.018867925
3500,Escalation,3291154.716981132
3600,Escalation,2797481.5094339624
4000,Escalation,4968327.358490566
4200,Escalation,293441.69811320753
4500,Escalation,5581915.660377359
4600,Escalation,4981859.622641509
4800,Escalation,2960647.924528302
4900,Escalation,4529791.509433962
5000,Escalation,3849756.7924528304
5100,Escalation,3927329.245283019
5500,Escalation,5883139.245283019
6000,Escalation,6412621.777358491
6500,Escalation,6925631.518867924
7000,Escalation,7410425.726415095
7150,Escalation,7558634.239622641
7500,Escalation,7860979.609433962
8000,Escalation,8332638.386792454
8500,Escalation,8832596.690566039
8700,Escalation,9009248.624528302
9000,Escalation,9279526.08301887
9600,Escalation,9836297.647169812
9800,Escalation,10033023.6
11000,Escalation,11236986.432075473
11300,Escalation,11236986.432075473
11700,Escalation,11349356.296226416
12000,Escalation,11689836.984905662
12300,Escalation,11923633.724528303
12700,Escalation,12162106.4
13000,Escalation,12526969.592452832
13300,Escalation,12777508.983018868
13500,Escalation,13033059.164150942
13700,Escalation,13163389.754716983
14000,Escalation,13295023.65283019
14300,Escalation,13560924.124528302
14500,Escalation,13832142.60754717
14700,Escalation,13970464.033962263
15000,Escalation,14110168.673584906
15300,Escalation,14392372.04716981
15500,Escalation,14680219.488679247
15800,Escalation,14827021.683018869
16000,Escalation,14975291.899999999
16400,Escalation,15125044.818867926
16900,Escalation,15276295.267924529
17200,Escalation,15429058.220754717
17500,Escalation,15583348.801886793
17800,Escalation,15739182.290566038
18000,Escalation,15896574.113207547
18400,Escalation,16055539.854716983
18800,Escalation,16216095.25283019
19200,Escalation,16540417.158490567
20000,Escalation,16871225.501886792
22000,Escalation,17546074.520754717
