AREA,VARIABLE_NAME,EC
1300,No_of_floors,1132075.4716981133
1500,No_of_floors,2169811.320754717
1700,No_of_floors,2451886.7924528304
1800,No_of_floors,2574481.132075472
2000,No_of_floors,2857674.0566037735
2100,No_of_floors,3000557.7603773586
2200,No_of_floors,3120580.069811321
2400,No_of_floors,3231001.320754717
2800,No_of_floors,868493.0188679246
3000,No_of_floors,7840562.641509434
3300,No_of_floors,20699086.79245283
3500,No_of_floors,27426290.566037737
3600,No_of_floors,16784889.62264151
4000,No_of_floors,8280545.660377359
4200,No_of_floors,8151161.886792453
4500,No_of_floors,4651596.41509434
4600,No_of_floors,9963719.433962265
4800,No_of_floors,9868863.773584906
4900,No_of_floors,11324478.867924528
5000,No_of_floors,9625806.981132075
5100,No_of_floors,13091097.735849056
5500,No_of_floors,11766278.490566038
6000,No_of_floors,12825243.554716982
6500,No_of_floors,13851263.039622642
7000,No_of_floors,14820851.450943395
7150,No_of_floors,15117268.481132077
7500,No_of_floors,15721959.220754718
8000,No_of_floors,16665276.773584908
8500,No_of_floors,17665193.37924528
8700,No_of_floors,18018497.24716981
9000,No_of_floors,18559052.164150942
9600,No_of_floors,19672595.301886793
9800,No_of_floors,20066047.207547173
11000,No_of_floors,22473972.86792453
11300,No_of_floors,22473972.86792453
11700,No_of_floors,22698712.58490566
12000,No_of_floors,23379673.96226415
12300,No_of_floors,23847267.452830188
12700,No_of_floors,24324212.79245283
13000,No_of_floors,25053939.188679248
13300,No_of_floors,25555017.96226415
13500,No_of_floors,26066118.320754718
13700,No_of_floors,26326779.509433966
14000,No_of_floors,26590047.30188679
14300,No_of_floors,27121848.24528302
14500,No_of_floors,27664285.20754717
14700,No_of_floors,27940928.075471703
15000,No_of_floors,28220337.339622643
15300,No_of_floors,28784744.09433962
15500,No_of_floors,29360438.981132075
15800,No_of_floors,29654043.358490568
16000,No_of_floors,29950583.79245283
16400,No_of_floors,30250089.641509432
16900,No_of_floors,30552590.52830189
17200,No_of_floors,30858116.433962263
17500,No_of_floors,31166697.603773586
17800,No_of_floors,31478364.584905665
18000,No_of_floors,31793148.226415094
18400,No_of_floors,32111079.71698113
18800,No_of_floors,32432190.509433962
19200,No_of_floors,33080834.320754718
20000,No_of_floors,33742451.0
22000,No_of_floors,35092149.03773585
