AREA,VARIABLE_NAME,EC
1300,No_of_parking_spaces,849056.6037735849
1500,No_of_parking_spaces,542452.8301886793
1700,No_of_parking_spaces,612971.6981132076
1800,No_of_parking_spaces,643620.283018868
2000,No_of_parking_spaces,714418.5141509434
2100,No_of_parking_spaces,750139.4398113207
2200,No_of_parking_spaces,780145.0175471698
2400,No_of_parking_spaces,6462002.8301886795
2800,No_of_parking_spaces,723744.1509433963
3000,No_of_parking_spaces,11760844.339622641
3300,No_of_parking_spaces,10349543.396226415
3500,No_of_parking_spaces,5485258.113207547
3600,No_of_parking_spaces,11189926.41509434
4000,No_of_parking_spaces,6210409.245283019
4200,No_of_parking_spaces,5434107.924528302
4500,No_of_parking_spaces,664513.7735849057
4600,No_of_parking_spaces,1186156.9811320754
4800,No_of_parking_spaces,3700810.0
4900,No_of_parking_spaces,9059583.018867925
5000,No_of_parking_spaces,7700645.660377359
5100,No_of_parking_spaces,2618219.433962264
5500,No_of_parking_spaces,8404484.716981132
6000,No_of_parking_spaces,9160888.341509435
6500,No_of_parking_spaces,9893759.409433963
7000,No_of_parking_spaces,10586322.56792453
7150,No_of_parking_spaces,10798049.018867925
7500,No_of_parking_spaces,11229970.979245283
8000,No_of_parking_spaces,11903769.237735849
8500,No_of_parking_spaces,12617995.39245283
8700,No_of_parking_spaces,12870355.3
9000,No_of_parking_spaces,13256465.96037736
9600,No_of_parking_spaces,14051853.916981133
9800,No_of_parking_spaces,14332890.996226415
11000,No_of_parking_spaces,16052837.91509434
11300,No_of_parking_spaces,16052837.91509434
11700,No_of_parking_spaces,16213366.294339623
12000,No_of_parking_spaces,16699767.283018867
12300,No_of_parking_spaces,17033762.62830189
12700,No_of_parking_spaces,17374437.881132074
13000,No_of_parking_spaces,17895671.016981132
13300,No_of_parking_spaces,18253584.437735848
13500,No_of_parking_spaces,18618656.126415096
13700,No_of_parking_spaces,18804842.688679244
14000,No_of_parking_spaces,18992891.11320755
14300,No_of_parking_spaces,19372748.94339623
14500,No_of_parking_spaces,19760203.9245283
14700,No_of_parking_spaces,19957805.96226415
15000,No_of_parking_spaces,20157384.018867925
15300,No_of_parking_spaces,20560531.698113207
15500,No_of_parking_spaces,20971742.320754718
15800,No_of_parking_spaces,21181459.75471698
16000,No_of_parking_spaces,21393274.358490564
16400,No_of_parking_spaces,21607207.094339624
16900,No_of_parking_spaces,21823279.16981132
17200,No_of_parking_spaces,22041511.962264154
17500,No_of_parking_spaces,22261927.0754717
17800,No_of_parking_spaces,22484546.339622643
18000,No_of_parking_spaces,22709391.811320756
18400,No_of_parking_spaces,22936485.73584906
18800,No_of_parking_spaces,23165850.58490566
19200,No_of_parking_spaces,23629167.603773586
20000,No_of_parking_spaces,24101750.943396226
22000,No_of_parking_spaces,25065820.981132075
